annotation	source_module	adjustment	outcome	outcome_scale	annotation_type	n_vmrs	n_annotated	estimate	se	se_bootstrap	se_jackknife	z	p	ci_lower	ci_upper	n_bootstrap_failed	mean_annotated	mean_other	frac_gain_with_age_annotated	frac_gain_with_age_other	covariates	q	estimate_meaning	reason	cohort	region	run_id	spec	role	n_bootstrap	inference
h3k27me3_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	relative_to_mean	indicator	11099	1554	0.019272153648072	0.210200472060329	0.17323374045771	0.119055909645073	0.0916846354300328	0.926948605120153	-0.39271320112349	0.431257508419634	0	1.26164179821054	0.957402686807839	0.638352638352638	0.431430068098481	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	0.926948605120153	adjusted difference in debiased squared age slope, in units of the region mean (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
h3k27me3_any	04_repeat_repressive_architecture	technical	signed_beta_age	raw	indicator	11099	1554	0.00394856458324198	0.000736471430475897	0.000702736817492163	0.000220343216932584	5.36146335057489	8.25504723017004e-08	0.00250510710386653	0.00539202206261744	0	0.0026623820342754	-0.00121209429981758	0.638352638352638	0.431430068098481	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	3.85235537407935e-07	adjusted difference in signed age slope, methylation fraction per decade (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
h3k27me3_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	relative_to_mean	indicator	11099	1554	0.0228055947509837	0.208589581792837	0.172810075249182	0.116817342568998	0.109332376789716	0.91293886754767	-0.386022473113248	0.431633662615216	0	1.26164179821054	0.957402686807839	0.638352638352638	0.431430068098481	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation,local_snp_contribution_score_z	0.948314318363272	adjusted difference in debiased squared age slope, in units of the region mean (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
h3k27me3_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	raw	indicator	11099	1554	0.00394220641554972	0.000735291667358851	0.000701494682429857	0.000220361173099966	5.36141859149584	8.25709326518168e-08	0.00250106122939396	0.00538335160170547	0	0.0026623820342754	-0.00121209429981758	0.638352638352638	0.431430068098481	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation,local_snp_contribution_score_z	5.77996528562717e-07	adjusted difference in signed age slope, methylation fraction per decade (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
bivalent_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	relative_to_mean	indicator	11099	356	0.108214441963475	0.246340849145017	0.151732890603144	0.194064277667742	0.439287443958475	0.660453270984923	-0.374604750281773	0.591033634208722	0	1.44354066583218	0.985302012749115	0.632022471910112	0.454714697942847	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	0.840576890344447	adjusted difference in debiased squared age slope, in units of the region mean (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
bivalent_any	04_repeat_repressive_architecture	technical	signed_beta_age	raw	indicator	11099	356	0.00321131048703482	0.00115676128288419	0.00106367388366133	0.0004546367063895	2.77612203533296	0.00550115557425496	0.000944100033871456	0.00547852094019818	0	0.00245257890005939	-0.000773081680993757	0.632022471910112	0.454714697942847	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	0.0110023111485099	adjusted difference in signed age slope, methylation fraction per decade (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
bivalent_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	relative_to_mean	indicator	11099	356	0.099217371653466	0.245538460741907	0.15258465788082	0.192372185834902	0.404080775588784	0.686153321260943	-0.382029168220074	0.580463911527006	0	1.44354066583218	0.985302012749115	0.632022471910112	0.454714697942847	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation,local_snp_contribution_score_z	0.873286045241201	adjusted difference in debiased squared age slope, in units of the region mean (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
bivalent_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	raw	indicator	11099	356	0.00322805870750425	0.00116167943681652	0.00106725774809572	0.00045875921031842	2.77878613083698	0.00545624357864003	0.000951208849763108	0.00550490856524539	0	0.00245257890005939	-0.000773081680993757	0.632022471910112	0.454714697942847	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation,local_snp_contribution_score_z	0.0109124871572801	adjusted difference in signed age slope, methylation fraction per decade (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
h3k9me3_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	relative_to_mean	indicator	11099	860	-0.0350177773882015	0.141120861143878	0.0980250498842163	0.101519392458715	-0.2481403323673	0.804025830529314	-0.31160958269748	0.241574027921077	0	0.446658048149635	1.04647661671953	0.566279069767442	0.451508936419572	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	0.876915233067128	adjusted difference in debiased squared age slope, in units of the region mean (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
h3k9me3_any	04_repeat_repressive_architecture	technical	signed_beta_age	raw	indicator	11099	860	0.00157260009359057	0.00039771643328348	0.000301962895497707	0.000258837344767663	3.95407371178365	7.68317221287085e-05	0.000793090208295217	0.00235210997888591	0	0.00108900087616141	-0.000817329735715754	0.566279069767442	0.451508936419572	vmr_length,cpg_count,cpg_density,gc_content,mappability,mean_methylation	0.00026891102745048	adjusted difference in signed age slope, methylation fraction per decade (per SD if continuous)	""	AA	caudate	age-AA-caudate-20260919	primary	descriptive	1000	donor_bootstrap_var_plus_chromosome_jackknife_var
