exposure	stratum	n_tested_vmrs	n_significant	min_p	median_n_donors	fdr_alpha	fdr_method	cohort	region	run_id	exploratory_supplement_only	causal_interpretation_allowed	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_comparison_allowed	cross_region_contrast_emitted	regions_are_independent_replicates
smoking	all	11251	0	9.80373804378403e-06	149	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
nicotine	all	11251	0	4.70021865082465e-06	152	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
any_substance_nontobacco	all	11251	0	4.44948172728371e-05	152	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
education	all	11251	0	0.000154010182061124	137	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
marital_status	all	11251	0	5.3620883531646e-05	137	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
smoking	schizophrenia	11251	0	0.000104328346767751	65	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
nicotine	schizophrenia	11251	0	0.00020746204583338	64	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
antipsychotics	schizophrenia	11251	0	0.000108854039375873	64	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
any_trauma_hx	schizophrenia	11251	0	9.82510084473578e-05	61	0.05	BH	AA	caudate	env-AA-caudate-20260920-a	TRUE	FALSE	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	FALSE	TRUE	FALSE	FALSE	FALSE
smoking	all	9251	0	6.01802973278827e-05	115	0.05	BH	AA	dlpfc	env-AA-dlpfc-20260920-a	TRUE	FALSE	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	FALSE	TRUE	FALSE	FALSE	FALSE
