module	run_id	path	status	bytes	superseded_by	reason	review_required	deprecated_on	cleanup_status
01_vmr_catalog	vmrcat-AA-caudate-20260816-a	01_vmr_catalog/_m/runs/vmrcat-AA-caudate-20260816-a	superseded	5874030394	vmrcat-AA-caudate-20260816	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcat-AA-caudate-20260816-b	01_vmr_catalog/_m/runs/vmrcat-AA-caudate-20260816-b	superseded	5874030394	vmrcat-AA-caudate-20260816	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-AA-caudate-20260826	01_vmr_catalog/_m/runs/vmrcatqc-AA-caudate-20260826	superseded	15844711	vmrcatqc-AA-caudate-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-AA-dlpfc-20260826	01_vmr_catalog/_m/runs/vmrcatqc-AA-dlpfc-20260826	superseded	11517222	vmrcatqc-AA-dlpfc-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-AA-hippocampus-20260826	01_vmr_catalog/_m/runs/vmrcatqc-AA-hippocampus-20260826	superseded	11800705	vmrcatqc-AA-hippocampus-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-all_individuals-caudate-20260826	01_vmr_catalog/_m/runs/vmrcatqc-all_individuals-caudate-20260826	superseded	16122687	vmrcatqc-all_individuals-caudate-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-all_individuals-dlpfc-20260826	01_vmr_catalog/_m/runs/vmrcatqc-all_individuals-dlpfc-20260826	superseded	11521049	vmrcatqc-all_individuals-dlpfc-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
01_vmr_catalog	vmrcatqc-all_individuals-hippocampus-20260826	01_vmr_catalog/_m/runs/vmrcatqc-all_individuals-hippocampus-20260826	superseded	11897546	vmrcatqc-all_individuals-hippocampus-20260826-a	no accepted result depends on this run	FALSE	2026-09-22	deleted:2026-09-22
02_local_genetic_variance	bslmm-en-pilot-20260817	02_local_genetic_variance/_m/runs/bslmm-en-pilot-20260817	superseded	8424475		no accepted result depends on this run; no successor identified	TRUE	2026-09-22	pending
02_local_genetic_variance	bslmm-en-pilot-smoke-20260817	02_local_genetic_variance/_m/runs/bslmm-en-pilot-smoke-20260817	smoke	306074		smoke or dry run; never intended for acceptance	FALSE	2026-09-22	deleted:2026-09-22
