Tissue	h2_Category	OR	PValue	FDR	Test	Env
Caudate	Heritable	0.8247474822882994	0.004913056410612921	0.01118232092278807	Logit	smoking
Caudate	Heritable	1.6210071233675902	1.1819330126943507e-05	5.5719699169876535e-05	Logit	codeine
Caudate	Heritable	1.4553903345724908	0.0012715842169661738	0.0032278676276833646	Logit	morphine
Caudate	Heritable	1.5102339373970346	0.000841774792683132	0.0025253243780493963	Logit	cocaine
Caudate	Heritable	0.9591302079200167	0.6151576257573055	0.676673388333036	Logit	ethanol
Caudate	Heritable	0.7241122320954471	6.432904018067404e-07	1.04454144636332e-05	Logit	nicotine
Caudate	Heritable	1.268647119588028	0.015809422797008057	0.023714134195512087	Logit	amphetamines
Caudate	Heritable	1.293570855314329	0.011032344747894041	0.02141572804002961	Logit	less_than_hs
Caudate	Heritable	1.109537964121819	0.28686958287179376	0.3641037013372767	Logit	more_than_hs
Caudate	Heritable	1.3178796083261677	0.005158138446045202	0.01118232092278807	Logit	single
Caudate	Heritable	1.7320328916204102	7.744218959764081e-06	4.2593204278702444e-05	Logit	previously_married
Caudate	Heritable	0.8620108840430795	0.030055978271999764	0.039673891319039686	DMR	smoking
Caudate	Heritable	1.7746966854283928	1.2746790954544803e-07	4.206441014999785e-06	DMR	codeine
Caudate	Heritable	1.4911166980631525	0.0006036906707769028	0.0019921792135637792	DMR	morphine
Caudate	Heritable	1.6919286703837413	1.469603403671887e-05	6.062114040146534e-05	DMR	cocaine
Caudate	Heritable	0.9809720148811639	0.8161207170961249	0.8161207170961249	DMR	ethanol
Caudate	Heritable	0.73719638198479	2.8784720825648666e-06	2.3747394681160148e-05	DMR	nicotine
Caudate	Heritable	1.2573706956642967	0.019593802844043547	0.028112847558845088	DMR	amphetamines
Caudate	Heritable	0.8041141988710377	0.4522730828519793	0.5330361333612613	DMR	less_than_hs
Caudate	Heritable	0.8041141988710377	0.4522730828519793	0.5330361333612613	DMR	more_than_hs
Caudate	Heritable	2.044324913188534	0.014126682946203235	0.022199073201176513	DMR	single
