Tissue	h2_Category	OR	PValue	FDR	Test	Env
Caudate	Heritable	1.3286873268372432	0.043388917385741535	0.13016675215722462	Logit	Smoking
Caudate	Heritable	0.9197549019607844	0.49851299038226815	0.49851299038226815	DMR	Smoking
Caudate	Heritable	1.2749099639855943	0.21184115052353153	0.3177617257852973	Both	Smoking
Caudate	Non-heritable	0.47538259424564333	0.02722208665793972	0.08166625997381917	Logit	Smoking
Caudate	Non-heritable	0.8359757855289709	0.666617053458994	0.666617053458994	DMR	Smoking
Caudate	Non-heritable	0.6128570099544144	0.24668141434705587	0.37002212152058384	Both	Smoking
Caudate	Low prediction	0.8426611114565844	0.19954939925586018	0.4046914065142959	Logit	Smoking
Caudate	Low prediction	1.097469135802469	0.4046914065142959	0.4046914065142959	DMR	Smoking
Caudate	Low prediction	0.8431322480634169	0.37513404890619695	0.4046914065142959	Both	Smoking
Hippocampus	Heritable	0.6499993135357031	0.0032282118873501703	0.0032282118873501703	Logit	Smoking
Hippocampus	Heritable	0.4691407207648934	4.559414262398427e-07	1.3678242787195283e-06	DMR	Smoking
Hippocampus	Heritable	0.39835828102366005	4.782250408326833e-06	7.17337561249025e-06	Both	Smoking
Hippocampus	Non-heritable	1.148309366498251	0.5261216707641847	0.5795868634545998	Logit	Smoking
Hippocampus	Non-heritable	1.3148425787106446	0.23671377256529852	0.5795868634545998	DMR	Smoking
Hippocampus	Non-heritable	1.2542372881355932	0.5795868634545998	0.5795868634545998	Both	Smoking
Hippocampus	Low prediction	1.2603936781342515	0.060989762119979946	0.060989762119979946	Logit	Smoking
Hippocampus	Low prediction	1.5460402277394063	0.0009090504457198005	0.0015808531961753907	DMR	Smoking
Hippocampus	Low prediction	1.8070135096292037	0.0010539021307835938	0.0015808531961753907	Both	Smoking
DLPFC	Heritable	0.23008343810721224	0.005847754388812608	0.017543263166437825	Logit	Smoking
DLPFC	Heritable	0.6940503432494279	0.4724397646621942	0.4724397646621942	DMR	Smoking
DLPFC	Heritable	0.4239949748743719	0.23804811852409025	0.35707217778613537	Both	Smoking
DLPFC	Non-heritable	3.44775390625	0.3556190069279972	0.6290171763970209	Logit	Smoking
DLPFC	Non-heritable	2.0982044705020155	0.4193447842646806	0.6290171763970209	DMR	Smoking
DLPFC	Non-heritable	1.7964159453858344	1.0	1.0	Both	Smoking
DLPFC	Low prediction	1.6307963943871386	0.3052758224765362	0.8203145693773408	Logit	Smoking
DLPFC	Low prediction	0.7904260915307733	0.8203145693773408	0.8203145693773408	DMR	Smoking
DLPFC	Low prediction	1.1867577509196006	0.7337310691770385	0.8203145693773408	Both	Smoking
