h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q1	2335	658	0.281798715203426	0.0471934943097518	0.00316408150336492	0.0594983763059963	0.263917813922854	0.300396391233314	Promoter	hg38_genes_promoters	Caudate
Q2	2335	631	0.270235546038544	0.0703874662913487	0.0595242653322645	0.0808526040050348	0.252607599076293	0.288618251887955	Promoter	hg38_genes_promoters	Caudate
Q3	2334	598	0.256212510711225	0.0915822004054237	0.0808540925377664	0.104632303320346	0.238908440586017	0.274317746884345	Promoter	hg38_genes_promoters	Caudate
Q4	2335	624	0.267237687366167	0.123135598052575	0.104636032840286	0.17042590677795	0.249677810420267	0.285562170938668	Promoter	hg38_genes_promoters	Caudate
Q5	2335	455	0.194860813704497	0.418138363977453	0.170459352487514	0.884810704662357	0.17929376442123	0.21143022218087	Promoter	hg38_genes_promoters	Caudate
Q1	2335	238	0.101927194860814	0.0471934943097518	0.00316408150336492	0.0594983763059963	0.09028459068501	0.114877438152397	Enhancer	hg38_enhancers_fantom	Caudate
Q2	2335	243	0.10406852248394	0.0703874662913487	0.0595242653322645	0.0808526040050348	0.0923097386658221	0.117127911318237	Enhancer	hg38_enhancers_fantom	Caudate
Q3	2334	245	0.10497000856898	0.0915822004054237	0.0808540925377664	0.104632303320346	0.0931603982449402	0.118077817656068	Enhancer	hg38_enhancers_fantom	Caudate
Q4	2335	241	0.10321199143469	0.123135598052575	0.104636032840286	0.17042590677795	0.0914994834291579	0.11622791809624	Enhancer	hg38_enhancers_fantom	Caudate
Q5	2335	131	0.0561027837259101	0.418138363977453	0.170459352487514	0.884810704662357	0.0474489435926196	0.0662147927064361	Enhancer	hg38_enhancers_fantom	Caudate
Q1	2335	820	0.351177730192719	0.0471934943097518	0.00316408150336492	0.0594983763059963	0.332073842300827	0.370770488006864	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q2	2335	803	0.34389721627409	0.0703874662913487	0.0595242653322645	0.0808526040050348	0.324899433534782	0.363407784874293	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q3	2334	742	0.317909168808912	0.0915822004054237	0.0808540925377664	0.104632303320346	0.299327495595876	0.337089252514676	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q4	2335	803	0.34389721627409	0.123135598052575	0.104636032840286	0.17042590677795	0.324899433534782	0.363407784874293	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q5	2335	587	0.251391862955032	0.418138363977453	0.170459352487514	0.884810704662357	0.234209435645405	0.269390949228306	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q1	2335	352	0.150749464668094	0.0471934943097518	0.00316408150336492	0.0594983763059963	0.136799588456825	0.165846602524246	Intergenic	hg38_genes_intergenic	Caudate
Q2	2335	387	0.165738758029979	0.0703874662913487	0.0595242653322645	0.0808526040050348	0.151197884175257	0.181377654832377	Intergenic	hg38_genes_intergenic	Caudate
Q3	2334	430	0.184233076263925	0.0915822004054237	0.0808540925377664	0.104632303320346	0.169020077898079	0.200483788825395	Intergenic	hg38_genes_intergenic	Caudate
Q4	2335	476	0.203854389721627	0.123135598052575	0.104636032840286	0.17042590677795	0.187999415552386	0.220682179865652	Intergenic	hg38_genes_intergenic	Caudate
Q5	2335	796	0.340899357601713	0.418138363977453	0.170459352487514	0.884810704662357	0.32194671192144	0.360374636882322	Intergenic	hg38_genes_intergenic	Caudate
Q1	1905	445	0.233595800524934	0.0607078182363238	0.00333481721664114	0.0748139988022866	0.215135563984991	0.253128290349418	Promoter	hg38_genes_promoters	DLPFC
