tissue	cell_type	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	Union	4.25505119702522	3.52149965481362	5.15565130000826	4.90335434822219e-58	1349	1092	684	889	1.17680504357332e-56
Caudate	Exc	2.36916264820464	1.99554248774047	2.81474763276756	5.12311662954902e-24	1349	1092	373	519	1.75649713013109e-23
Caudate	Inh	2.60746703563924	2.1809390984802	3.12084991031497	2.31234549224949e-27	1349	1092	303	470	1.10992583627975e-26
Caudate	Astro	2.58687101147232	2.17951079419224	3.07292951649419	4.28292598353746e-29	1349	1092	374	544	2.56975559012248e-28
Caudate	Oligo	2.81912950444146	2.36576156411062	3.36303940957096	4.74555685414489e-33	1349	1092	327	518	3.79644548331591e-32
Caudate	OPC	3.06686057511002	2.58611696119329	3.64066688905082	1.6889175033388e-40	1349	1092	396	612	2.02670100400656e-39
Caudate	Endo	2.60069586508733	2.16656701478609	3.12559249018222	3.63026920645484e-26	1349	1092	277	439	1.45210768258194e-25
Caudate	Micro	1.95581103024439	1.60472618126797	2.38583063270602	8.16850134484072e-12	1349	1092	229	312	2.45055040345221e-11
DLPFC	Union	1.72288878478583	1.41854528043971	2.09567366168697	1.721795432379e-08	1188	833	710	599	3.75664457973599e-08
DLPFC	Exc	1.46997902402844	1.21538996161821	1.77812944798244	5.13470014822849e-05	1188	833	364	328	6.84626686430466e-05
DLPFC	Inh	1.56973806737952	1.29312120331515	1.90594189729688	3.08878762423394e-06	1188	833	328	312	4.36064135185968e-06
DLPFC	Astro	1.6083333844801	1.33540001273224	1.9374384479964	3.17224773189516e-07	1188	833	402	376	5.07559637103225e-07
DLPFC	Oligo	1.82596550182201	1.51747819355339	2.1982192209974	7.59546899771267e-11	1188	833	408	407	2.02545839939005e-10
DLPFC	OPC	1.75343481408546	1.45941631076232	2.1077010970445	9.07960865833537e-10	1188	833	444	426	2.17910607800049e-09
DLPFC	Endo	1.33296145572871	1.0948251475915	1.62266082675841	0.00362587626445052	1188	833	327	280	0.00435105151734063
DLPFC	Micro	1.28889033088718	1.045470306543	1.58842769496163	0.0159080898805515	1188	833	270	229	0.0181806741492017
Hippocampus	Union	1.66834905592206	1.37640448434568	2.02508655416177	8.58090427214838e-08	1237	797	716	555	1.58416694255047e-07
Hippocampus	Exc	1.18766925004837	0.97827323380106	1.44132406044937	0.0807301127386389	1237	797	383	277	0.0880692138966969
Hippocampus	Inh	1.16881338955274	0.958612436796943	1.42430660073091	0.124379053770192	1237	797	355	255	0.129786838716722
Hippocampus	Astro	1.64338458711078	1.35942923280321	1.98688819219031	1.62870476346228e-07	1237	797	380	336	2.79206530879248e-07
Hippocampus	Oligo	1.69451240437378	1.40156741973306	2.04895400476443	2.534813000502e-08	1237	797	376	339	5.06962600100401e-08
Hippocampus	OPC	1.59300062183559	1.32191696108124	1.91992005900979	5.83153711554897e-07	1237	797	423	361	8.74730567332345e-07
Hippocampus	Endo	1.37060278551889	1.11994322314716	1.67681843312826	0.00195522570478102	1237	797	312	252	0.00246975878498655
Hippocampus	Micro	1.13116469454765	0.910305213701076	1.4040750312272	0.255755304276996	1237	797	271	192	0.255755304276996
Pooled	Union	2.36169439740972	2.10946305114498	2.64580463675323	1.257208771976e-53	3532	2613	2016	1982	1.0057670175808e-52
Pooled	Exc	1.65445846845568	1.48625441308337	1.84169460634513	1.01822288155595e-20	3532	2613	1070	1093	1.1636832932068e-20
Pooled	Inh	1.71582049073423	1.53719607390039	1.91532715199686	1.78520129285221e-22	3532	2613	943	1005	2.85632206856353e-22
Pooled	Astro	1.89163215429819	1.7014295267752	2.10346283034579	5.02806095101376e-33	3532	2613	1113	1216	1.00561219020275e-32
Pooled	Oligo	2.02773976280305	1.82273680395535	2.2563494950201	7.81763070759726e-40	3532	2613	1063	1218	2.08470152202594e-39
Pooled	OPC	2.05668695456639	1.85199953194348	2.28442986426644	6.99604849148122e-43	3532	2613	1209	1351	2.79841939659249e-42
Pooled	Endo	1.69681494900987	1.51668906420412	1.89856061290485	7.54849834788776e-21	3532	2613	872	934	1.00646644638503e-20
Pooled	Micro	1.43778823460349	1.27488175612715	1.62163331866721	1.97434912499011e-09	3532	2613	731	713	1.97434912499011e-09
