tissue	cell_type	or	ci_lo	ci_hi	p_value	n_top_q	n_lower_q	fdr
Caudate	Union	0.0605249135257458	0.0459636175742292	0.0789104386687792	2.54587098872114e-134	488	1953	4.07339358195383e-133
Caudate	Exc	0.0956468360489368	0.0646795548095458	0.13741980677706	2.42951194050709e-62	488	1953	7.06767109965698e-62
Caudate	Inh	0.0909375509608798	0.0581312631441248	0.136640055185665	3.66921415994204e-55	488	1953	8.38677522272466e-55
Caudate	Astro	0.0529597077417036	0.0321857710496356	0.0828321707048118	8.30806621255842e-81	488	1953	3.79797312574099e-80
Caudate	Oligo	0.0490687113624689	0.0281214953121402	0.0802769388863684	2.7112427570796e-75	488	1953	1.08449710283184e-74
Caudate	OPC	0.0372879563584795	0.0217194794724029	0.0601992817791336	5.79880948301847e-99	488	1953	3.71123806913182e-98
Caudate	Endo	0.0730385244996546	0.0431650952419875	0.116696877817812	1.62598369169232e-55	488	1953	4.00242139493493e-55
Caudate	Micro	0.177914966085216	0.116220721664124	0.263141258781951	1.4825368207115e-26	488	1953	2.7906575448687e-26
DLPFC	Union	0.267290805739253	0.211491774437963	0.337094318251645	4.69756855539863e-31	404	1617	1.00214795848504e-30
DLPFC	Exc	0.508370710116654	0.390303675684442	0.657732813685135	6.20143305864778e-08	404	1617	6.84296061643893e-08
DLPFC	Inh	0.38513924147633	0.287510841436574	0.510539300438065	7.24651019779634e-13	404	1617	9.27553305317931e-13
DLPFC	Astro	0.313598223671279	0.237112597605845	0.411036139168079	5.96249188372894e-20	404	1617	8.67271546724209e-20
DLPFC	Oligo	0.240634954801138	0.179638690849636	0.31885756783475	1.46207296740529e-28	404	1617	2.92414593481058e-28
DLPFC	OPC	0.28750910153138	0.219493841992153	0.373673133733462	3.4804051539973e-24	404	1617	5.86173499620598e-24
DLPFC	Endo	0.421670478695051	0.314606594863258	0.55929458117265	1.39241841829828e-10	404	1617	1.65027368094611e-10
DLPFC	Micro	0.616727842536047	0.460919561364207	0.817412986147075	0.00048446107779287	404	1617	0.000500088854495865
Hippocampus	Union	0.334141932056991	0.265386796789197	0.419918991854451	3.10232946082202e-22	407	1627	4.72735917839546e-22
Hippocampus	Exc	0.535615347652104	0.410383634318701	0.694206700199272	8.18014906569656e-07	407	1627	8.72549233674299e-07
Hippocampus	Inh	0.435209569150615	0.325781701233918	0.575596852946184	3.78029234745554e-10	407	1627	4.32033411137776e-10
Hippocampus	Astro	0.367702714495166	0.27792885236634	0.482030510505049	4.50600658520702e-15	407	1627	6.00800878027603e-15
Hippocampus	Oligo	0.268175173226588	0.197671743441109	0.359295891754353	4.54898126844549e-23	407	1627	7.27837002951278e-23
Hippocampus	OPC	0.332618169496414	0.252793024975522	0.433993471654681	1.30321055536185e-18	407	1627	1.81316251180778e-18
Hippocampus	Endo	0.40289841295434	0.29629768009488	0.541060763992695	5.83034724812024e-11	407	1627	7.17581199768644e-11
Hippocampus	Micro	0.679527112400038	0.506594686271817	0.90284637779678	0.00665221467548876	407	1627	0.00665221467548876
Pooled	Union	0.168574247630278	0.146757449183176	0.193437973690084	1.42295096918057e-158	1229	4916	4.55344310137781e-157
Pooled	Exc	0.306543978676792	0.259940621822619	0.360299814311465	5.68073779671392e-56	1229	4916	1.51486341245705e-55
Pooled	Inh	0.245234368027544	0.2035463570192	0.293899600186547	1.52092357979885e-67	1229	4916	4.86695545535633e-67
Pooled	Astro	0.197286485493302	0.164833430261081	0.234958498851928	9.62737073472078e-98	1229	4916	5.13459772518441e-97
Pooled	Oligo	0.169655880173024	0.140111840957981	0.204160973554178	3.84936900583983e-109	1229	4916	3.07949520467186e-108
Pooled	OPC	0.172295958130568	0.14442251191471	0.204657992625475	2.59145079447044e-119	1229	4916	2.76421418076847e-118
Pooled	Endo	0.220084931874132	0.179874679727632	0.267480824008165	1.88629319495478e-70	1229	4916	6.70682024872811e-70
Pooled	Micro	0.406142127529308	0.336970507025404	0.487086365947936	3.73991451716042e-26	1229	4916	6.64873691939631e-26
