tissue	h2_quintile	annotation	n_vmrs	n_overlap	frac	ci_lo	ci_hi	annotation_label
Caudate	Q1	in_DNA	489	25	0.0511247443762781	0.0345609333566938	0.0746860828126231	DNA transposon
Caudate	Q1	in_LINE	489	73	0.149284253578732	0.120319668487218	0.183716155080153	LINE
Caudate	Q1	in_LTR	489	56	0.114519427402863	0.0890919364796125	0.145956184467614	LTR
Caudate	Q1	in_SINE	489	107	0.21881390593047	0.184373390003283	0.257637838804376	SINE
Caudate	Q1	in_any_repeat	489	241	0.492842535787321	0.448759509927082	0.537037139533476	Any repeat
Caudate	Q2	in_DNA	488	29	0.0594262295081967	0.0414162281073422	0.0843183103534325	DNA transposon
Caudate	Q2	in_LINE	488	62	0.127049180327869	0.100244516509886	0.1596796044197	LINE
Caudate	Q2	in_LTR	488	68	0.139344262295082	0.111298777297872	0.173023449535134	LTR
Caudate	Q2	in_SINE	488	104	0.213114754098361	0.17902672545548	0.251684136798048	SINE
Caudate	Q2	in_any_repeat	488	254	0.520491803278689	0.476180182656556	0.564483327182478	Any repeat
Caudate	Q3	in_DNA	488	40	0.0819672131147541	0.0605551743072585	0.109909224976453	DNA transposon
Caudate	Q3	in_LINE	488	87	0.17827868852459	0.146780267428337	0.214802628098834	LINE
Caudate	Q3	in_LTR	488	79	0.161885245901639	0.131760354459528	0.197291733196416	LTR
Caudate	Q3	in_SINE	488	108	0.221311475409836	0.186672115706409	0.260304150482732	SINE
Caudate	Q3	in_any_repeat	488	271	0.555327868852459	0.510974750889651	0.598816725675741	Any repeat
Caudate	Q4	in_DNA	488	50	0.102459016393443	0.0784078172485163	0.132720091874229	DNA transposon
Caudate	Q4	in_LINE	488	153	0.313524590163934	0.273929530977209	0.356032529487584	LINE
Caudate	Q4	in_LTR	488	119	0.243852459016393	0.20779897518808	0.283907151823998	LTR
Caudate	Q4	in_SINE	488	151	0.309426229508197	0.270008149644524	0.351821208852463	SINE
Caudate	Q4	in_any_repeat	488	343	0.702868852459016	0.660835021021913	0.741733726384521	Any repeat
Caudate	Q5	in_DNA	488	81	0.165983606557377	0.135505081010003	0.201679708613747	DNA transposon
Caudate	Q5	in_LINE	488	319	0.653688524590164	0.610405166542097	0.694571157250656	LINE
Caudate	Q5	in_LTR	488	205	0.420081967213115	0.377077240669842	0.464335070957927	LTR
Caudate	Q5	in_SINE	488	206	0.422131147540984	0.379081934497618	0.466396728114054	SINE
Caudate	Q5	in_any_repeat	488	462	0.94672131147541	0.922782146734457	0.963682367756478	Any repeat
DLPFC	Q1	in_DNA	405	35	0.0864197530864198	0.0625229365346487	0.118088538225495	DNA transposon
DLPFC	Q1	in_LINE	405	74	0.182716049382716	0.148003751528746	0.223390723137992	LINE
DLPFC	Q1	in_LTR	405	68	0.167901234567901	0.134523733595608	0.207519510316269	LTR
DLPFC	Q1	in_SINE	405	166	0.409876543209877	0.363035797782225	0.458410881792374	SINE
DLPFC	Q1	in_any_repeat	405	270	0.666666666666667	0.619352741993003	0.710848603999178	Any repeat
DLPFC	Q2	in_DNA	404	31	0.0767326732673267	0.0542822266173281	0.107156630067522	DNA transposon
DLPFC	Q2	in_LINE	404	81	0.200495049504951	0.164256171145904	0.242376002297762	LINE
DLPFC	Q2	in_LTR	404	59	0.146039603960396	0.114778925736131	0.183968188333656	LTR
DLPFC	Q2	in_SINE	404	147	0.363861386138614	0.318416232186821	0.411871119378482	SINE
DLPFC	Q2	in_any_repeat	404	260	0.643564356435644	0.595690542731096	0.688733704709131	Any repeat
DLPFC	Q3	in_DNA	404	37	0.0915841584158416	0.0669163771441431	0.123945677551765	DNA transposon
DLPFC	Q3	in_LINE	404	85	0.21039603960396	0.173379817023896	0.252867821760475	LINE
DLPFC	Q3	in_LTR	404	56	0.138613861386139	0.10814013846337	0.175895376600888	LTR
DLPFC	Q3	in_SINE	404	136	0.336633663366337	0.29225853824236	0.384086283636003	SINE
DLPFC	Q3	in_any_repeat	404	262	0.648514851485149	0.600738262949846	0.693493717160734	Any repeat
DLPFC	Q4	in_DNA	404	45	0.111386138613861	0.0840794791277716	0.146013506249547	DNA transposon
DLPFC	Q4	in_LINE	404	86	0.212871287128713	0.175666107483892	0.255485397635655	LINE
DLPFC	Q4	in_LTR	404	78	0.193069306930693	0.15743683589029	0.234483738547846	LTR
DLPFC	Q4	in_SINE	404	148	0.366336633663366	0.320802165960099	0.41438905194038	SINE
DLPFC	Q4	in_any_repeat	404	289	0.715346534653465	0.669430353805635	0.757206017354704	Any repeat
DLPFC	Q5	in_DNA	404	62	0.153465346534653	0.121446716711306	0.19201199636401	DNA transposon
DLPFC	Q5	in_LINE	404	176	0.435643564356436	0.388120013431565	0.484379461853851	LINE
DLPFC	Q5	in_LTR	404	156	0.386138613861386	0.339936051797147	0.434486096784743	LTR
DLPFC	Q5	in_SINE	404	168	0.415841584158416	0.368787752201894	0.464480792402112	SINE
DLPFC	Q5	in_any_repeat	404	345	0.853960396039604	0.816031811666344	0.885221074263869	Any repeat
Hippocampus	Q1	in_DNA	407	25	0.0614250614250614	0.0415981380452674	0.0894535308277917	DNA transposon
Hippocampus	Q1	in_LINE	407	84	0.206388206388206	0.169808029932347	0.248459053710961	LINE
Hippocampus	Q1	in_LTR	407	61	0.14987714987715	0.118327271561848	0.187974480899838	LTR
Hippocampus	Q1	in_SINE	407	153	0.375921375921376	0.330217016131384	0.423946061056792	SINE
Hippocampus	Q1	in_any_repeat	407	261	0.641277641277641	0.593541100067777	0.68637222788628	Any repeat
Hippocampus	Q2	in_DNA	407	34	0.0835380835380835	0.0601184916055089	0.114745698164707	DNA transposon
Hippocampus	Q2	in_LINE	407	77	0.189189189189189	0.154001966147926	0.23018871235315	LINE
Hippocampus	Q2	in_LTR	407	63	0.154791154791155	0.122748022349968	0.193289845866641	LTR
Hippocampus	Q2	in_SINE	407	150	0.368550368550369	0.32309969049811	0.416459213057681	SINE
Hippocampus	Q2	in_any_repeat	407	277	0.680589680589681	0.633753636511498	0.724048617481948	Any repeat
Hippocampus	Q3	in_DNA	407	24	0.058968058968059	0.0395821667195553	0.0866014442760419	DNA transposon
Hippocampus	Q3	in_LINE	407	87	0.213759213759214	0.176614581430512	0.256256675845182	LINE
Hippocampus	Q3	in_LTR	407	64	0.157248157248157	0.124962852914163	0.195943073179908	LTR
Hippocampus	Q3	in_SINE	407	137	0.336609336609337	0.292392312480241	0.383881838668546	SINE
Hippocampus	Q3	in_any_repeat	407	260	0.638820638820639	0.591039093390455	0.68400617668614	Any repeat
Hippocampus	Q4	in_DNA	407	35	0.085995085995086	0.0622118916701256	0.117520355977552	DNA transposon
Hippocampus	Q4	in_LINE	407	79	0.194103194103194	0.158506752118641	0.235420042137358	LINE
Hippocampus	Q4	in_LTR	407	62	0.152334152334152	0.120536143072118	0.190633667267029	LTR
Hippocampus	Q4	in_SINE	407	141	0.346437346437346	0.301817058658085	0.393929324000549	SINE
Hippocampus	Q4	in_any_repeat	407	266	0.653562653562654	0.606070675999451	0.698182941341915	Any repeat
Hippocampus	Q5	in_DNA	406	65	0.160098522167488	0.127499394862808	0.1990694671694	DNA transposon
Hippocampus	Q5	in_LINE	406	168	0.413793103448276	0.366905193258414	0.462297054358451	LINE
Hippocampus	Q5	in_LTR	406	148	0.364532019704434	0.319170676785704	0.412432855183655	LTR
Hippocampus	Q5	in_SINE	406	163	0.401477832512315	0.35492522616303	0.449877342541958	SINE
Hippocampus	Q5	in_any_repeat	406	338	0.832512315270936	0.792977668123973	0.865813662496693	Any repeat
