"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0003674","molecular_function",0.953914399081044,5167,1.01378038240916,9.0674390584855e-07,0.00108809268701826,138050,5162,7784,1.00288974884274,0.105909754805271,0.998950767496152
"GO:0005488","binding",0.926390031389248,5026,1.01541467814575,2.14299145380181e-05,0.0128579487228109,137817,4773,7206,1.00169428451092,0.30926309417059,0.998950767496152
"GO:0005515","protein binding",0.87184661134978,4737,1.01689971741631,0.000574729729415857,0.177827261033636,135695,4273,6467,0.999235951363558,0.580795710952147,0.998950767496152
"GO:0003824","catalytic activity",0.410564180702766,2311,1.05349799701774,0.000592757536778787,0.177827261033636,136599,1635,2473,0.999842653322429,0.515715576360749,0.998950767496152
"GO:0004709","MAP kinase kinase kinase activity",0.000902414573699513,13,2.69619983457966,0.00146943635199404,0.314758936094276,169071,8,11,1.09985471522552,0.457042391489865,0.998950767496152
"GO:0005154","epidermal growth factor receptor binding",0.00227161797686621,24,1.97738288400665,0.00168113198043052,0.314758936094276,118976,10,13,1.16330787187314,0.307497632620887,0.998950767496152
"GO:0140947","histone H3K9me2 methyltransferase activity",0.000814973849306365,12,2.75582984060171,0.00183609379388328,0.314758936094276,157342,4,5,1.20984018674807,0.450197578939047,0.998950767496152
"GO:0005112","Notch binding",0.00434284548158932,38,1.63766114452858,0.002883833372188,0.392609635417864,146346,14,16,1.3232627042557,0.0541983389473335,0.998950767496152
"GO:0030554","adenyl nucleotide binding",0.122033063901944,719,1.10272241079464,0.00302850232945162,0.392609635417864,136591,478,739,0.978186077918771,0.818259379881702,0.998950767496152
"GO:0032559","adenyl ribonucleotide binding",0.117122050946516,691,1.10421642881578,0.00327174696181554,0.392609635417864,138626,454,703,0.976649083896913,0.827814016902589,0.998950767496152
"GO:0005524","ATP binding",0.114377595608871,674,1.10289396320566,0.00403939486792204,0.440661258318768,138221,443,685,0.978027742206925,0.810900458230163,0.998950767496152
"GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.00218785896718435,22,1.88199377839758,0.00449282856270017,0.449282856270017,54896,19,19,1.51230023343509,0.000382253874020355,0.20659072785949
"GO:0003723","RNA binding",0.130759122237136,763,1.09211247298016,0.0051768871245006,0.477866503800055,120151,466,704,1.00103964315448,0.502018497773423,0.998950767496152
"GO:0046914","transition metal ion binding",0.106477030307876,626,1.10035603332771,0.00655722823355087,0.532459281453632,157103,377,522,1.09221683525867,0.00121267089151056,0.363801267453168
"GO:0140296","general transcription initiation factor binding",0.00489944185204977,40,1.52801708238725,0.00700862373417432,0.532459281453632,105418,18,23,1.18353931312311,0.155808872836319,0.998950767496152
"GO:0016763","pentosyltransferase activity",0.0052067335406314,42,1.50972818657945,0.00709945708604842,0.532459281453632,200256,20,24,1.26025019452924,0.052971399206071,0.998950767496152
"GO:0008373","sialyltransferase activity",0.00203480482704356,20,1.83959432978454,0.00820019248606207,0.54603976652643,227050,14,14,1.51230023343509,0.00303850878422507,0.607701756845014
"GO:0036094","small molecule binding",0.483884477259626,2673,1.03388466600517,0.00856185454453651,0.54603976652643,141003,1906,2852,1.01067470018488,0.169795635479388,0.998950767496152
"GO:0031005","filamin binding",0.0030342588813478,27,1.66542836895958,0.00864562963666848,0.54603976652643,143315,9,9,1.51230023343509,0.0241160396085642,0.998950767496152
"GO:0008270","zinc ion binding",0.0844836500309264,500,1.10767450881836,0.00973357804133301,0.557789770654324,164919,294,398,1.11712630309024,0.000401166671978537,0.20659072785949
"GO:0016740","transferase activity",0.190896381821165,1088,1.06670915926605,0.00976132098645066,0.557789770654324,145918,697,1048,1.00579509800024,0.404167829880438,0.998950767496152
"GO:0140776","protein-containing complex destabilizing activity",0.00167938786759292,17,1.89457907261222,0.0107504721556648,0.568776537541699,77540,9,10,1.36107021009158,0.0977196945508085,0.998950767496152
"GO:0016645","oxidoreductase activity, acting on the CH-NH group of donors",0.00195867222640652,19,1.81554351105967,0.0110807860427898,0.568776537541699,61313,11,12,1.38627521398216,0.0498307316469249,0.998950767496152
"GO:0120015","sterol transfer activity",0.00116184397103437,13,2.09416245639658,0.011375530750834,0.568776537541699,77834,11,13,1.27963865906046,0.129791857578126,0.998950767496152
"GO:0045505","dynein intermediate chain binding",0.00361662725478728,30,1.55250257699049,0.0143993989947092,0.58918383142184,180060,18,22,1.23733655462871,0.0872512094542268,0.998950767496152
"GO:0004497","monooxygenase activity",0.00720827144546223,53,1.37613031688347,0.0150653676576515,0.58918383142184,87565,43,49,1.32712061301446,0.000516476819648726,0.20659072785949
"GO:0019763","immunoglobulin receptor activity",0.00058973180286206,8,2.53892729127453,0.0154760105896508,0.58918383142184,47552,4,5,1.20984018674807,0.450197578939047,0.998950767496152
"GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",0.000280073297680309,5,3.34128195462625,0.018392081342369,0.58918383142184,51382,5,5,1.51230023343509,0.126341378053242,0.998950767496152
"GO:0070697","activin receptor binding",0.000616292744707798,8,2.42950477946795,0.0195197108864131,0.58918383142184,119653,5,7,1.08021445245363,0.558146067689534,0.998950767496152
"GO:0140677","molecular function activator activity",0.100456506326238,583,1.08618877505385,0.0195479323897503,0.58918383142184,148118,343,509,1.01909426339535,0.284515443470402,0.998950767496152
"GO:0097367","carbohydrate derivative binding",0.182394119144496,1033,1.0599962183846,0.0205797638699472,0.58918383142184,143427,681,1041,0.989314561930158,0.709337571220227,0.998950767496152
"GO:0043167","ion binding",0.475116999633932,2613,1.02932771352596,0.0214197492633657,0.58918383142184,141878,1853,2778,1.00874454015667,0.223108955243349,0.998950767496152
"GO:0016714","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",0.000292433339925356,5,3.20005870654403,0.0216526174462568,0.58918383142184,87196,5,5,1.51230023343509,0.126341378053242,0.998950767496152
"GO:0008047","enzyme activator activity",0.0609844484370595,362,1.1109750251982,0.0220252053068062,0.58918383142184,130430,201,285,1.06656963831738,0.0613805710268129,0.998950767496152
"GO:0042054","histone methyltransferase activity",0.0051541376161844,39,1.41619619353438,0.0224983180661551,0.58918383142184,179099,24,35,1.03700587435549,0.456930816670707,0.998950767496152
"GO:0034713","type I transforming growth factor beta receptor binding",0.000886898775987646,10,2.11028333976395,0.0232558429159506,0.58918383142184,150045,6,7,1.29625734294436,0.253389451242482,0.998950767496152
"GO:0001540","amyloid-beta binding",0.00806387564640391,57,1.3229573992244,0.0237350554536969,0.58918383142184,130686,32,43,1.12543273185867,0.160968933208505,0.998950767496152
"GO:0140098","catalytic activity, acting on RNA",0.0241127330525412,152,1.17980973561034,0.0237823606996124,0.58918383142184,85769,104,160,0.982995151732807,0.65357437856964,0.998950767496152
"GO:0015175","neutral L-amino acid transmembrane transporter activity",0.00286818724990638,24,1.56609667189744,0.0239912048555628,0.58918383142184,69446,18,25,1.08885616807326,0.348501222092606,0.998950767496152
"GO:1901682","sulfur compound transmembrane transporter activity",0.00456532624200016,35,1.43486503293426,0.0248960711126921,0.58918383142184,152342,25,32,1.18148455737116,0.102993034089355,0.998950767496152
"GO:0005230","extracellular ligand-gated monoatomic ion channel activity",0.00425882349228523,33,1.4502374793336,0.0252557251570278,0.58918383142184,205587,24,33,1.09985471522552,0.272519922286297,0.998950767496152
"GO:0062105","RNA 2'-O-methyltransferase activity",0.00052885202031465,7,2.47730054418088,0.025435023899961,0.58918383142184,40520,4,5,1.20984018674807,0.450197578939047,0.998950767496152
"GO:0005326","neurotransmitter transmembrane transporter activity",0.00116933889026807,12,1.92068293624754,0.0261960734080448,0.58918383142184,63897,7,8,1.3232627042557,0.186221068833633,0.998950767496152
"GO:0015347","sodium-independent organic anion transmembrane transporter activity",0.00186676084843538,17,1.70441388429973,0.0263638929395957,0.58918383142184,197817,10,11,1.3748183940319,0.0699924234704363,0.998950767496152
"GO:0046974","histone H3K9 methyltransferase activity",0.00187123150201337,17,1.70034178310753,0.0268763283767317,0.58918383142184,180803,8,10,1.20984018674807,0.286460589979042,0.998950767496152
"GO:0000166","nucleotide binding",0.159040213791914,902,1.06148634681304,0.0271468604808836,0.58918383142184,137975,596,939,0.959883854235689,0.967956955173111,0.998950767496152
