"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-4551638",0.00576548849243528,50,1.96695215400253,9.96238414330275e-06,0.0105978317301791,146662,21,33,1.09902835085851,0.314295942209421,0.999999999365892
"R-HSA-8941326",0.0065086084926188,54,1.88176554538314,1.50323854328782e-05,0.0105978317301791,204110,15,20,1.29528341351182,0.0904858532642934,0.81373042836773
"R-HSA-162582",0.248819570005156,1213,1.10569709052385,3.44623150760892e-05,0.0161972880857619,139826,757,1242,1.05263504458234,0.00977986672128028,0.726944161362477
"R-HSA-2424491",0.0021617545674487,24,2.51805236649924,5.75796037667331e-05,0.0202968103277734,155938,10,14,1.23360325096364,0.227807722362579,0.999999999365892
"R-HSA-2990846",0.0183430677510344,116,1.43431955756496,0.000121050187428251,0.0309598025494001,132918,52,94,0.955386347554816,0.731810828471406,0.999999999365892
"R-HSA-3108232",0.0178163930895642,113,1.43852879152715,0.000131743840635745,0.0309598025494001,134763,49,91,0.929947066111048,0.814822435614304,0.999999999365892
"R-HSA-2871796",0.00261852979908502,26,2.25203807372297,0.000168799015597076,0.0339567960844328,131061,12,16,1.29528341351182,0.127445675413322,0.893742252207053
"R-HSA-114604",0.00403352095977585,35,1.96808398555881,0.000192662672819477,0.0339567960844328,128455,15,21,1.23360325096364,0.149916081421588,0.952169706326304
"R-HSA-1268020",0.00350617159338449,31,2.00534190023421,0.000316645831953233,0.0463326338390994,148020,19,26,1.26207101829357,0.0830943061653242,0.81373042836773
"R-HSA-76002",0.025082155444727,148,1.33831011855526,0.000337380505491369,0.0463326338390994,106329,81,129,1.08442332294013,0.14822990573033,0.952169706326304
"R-HSA-74160",0.135933205292331,678,1.13126418370197,0.000361460263992974,0.0463326338390994,139679,383,661,1.0006929851236,0.508416722417423,0.999999999365892
"R-HSA-3214847",0.00787083772847364,56,1.61371549615522,0.000508918370258682,0.0597979085053951,156944,30,48,1.07940284459318,0.310663870429713,0.999999999365892
"R-HSA-195721",0.0283973855454186,163,1.30187458174438,0.000577742694712224,0.0626628615034028,150583,90,135,1.15136303423273,0.0222581954905763,0.726944161362477
"R-HSA-416482",0.012615902498122,81,1.45621867459994,0.000768817482053263,0.0720752986664616,109865,30,38,1.36345622474928,0.00539441623659398,0.633843907799793
"R-HSA-3371556",0.00696403431441276,50,1.6284296568732,0.000808428225492319,0.0720752986664616,184805,28,48,1.00744265495364,0.537224991650872,0.999999999365892
"R-HSA-199991",0.0502417670144051,269,1.21435950354446,0.000817875729548501,0.0720752986664616,131637,165,274,1.04000858019197,0.233875598462362,0.999999999365892
"R-HSA-114508",0.00234594901092981,22,2.12698297394543,0.00105270804456059,0.0864139841347758,125542,12,17,1.21909027154053,0.209449761383756,0.999999999365892
