env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	22629	0.260676246152453	0.0293144137251283	-0.0202889138331761	0.0891091269514778	0.346796142551708	0.313979032539934	217	196	0.391014369228679	BA_only	caudate	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	24338	0.0112243010079556	0.0719711369595871	0.0152039451922673	0.143404674464044	0.40757580325086	0.215967087657611	217	196	0.0472797160900518	BA_only	caudate	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	20776	0.686138905105634	-0.00849019479695434	-0.0536466417400982	0.0310297359039361	0.255858113428851	0.269485330840394	217	196	0.747170731767743	BA_only	caudate	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	24316	0.0118199290225129	0.0511030748350345	0.0102168914601527	0.0973632045034117	0.261804524330771	0.196822733241655	217	196	0.0472797160900518	BA_only	caudate	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	23584	0.0557247457773516	0.0343762972305038	-0.000967683383236548	0.0729386537427199	0.232467271273883	0.180011307312573	217	196	0.167174237332055	BA_only	caudate	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	20189	0.374169372227116	-0.0332778602097074	-0.110723515270755	0.0449364817443889	0.448771708867695	0.500206841108964	217	196	0.498892496302821	BA_only	caudate	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	23114	0.127214287519162	0.0294891409322287	-0.00817755573528413	0.0742162863890843	0.250710129695956	0.203303995211441	217	196	0.254428575038324	BA_only	caudate	AA	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	24598	0.00595449699687372	0.0693435319353067	0.0182994261956551	0.124519825764906	0.334569567142367	0.229427811458245	217	196	0.0472797160900518	BA_only	caudate	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	20631	0.600415391809293	-0.0120344060928898	-0.0574516170753454	0.0341369895961674	0.267369228044375	0.279229731861827	217	196	0.720498470171152	BA_only	caudate	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	20875	0.747170731767743	-0.0117671141593642	-0.0917229714518281	0.0708876657092995	0.481597812070765	0.445838968713242	217	196	0.747170731767743	BA_only	caudate	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	22716	0.23145628536806	0.0293769935651241	-0.0172142997215505	0.085939631573739	0.314675780562503	0.261783188018461	217	196	0.391014369228679	BA_only	caudate	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	23361	0.0837934667286127	0.0353391428094708	-0.00474546928539046	0.0827463540772962	0.279472389909117	0.234744741158864	217	196	0.201104320148671	BA_only	caudate	AA	expression	nearest_gene_window_250kb
