"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0051179","localization",0.422492541897913,4267,1.05600026820192,1.55314086591751e-06,0.00787031244019598,138815,2333,2454,1.00599752623803,0.0781442597962575,0.999999564688846
"GO:0044238","primary metabolic process",0.694316037338899,6846,1.03095600032738,2.31275710849133e-06,0.00787031244019598,139889,4151,4378,1.00330669096663,0.103646905116535,0.999999564688846
"GO:0008152","metabolic process",0.754621340901536,7398,1.02505147884015,7.76751795739106e-06,0.0176219090726678,137779,4648,4892,1.0053942645757,0.00916394424404798,0.999999564688846
"GO:0008150","biological_process",0.951255543610437,9185,1.00958384489174,1.11290463032931e-05,0.0189360722850533,138935,7142,7539,1.00245026486303,0.00536071258454385,0.999999564688846
"GO:0051234","establishment of localization",0.383058090094715,3856,1.05252596614223,2.84594426875895e-05,0.0387389933863468,139867,2051,2157,1.00617204666731,0.0918200467710235,0.999999564688846
"GO:0009987","cellular process",0.930260302489681,8993,1.01078907093811,4.46772389400829e-05,0.050305290322333,139362,6732,7106,1.0024798143115,0.018568544545295,0.999999564688846
"GO:0043170","macromolecule metabolic process",0.666277018526388,6551,1.02804754024963,5.17392054446564e-05,0.050305290322333,143391,3812,4019,1.00367155996452,0.0989774926062862,0.999999564688846
"GO:0006810","transport",0.35907789877178,3600,1.0482726577571,0.000222435205960547,0.189236751470936,141450,1902,2000,1.0063226535997,0.098080403676844,0.999999564688846
"GO:0034332","adherens junction organization",0.00745770761715216,102,1.43006326795993,0.000349775889546766,0.196723735065434,177017,41,41,1.05817313732881,0.0978827122863557,0.999999564688846
"GO:0051656","establishment of organelle localization",0.046269160695276,514,1.16153400824397,0.000362561447335041,0.196723735065434,141979,226,233,1.02638252805284,0.052366747485957,0.999999564688846
"GO:0051640","organelle localization",0.0609936527238377,664,1.13826627663133,0.000387460157862396,0.196723735065434,144645,290,298,1.02976580478307,0.0142666272573904,0.999999564688846
"GO:0051052","regulation of DNA metabolic process",0.0419690494022999,469,1.16843388372503,0.000412258905492457,0.196723735065434,144110,214,221,1.02465634112383,0.0746313594718648,0.999999564688846
"GO:0071840","cellular component organization or biogenesis",0.560627059130442,5523,1.0300573853065,0.000458942999183476,0.196723735065434,146538,3007,3142,1.01270739145377,9.30147231081868e-05,0.31652910273716
"GO:0045604","regulation of epidermal cell differentiation",0.00613347372938766,86,1.46606212577418,0.000466944523063284,0.196723735065434,148317,27,28,1.02038123956707,0.539455317430142,0.999999564688846
"GO:0009259","ribonucleotide metabolic process",0.0260838968110039,303,1.21459247914157,0.000476184957847292,0.196723735065434,143460,141,153,0.975179165773609,0.922129624094813,0.999999564688846
"GO:0009144","purine nucleoside triphosphate metabolic process",0.0175249620257425,212,1.2648505324338,0.000483748412084428,0.196723735065434,151787,91,98,0.982589341805324,0.829863248068481,0.999999564688846
