"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Repressor",0.0802005376618367,564,1.43664388304534,0,0,157429,192,343,1.12931560956676,0.00892269294968018,0.436001796847219
"Acetylation",0.225602696224723,1408,1.27498675437675,0,0,137123,719,1449,1.00107986716602,0.493656029934691,0.952123025160069
"Coiled coil",0.170761166000061,1065,1.27411256904833,0,0,144120,461,938,0.991531028626535,0.620409459495875,0.999998926915765
"Disease variant",0.295201215973191,1780,1.23182542604901,0,0,131842,921,1785,1.04094943104857,0.0290291906412734,0.6950735354394
"Phosphoprotein",0.569950486702695,3276,1.17423242330444,0,0,132834,1950,3826,1.02824798726194,0.0111509410958368,0.436001796847219
"Alternative splicing",0.681509598506022,3687,1.10521931106925,0,0,137395,2396,4777,1.01190512348561,0.117581036911549,0.952123025160069
"Reference proteome",0.953076182029027,4817,1.03251491474104,0,0,129707,4064,8189,1.00122353702808,0.351167498108508,0.952123025160069
"3D-structure",0.540347171876319,2922,1.10472614587437,8.88178419700125e-16,4.34097202628436e-14,134667,1749,3481,1.01366396657505,0.156925204810637,0.952123025160069
"Transcription",0.21846121008458,1286,1.20257989105234,1.29452004671293e-13,5.62397042516396e-12,143350,574,1110,1.04327100151428,0.0671815482695877,0.941089527456478
"Isopeptide bond",0.147997242830203,906,1.25060994211507,7.97140131680862e-13,3.11681791487217e-11,144016,418,815,1.03472965366836,0.159810411298188,0.952123025160069
"Ubl conjugation",0.20622278032618,1207,1.19568818037539,4.85256279603163e-12,1.72486550295306e-10,139418,600,1175,1.03020014383351,0.141989360470812,0.952123025160069
"Repeat",0.368328213016761,2030,1.12592213130339,1.35664812717096e-11,4.42041181436537e-10,142661,1086,2203,0.994542966817026,0.624757121963411,0.999998926915765
"Activator",0.0774140849465438,502,1.3247411788171,1.73461245367434e-10,5.21718053374361e-09,139113,221,384,1.16109905533839,0.000808937640050411,0.237807381965298
"Transport",0.0732022632950741,474,1.32282116995135,7.14813319646623e-10,1.9963714855845e-08,117439,253,495,1.03115403285557,0.254261982847712,0.952123025160069
"Cytoplasm",0.114506963729674,696,1.2417227682268,2.14510176288485e-09,5.59156526191984e-08,135704,322,641,1.01345872183933,0.378317575444079,0.952123025160069
"Cytoskeleton",0.11443204063737,695,1.24075051970505,2.49625031756295e-09,6.10021171354447e-08,135823,321,639,1.01347349830569,0.378418454453685,0.952123025160069
"Guanine-nucleotide releasing factor",0.0197671138641122,158,1.63290578214491,4.77763228978745e-09,1.09885542665111e-07,123380,51,91,1.13067296005903,0.127755339694311,0.952123025160069
"Tumor suppressor",0.0163271716429708,135,1.68915737604171,9.139293433158e-09,1.98525762909154e-07,155640,59,90,1.32256712909737,0.00152707083449077,0.237807381965298
"Alternative promoter usage",0.0122170395015132,104,1.73906039659974,1.16179029840957e-07,2.39084214041127e-06,135749,38,55,1.39389201279291,0.00258583504545373,0.252765375693102
"SH3 domain",0.0289192841516041,201,1.4198936689711,1.01978496225286e-06,1.99367960120433e-05,145695,62,117,1.06908946550243,0.256984336729127,0.952123025160069
"Methylation",0.0976787796526726,576,1.20467406913158,2.52133213307637e-06,4.69448030491839e-05,139817,259,491,1.06420793880561,0.0799620755950001,0.941089527456478
"Zinc",0.152398945906442,863,1.15684756405263,2.74360371688154e-06,4.87613206045764e-05,141962,416,842,0.996757383819908,0.55340118813273,0.999998926915765
"Lipoprotein",0.0729355142091931,438,1.22682428767053,8.88356007311408e-06,0.000151020521242939,113725,215,417,1.04018509726594,0.216698619926432,0.952123025160069
"Zinc-finger",0.144817872829318,816,1.1511059495522,1.06743897421158e-05,0.000173903599548636,142023,391,789,0.99978813071548,0.51731353698433,0.982447559024312
"Neurodegeneration",0.0104583485943856,84,1.64082957909605,1.45172316886599e-05,0.000227049503610641,195149,41,72,1.14884009095322,0.127320539701538,0.952123025160069
"Alternative initiation",0.0108532104487859,85,1.59995587444253,3.08300999420918e-05,0.000463637272206074,94252,31,60,1.04236222886487,0.421926272599287,0.952123025160069
"Cell cycle",0.0281818350278153,187,1.35556279970079,3.21073299445196e-05,0.000464961704011376,133400,96,188,1.03020014383351,0.366437326479482,0.952123025160069
"Proto-oncogene",0.0186060918994068,131,1.43834622485951,4.17619104299272e-05,0.000583175249217911,136421,73,121,1.2171545087785,0.0107648411179656,0.436001796847219
"DNA damage",0.0171719152103943,122,1.45140427903113,5.20512538142448e-05,0.000701794491081714,145978,68,120,1.14323599294857,0.0700758397351448,0.941089527456478
"Metal-binding",0.16374356033162,902,1.12535517456783,7.09995345833381e-05,0.000925360600736173,140360,442,906,0.984242907836518,0.702473544560525,0.999998926915765
"Neurotransmitter transport",0.00224494749549832,26,2.36599849254606,7.89832849514838e-05,0.00099620852954936,66490,13,17,1.54277521539772,0.0224437728662638,0.6950735354394
"Notch signaling pathway",0.00505873856050206,46,1.85764575820899,8.21922511247131e-05,0.00100428656843009,147920,14,27,1.04609829420131,0.481856080054113,0.952123025160069
"Ion channel",0.0222366018637205,150,1.37806639599807,8.96239688374934e-05,0.00106190823683212,109499,78,156,1.00873764083697,0.488596243972349,0.952123025160069
