disease	tissue	ancestry	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	AA	ANNOT_Q1L2_1	-0.0274823375613547	0.9780750271112439	0.9973348594012015
pd	caudate	AA	ANNOT_Q2L2_1	1.1219601788738671	0.26187937158544417	0.9376388051587975
pd	caudate	AA	ANNOT_Q3L2_1	-2.9324747816225765	0.0033627223137855378	0.20176333882713227
pd	caudate	AA	ANNOT_Q4L2_1	0.0648566615047032	0.9482881270134018	0.9973348594012015
pd	caudate	AA	ANNOT_Q5L2_1	-0.9887079172182542	0.3228060680711651	0.9376388051587975
pd	hippocampus	AA	ANNOT_Q1L2_1	0.0837216276015876	0.9332777611734671	0.9973348594012015
pd	hippocampus	AA	ANNOT_Q2L2_1	-1.4306884138496647	0.15251953526953432	0.9376388051587975
pd	hippocampus	AA	ANNOT_Q3L2_1	0.5405820256818697	0.5887957096591856	0.9376388051587975
pd	hippocampus	AA	ANNOT_Q4L2_1	0.7804231473014115	0.43514184751926344	0.9376388051587975
pd	hippocampus	AA	ANNOT_Q5L2_1	0.1969394460395253	0.8438749246429178	0.9376388051587975
pd	dlpfc	AA	ANNOT_Q1L2_1	-0.200258339598572	0.841278542718366	0.9376388051587975
pd	dlpfc	AA	ANNOT_Q2L2_1	0.4763057781584959	0.6338565494753086	0.9376388051587975
pd	dlpfc	AA	ANNOT_Q3L2_1	0.2939960590998534	0.7687609147575101	0.9376388051587975
pd	dlpfc	AA	ANNOT_Q4L2_1	1.1162604160466658	0.26431068017054393	0.9376388051587975
pd	dlpfc	AA	ANNOT_Q5L2_1	-0.323145794620766	0.7465848299867908	0.9376388051587975
scz	caudate	AA	ANNOT_Q1L2_1	0.2474100910130441	0.8045908654018274	0.9376388051587975
scz	caudate	AA	ANNOT_Q2L2_1	-0.003340264601824	0.9973348594012015	0.9973348594012015
scz	caudate	AA	ANNOT_Q3L2_1	0.3783024418381567	0.7052059316590851	0.9376388051587975
scz	caudate	AA	ANNOT_Q4L2_1	1.363844386784743	0.17261654705382679	0.9376388051587975
