"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05205",0.0205656591147312,336,1.42602037708049,2.90292789806301e-10,1.02763647591431e-07,159053,111,112,1.02488997968856,0.110925003478828,0.999999510028514
"hsa04330",0.0100170784646427,185,1.61198033587282,8.3907214509793e-10,1.48515769682334e-07,112191,41,41,1.03412322274882,0.251848502383825,0.999999510028514
"hsa05131",0.0183208869733264,301,1.43399978778434,1.41110323426119e-09,1.6651018164282e-07,140029,130,133,1.01079713501764,0.355503981719865,0.999999510028514
"hsa04910",0.0121247137447882,211,1.51893800340681,6.24236951018986e-09,5.52449701651803e-07,124617,67,70,0.98980365605958,0.800354867989055,0.999999510028514
"hsa04015",0.0203058849312157,323,1.38838428226362,8.65864624444157e-09,6.13032154106463e-07,159204,120,121,1.02557674983354,0.086965661674703,0.999999510028514
"hsa05224",0.0133205383202893,225,1.47431345406256,2.03095944506515e-08,1.19826607258844e-06,117681,81,83,1.00920459087535,0.480335911184236,0.999999510028514
"hsa05160",0.00885335210525559,161,1.58725690890816,2.59714681982715e-08,1.31341424888401e-06,114878,67,68,1.01891552829663,0.337913392520792,0.999999510028514
"hsa05200",0.0465822594266373,657,1.23104493813382,6.85056618099367e-08,3.0313755350897e-06,133522,274,278,1.0192437519179,0.0443390487680373,0.999999510028514
"hsa04611",0.0104243937587786,181,1.51550318782703,8.16052487806473e-08,3.2098064520388e-06,114128,75,75,1.03412322274882,0.0798617782033679,0.999999510028514
"hsa05225",0.0125675584436571,210,1.45846989180401,1.24401669632235e-07,4.40381910498111e-06,122682,88,90,1.01114270668773,0.425198006497322,0.999999510028514
"hsa04530",0.0149485819782905,242,1.41300746229202,1.64360082433035e-07,5.28940628920858e-06,132215,93,93,1.03412322274882,0.043397086829481,0.999999510028514
"hsa05417",0.013149200256343,217,1.44042112228156,1.86434078619513e-07,5.49980531927563e-06,124843,95,97,1.01280109444472,0.374161876122234,0.999999510028514
"hsa04390",0.018436219184329,288,1.36348295117872,2.39398600720975e-07,6.51900805040193e-06,118824,101,102,1.02398475978069,0.144614168810821,0.999999510028514
"hsa04071",0.00791951538334678,141,1.55399491304896,5.58194823474523e-07,1.41143548221415e-05,120884,61,62,1.01744381593029,0.38813305581679,0.999999510028514
"hsa05226",0.012679238099033,206,1.41808789517302,1.02817370706276e-06,2.42648994866812e-05,138125,80,82,1.0089007051208,0.488523024848515,0.999999510028514
"hsa05223",0.00404515001488693,82,1.76932782404401,1.35218143659799e-06,2.99170142847305e-05,156891,33,33,1.03412322274882,0.329773399974716,0.999999510028514
"hsa05135",0.0129887091757732,209,1.40446001776376,1.60004351401621e-06,3.331855317422e-05,112387,81,81,1.03412322274882,0.065179120243515,0.999999510028514
"hsa04664",0.00461992945033465,90,1.700341883752,2.07972390353639e-06,4.0901236769549e-05,147782,36,36,1.03412322274882,0.298074532108566,0.999999510028514
