"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.0151154584041591,116,2.07076707798261,1.02873265461767e-12,5.01198549329729e-09,77445,64,81,1.29444520184806,0.000411914653376755,0.237395956908797
"GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN",0.012513875220761,100,2.15626813407911,4.09161593495355e-12,9.96717641754685e-09,61544,57,78,1.19720622935347,0.0172713668888351,0.484275123712313
"GSE15330_WT_VS_IKAROS_KO_HSC_DN",0.0169077227407827,123,1.96297414304995,6.5563110496214e-12,1.06474491445852e-08,136628,64,85,1.2335301335258,0.00383131749324572,0.413435826659147
"GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP",0.0128861453228495,101,2.11491508075484,9.33142452197444e-12,1.13656750677649e-08,102563,58,78,1.2182098474123,0.00912538893538106,0.458339122610067
"GSE16266_CTRL_VS_LPS_STIM_MEF_UP",0.0229462188159591,149,1.75214370512615,1.29234734025374e-10,1.25926324834325e-07,100081,71,94,1.23742592350868,0.00205121067366731,0.40829429994537
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN",0.0143636285317614,105,1.972512295785,1.71696545869793e-10,1.39417595246272e-07,111723,66,88,1.22871165644172,0.00393560230962486,0.413435826659147
"GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP",0.0198216019377264,131,1.78331117226836,5.88534887491221e-10,4.0962028169389e-07,93929,60,83,1.18430039175105,0.0209756403410678,0.513079253600907
"GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN",0.0183625085736439,122,1.79276103383503,1.68694114233148e-09,1.02734715567987e-06,112194,62,86,1.1810871736339,0.0208661666819333,0.513079253600907
"GSE6259_33D1_POS_VS_DEC205_POS_SPLENIC_DC_DN",0.0270985132390315,164,1.63302551030534,2.12217132755654e-09,1.08462306910221e-06,116146,72,104,1.13419537517697,0.0505292871197367,0.624819002150653
"GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_2H_UP",0.0187100932083487,123,1.77387799132954,2.6279950438024e-09,1.08462306910221e-06,103043,60,84,1.17020157756354,0.0302006892472696,0.573705419705038
"GSE40277_GATA1_AND_SATB1_TRANSDUCED_VS_CTRL_CD4_TCELL_DN",0.0213660175548465,136,1.71755207128424,2.72646105692331e-09,1.08462306910221e-06,113089,59,81,1.19331667045368,0.0172955401325826,0.484275123712313
"GSE18893_TCONV_VS_TREG_24H_CULTURE_UP",0.0219849766564943,139,1.70601708628668,2.74529099453247e-09,1.08462306910221e-06,89592,68,87,1.28049643889712,0.000487265921405577,0.237395956908797
"GSE45365_WT_VS_IFNAR_KO_CD11B_DC_UP",0.0134187881257932,96,1.93042317343715,2.89410917453381e-09,1.08462306910221e-06,80067,50,70,1.17020157756354,0.0455932155344929,0.591407625277954
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0118472019271232,87,1.98151811443477,4.92859908440835e-09,1.7151524813741e-06,96608,39,62,1.03053235701563,0.435645668852153,0.872724382667635
"GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.0159592375007041,108,1.8260228285263,5.62550717120303e-09,1.82716472920674e-06,93780,65,86,1.23823655300328,0.0030460355966837,0.413435826659147
"GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP",0.0158354788152301,107,1.82325394990056,7.1273071888811e-09,2.1422933080828e-06,112203,54,74,1.19550323329464,0.0210912878963563,0.513079253600907
"GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP",0.0142746614446134,99,1.87138852800784,7.47516137877824e-09,2.1422933080828e-06,101378,55,70,1.28722173531989,0.00133629739377439,0.361691161248268
"GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP",0.0170780358983025,113,1.78539825670514,8.2063333906035e-09,2.22118090439002e-06,125355,55,78,1.1551989932358,0.0519833114719017,0.62964178350908
"GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_UP",0.0294525790514816,172,1.57579494004075,9.8158239314472e-09,2.51698390494793e-06,97992,73,104,1.14994808872109,0.0322196364047194,0.578620489116107
"GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP",0.0167612666792579,111,1.78694311632155,1.06017792322888e-08,2.58259342098555e-06,111486,53,69,1.25839068195963,0.00400764754722449,0.413435826659147
"GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN",0.0132657050931586,93,1.8916779221366,1.28690611500559e-08,2.98562218681298e-06,75696,55,76,1.18559896674201,0.0256549930260386,0.536699955933255
"GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_DN",0.0169403605734981,111,1.76805151126396,1.81473434057722e-08,3.79053084031966e-06,90669,57,79,1.18205172012115,0.0255241950036564,0.536699955933255
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP",0.015341769467556,103,1.81157516036953,1.83920761953615e-08,3.79053084031966e-06,67783,51,81,1.03151102022268,0.407304977925447,0.864657887778988
"GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_UP",0.0125980377538544,89,1.90625803006988,1.86725657158604e-08,3.79053084031966e-06,129626,54,67,1.32040655617617,0.000468410745953496,0.237395956908797
"GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP",0.0154999884028006,103,1.79308317924409,3.00099374239693e-08,5.84833660518314e-06,117954,61,82,1.21872213077959,0.00746764218924567,0.413435826659147
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN",0.0153245393426707,102,1.79600411890879,3.23575628513595e-08,5.86977652735262e-06,86296,54,68,1.300988812703,0.000928299822109735,0.361691161248268
"GSE6259_BCELL_VS_CD8_TCELL_UP",0.026975085902113,158,1.58047938542445,3.25295497205502e-08,5.86977652735262e-06,113645,67,94,1.16771178697298,0.024383178221008,0.536699955933255
"GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP",0.013949442837404,95,1.83764377922074,3.39914585367751e-08,5.91451378539887e-06,120079,54,78,1.13419537517697,0.0830777609940324,0.675918741735253
"GSE13522_WT_VS_IFNG_KO_SKING_T_CRUZI_Y_STRAIN_INF_DN",0.0102948339446714,76,1.9919976944956,3.61597085607457e-08,6.07483103820528e-06,148923,37,46,1.31774873299547,0.0039769539952349,0.413435826659147
