"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP",0.0141029709208622,99,1.47165566018647,0.000155344642117083,0.232306522848957,105259,62,84,1.15690372629874,0.0332992035828761,0.999938390951833
"GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN",0.0136294190564461,95,1.46126129625698,0.000261581609200645,0.232306522848957,99177,47,72,1.02317560739862,0.449105966004514,0.999938390951833
"GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP",0.0161322954666861,109,1.41648490675247,0.000297571054023171,0.232306522848957,110552,56,82,1.07043177193338,0.232558682792592,0.999938390951833
"GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_DN",0.0102871616222954,75,1.52843622153019,0.000322640919979578,0.232306522848957,157887,49,78,0.984659995336152,0.621188240020038,0.999938390951833
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN",0.0208358539970688,135,1.35832621962288,0.000343044620136013,0.232306522848957,182064,69,99,1.09244281486274,0.129984149330175,0.999938390951833
"GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_IFNG_DERIVED_MACROPHAGE_DN",0.0166532167854518,111,1.39735406986963,0.000423146352818371,0.232306522848957,194977,51,79,1.01187741189543,0.495007730101561,0.999938390951833
"GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP",0.0115941019892888,82,1.48271730723288,0.000432801119715442,0.232306522848957,106151,53,82,1.01308721272266,0.487173022373669,0.999938390951833
"GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP",0.0252222369340206,158,1.31327327604258,0.00049233386180525,0.232306522848957,135536,75,97,1.21192109672133,0.0028680694265536,0.999938390951833
"GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP",0.0151373942462664,102,1.41263730407341,0.000495903273192821,0.232306522848957,123308,55,80,1.07759984183472,0.210340681821962,0.999938390951833
"GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_DN",0.0146120498760404,99,1.42038366671359,0.000498947401940897,0.232306522848957,114143,62,88,1.10431719328516,0.115080780204231,0.999938390951833
