"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.956847425841122,9001,1.01389667932227,1.74813497011428e-11,7.30720417507769e-09,139561,7146,7370,1.00222169937323,0.00026275000196696,0.0549147504110947
"Acetylation",0.251367436296645,2597,1.11354703445382,2.01771488406166e-10,4.21702410768887e-08,121667,1288,1326,1.00401596000952,0.217018800044592,0.999802891627559
"Phosphoprotein",0.605493915022623,5884,1.04739021638111,7.16331927108627e-09,9.98089151771353e-07,137929,3367,3455,1.00731045647428,0.00101660482280996,0.106235203983641
"Isopeptide bond",0.156123443656602,1627,1.12322060728854,2.67301139000864e-07,2.79329690255903e-05,136064,727,747,1.00596318345961,0.207004593688623,0.999802891627559
"Alternative splicing",0.715962050789187,6857,1.03226161422577,3.47841185299735e-07,2.90795230910579e-05,142147,4222,4335,1.00669382501064,0.000235235713005322,0.0549147504110947
"3D-structure",0.560185031937285,5416,1.04206014764643,2.42753410639729e-06,0.000169118209412344,135258,3096,3175,1.00791869334456,0.000900255142522566,0.106235203983641
"Transport",0.0764647148929564,826,1.16429921751243,4.63749180656947e-06,0.000276924510735148,146748,425,437,1.00525390910528,0.327509065999595,0.999802891627559
"Ubl conjugation",0.228620538710546,2293,1.08102177687626,1.3350681417279e-05,0.000697573104052829,136641,1077,1101,1.0111059401966,0.0155794760410888,0.930317283596444
"Magnesium",0.0509629696424576,554,1.17165748115071,9.99613319805359e-05,0.00464264852976267,113020,268,278,0.996456342097118,0.70447050992493,0.999802891627559
"Coiled coil",0.177911965866598,1784,1.08077508242116,0.000176972453409641,0.00739744855252298,142824,835,860,1.00358994572633,0.313020571204855,0.999802891627559
"Disease variant",0.312517977564,3054,1.05326986642609,0.000297818553494089,0.0111690413947316,146560,1496,1534,1.00803244663762,0.0306659352238541,0.999802891627559
"Transferase",0.0878667708414185,910,1.11625227761319,0.00033124592754874,0.0111690413947316,146328,454,466,1.00702027295466,0.242288960994895,0.999802891627559
"Cell cycle",0.0296878067600206,333,1.20895949592344,0.000347362531415096,0.0111690413947316,151389,161,165,1.00857966891865,0.372233979286518,0.999802891627559
"Repeat",0.388253745040475,3756,1.04269084852494,0.000561121472696935,0.0167534839705228,150565,1951,2007,1.00479664070148,0.0983494478347797,0.999802891627559
"Ion channel",0.0208973486802756,239,1.23268565947539,0.000850147525800038,0.0236907777189611,172956,124,126,1.01723060367128,0.216615857216007,0.999802891627559
"Nuclear pore complex",0.00255138729722449,40,1.68977637622932,0.00134522180202534,0.0287421642515972,117061,22,22,1.03363754889179,0.482471268588471,0.999802891627559
"Nucleus",0.00255138729722449,40,1.68977637622932,0.00134522180202534,0.0287421642515972,117061,22,22,1.03363754889179,0.482471268588471,0.999802891627559
"Translocation",0.00255138729722449,40,1.68977637622932,0.00134522180202534,0.0287421642515972,117061,22,22,1.03363754889179,0.482471268588471,0.999802891627559
"mRNA transport",0.00255138729722449,40,1.68977637622932,0.00134522180202534,0.0287421642515972,117061,22,22,1.03363754889179,0.482471268588471,0.999802891627559
"Neurodegeneration",0.0115751256717331,140,1.30361080847393,0.00137522316993288,0.0287421642515972,151415,70,70,1.03363754889179,0.097666118603249,0.999802891627559
"Cell division",0.0215927665131059,243,1.21295200508383,0.0017091452356196,0.0324737594767724,152307,109,111,1.01501344891175,0.293905369719317,0.999802891627559
"Mitosis",0.0215927665131059,243,1.21295200508383,0.0017091452356196,0.0324737594767724,152307,109,111,1.01501344891175,0.293905369719317,0.999802891627559
"Kinase",0.0397493927578382,425,1.15240215950207,0.00186085601694552,0.0338190354384012,152694,197,202,1.00805246104793,0.351811475378266,0.999802891627559
"ER-Golgi transport",0.00469742332996991,64,1.46847279578326,0.00216244960960577,0.0376626640339671,141938,37,37,1.03363754889179,0.293185627744265,0.999802891627559
"Serine/threonine-protein kinase",0.0300466446446264,327,1.1729983568981,0.0022788632030355,0.0381025927547535,140352,155,159,1.00763408854231,0.405177919056062,0.999802891627559
"Transit peptide",0.0316385151331139,340,1.15826639424264,0.00378965902026651,0.0595688614251705,132027,186,193,0.996148104113328,0.707595771666009,0.999802891627559
"Methyltransferase",0.0126001321778991,147,1.25744172030684,0.00384774942220001,0.0595688614251705,128623,77,79,1.00746950967934,0.522684377519921,0.999802891627559
"Acyltransferase",0.00933078375330445,112,1.29373560327311,0.0047417727447483,0.0707878931180281,114905,67,71,0.97540444754577,0.919220827770926,0.999802891627559
"S-adenosyl-L-methionine",0.0128973327002187,149,1.24517960063726,0.00505500248948054,0.0728617600207885,138030,80,81,1.02087659149806,0.25385053017161,0.999802891627559
"Initiation factor",0.00220210891093629,33,1.61517943869246,0.00632361151304228,0.0881089870817225,105513,16,16,1.03363754889179,0.588689306503746,0.999802891627559
"Ion transport",0.034806704090438,368,1.13954255842174,0.00657328783299049,0.0886333649738718,159278,193,197,1.01264998444728,0.225712296599603,0.999802891627559
"Cytoplasm",0.12399154426704,1229,1.0683300531778,0.00732132212140169,0.0956347702108095,137019,574,590,1.00560670010828,0.263547833719725,0.999802891627559
"Repressor",0.0845820130762523,851,1.08441914089825,0.00758873072308597,0.0961239224924223,167772,299,306,1.00999224548576,0.214278553530661,0.999802891627559
"Wnt signaling pathway",0.0197985770900773,217,1.18133041799003,0.00841985213917851,0.102150262657489,146616,93,95,1.0118767583888,0.397657408957494,0.999802891627559
"Cytoskeleton",0.12376439917269,1225,1.06680730941078,0.00855325165792375,0.102150262657489,137386,571,587,1.00546344193733,0.271145289934324,0.999802891627559
"Hydroxylation",0.010227379088041,119,1.25408865599259,0.00909683069401424,0.105624311947165,94370,56,57,1.01550355680597,0.441707048541149,0.999802891627559
"Lipid transport",0.00862751857110897,102,1.27426542894289,0.00990925076050009,0.111947751834839,128836,62,64,1.00133637548892,0.653888448524301,0.999802891627559
"ADP-ribosylation",0.00608982846550362,75,1.32740006734686,0.0104334602502099,0.114768062752308,94453,43,43,1.03363754889179,0.240156349607638,0.999802891627559
"Guanine-nucleotide releasing factor",0.0172504714116782,190,1.18712995855166,0.0108701495892585,0.116505705854104,114096,79,80,1.02071707953064,0.260077258802003,0.999802891627559
"Endocytosis",0.0139354656816864,156,1.20655950161726,0.0118029283742075,0.118475400837694,126262,65,65,1.03363754889179,0.115400571589099,0.999802891627559
"WD repeat",0.0206796204051629,224,1.16748440363813,0.0118793020243795,0.118475400837694,146697,105,107,1.01431722087512,0.317745009411556,0.999802891627559
"Centromere",0.00897965053898449,105,1.26030452434693,0.0119042268784286,0.118475400837694,129914,53,53,1.03363754889179,0.172159364335502,0.999802891627559
"Voltage-gated channel",0.0116105100834159,132,1.22537287652372,0.0124568749696614,0.119011311052994,166755,66,67,1.01821012278892,0.353354608462571,0.999802891627559
"NAD",0.0116192135072572,132,1.22445500549042,0.0127205049362882,0.119011311052994,104670,69,71,1.00452099821878,0.591558196849433,0.999802891627559
"Amelogenesis imperfecta",0.000605958050067801,12,2.13444180549089,0.0128122224817816,0.119011311052994,240380,7,7,1.03363754889179,0.79320115868822,0.999802891627559
"Metalloprotease",0.0147065034265808,163,1.19460356856153,0.0140765890363297,0.127913352547518,183839,71,72,1.01928147182384,0.314684559123247,0.999802891627559
