env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	25895	0.560427402240497	-0.0142340563920996	-0.0630151424059661	0.0348781656692768	0.278670751391262	0.303621980390856	394	136	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	24769	0.761189175338267	-0.00694949615578707	-0.0546271595701421	0.0405601970782738	0.272581795727242	0.257397182549481	385	131	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	26305	0.943448698383485	0.00149159587599458	-0.0447459293222687	0.0452399137095491	0.279329101114695	0.253123244806014	391	134	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	23398	0.281603596459304	0.0197244119123971	-0.0160254963994062	0.0593310204857683	0.219784455406141	0.181439915818345	366	120	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	27384	0.667746596997763	0.00997248131533775	-0.0360340067739253	0.0573724434865789	0.288005623649993	0.277790096854102	393	136	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	26947	0.920077821681948	0.00281429047899845	-0.0529237604931358	0.0550617890101628	0.304455697268264	0.355170642165103	394	136	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	25680	0.903598694781641	-0.00286306154009564	-0.0516690526471595	0.0450068334345115	0.292895178380821	0.286632982173914	386	134	0.943448698383485	all_individuals	caudate	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	24122	0.212862648649588	-0.0245476246263743	-0.0728943243561676	0.0151578470578227	0.230281225117594	0.27027056969413	391	133	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	28039	0.346298404879651	0.0262273617989473	-0.0310500666341608	0.0870799658994478	0.382586560428797	0.314949653131489	394	135	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	25134	0.340648404012669	-0.0274501554221505	-0.0883862162240774	0.0295460815541323	0.267613607837476	0.366772031702151	394	135	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	24800	0.241679588260713	-0.0292585625524358	-0.0864386070622882	0.0201505687438116	0.263093574199939	0.289376972364276	394	135	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	24382	0.148874654200197	-0.0424706760648121	-0.106791087720939	0.0153103086157762	0.279676929756134	0.380035199185137	394	135	0.692596809759302	all_individuals	caudate	EA	EA_only	psi	window_250kb
