term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.376922214437119	0.760820140763645	-1.28245348446781	0.199683612394203	0.0837607470096166	1.65563761459237	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
h2_categoryNon-heritable	0.350464451007058	0.115479384589776	-9.07950804410826	1.09066697116735e-19	0.278742859005015	0.438476996637003	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
h2_categoryLow prediction	0.148214739072175	0.416411245280028	-4.58463391365243	4.54782540197337e-06	0.0626839127629839	0.324245106979703	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
log_vmr_length	1.33311693046969	0.0565227133602727	5.08680033279704	3.641548570084e-07	1.19366937440566	1.48981993859266	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
log_num_snps	0.576474523831499	0.0930435001951677	-5.9200710441132	3.2180257612258e-09	0.480712310613105	0.692525083593256	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
methylation_variance	168045577965499	7.54824775952234	4.33945167136694	1.42838674433738e-05	53623391.4190439	4.19072981185266e+20	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
log_min_distance	0.921213690980276	0.0121075008438287	-6.77788505568784	1.21947805927948e-11	0.899407241670336	0.943146719253677	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_stateGenic/other	1.0327657831263	0.237837463327191	0.135556566015368	0.89217184371034	0.662015132815412	1.68899520173358	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_stateIntergenic	1.17172574760018	0.261254381006386	0.606602880330963	0.544114488289752	0.713703600888832	1.99606414954672	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_statePromoter	1.76501610426119	0.239441269028031	2.372856679541	0.0176511115158457	1.12722855827575	2.89402814234742	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	shared	window_250kb
(Intercept)	2.34667807588202	0.196173228001504	11.9622748720025	1.15959262029329e-32	1.96211947034328	2.73123668142075	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
h2_categoryNon-heritable	0.228092189248045	0.025585000767404	8.91507455175225	6.12524525254865e-19	0.177937882679032	0.278246495817058	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
h2_categoryLow prediction	0.216425111066101	0.118282146319064	1.8297360827584	0.0673316967471928	-0.015443517043741	0.448293739175942	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
log_vmr_length	-0.0900497574365131	0.0140918820461946	-6.39018671468586	1.7625861109412e-10	-0.117674090095501	-0.0624254247775256	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
log_num_snps	-0.12024839122352	0.0246158253061537	-4.88500343693369	1.05711941211905e-06	-0.168502822015916	-0.0719939604311237	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
methylation_variance	-14.3971017233665	2.74315139128913	-5.24838030051292	1.5792752120173e-07	-19.7745045655509	-9.01969888118201	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
log_min_distance	-0.0404576938804066	0.0027383247987627	-14.7746147201702	1.13894697082457e-48	-0.0458256351476841	-0.035089752613129	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_stateGenic/other	-0.121010989339514	0.0489011403490526	-2.47460465084753	0.0133617677435053	-0.216871951273328	-0.0251500274056993	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_stateIntergenic	-0.00594646639091326	0.0545482677729866	-0.109012928066949	0.913195344561187	-0.112877498739386	0.10098456595756	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
chromatin_statePromoter	0.0828516330939624	0.0519394657369479	1.59515759198548	0.110721905846115	-0.0189653616086708	0.184668627796595	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	shared	window_250kb
(Intercept)	0.118652912047338	0.786153615142018	-2.71136926953474	0.00670059576604668	0.0250676276315166	0.547028899146615	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	shared	window_250kb
h2_scaled	1.18681696767293	0.0244594596514336	7.00239943022098	2.51615496550675e-12	1.13102399697955	1.24490281442238	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	shared	window_250kb
log_vmr_length	1.31998297407866	0.0621429816756651	4.46742062585244	7.91683710089257e-06	1.16876158906552	1.49120651254478	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	shared	window_250kb
