env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	139	0.484659141725504	-0.20778180165015	-0.643275814966349	0.395823263353584	0.350825127939284	0.633132111784346	88	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	141	0.508909514487513	-0.080287197969907	-0.397974305240685	0.279007828873393	0.308889737045714	0.378780216612861	88	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	109	0.202944134836751	-0.208052333487187	-0.595447349573613	0.178482043121962	0.327202389231642	0.605633810899619	88	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	209	0.533781004141207	0.0652059319259083	-0.178979379375754	0.463828871148651	0.311704029754752	0.272718474558683	88	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	269	0.0765600313675919	0.156042145872685	-0.0608975348247446	0.528626270805922	0.246333552624105	0.0184341104788801	88	4	0.497640203889348	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	188	0.825731844701828	0.0389640686454007	-2.08152333263172	0.592583761544274	0.404393542609783	0.275956453276975	88	4	0.900959832369368	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	219	0.415814224163102	0.0972802504246435	-0.218844232357836	0.449178177928873	0.345509886675712	0.264617841450574	88	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	182	0.884552508113173	0.0151049844920239	-0.222878450209973	0.31931706133802	0.288523564407879	0.340000291342568	87	4	0.900959832369368	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	169	0.900959832369368	-0.00474112775995496	-0.197212043928421	0.325922641976005	0.283717740047434	0.27791623552663	88	4	0.900959832369368	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
education	env_valueMD	158	0.737583735814563	-0.0354734741015604	-0.338589819213387	0.275905677040797	0.234119070887577	0.255313255408133	88	4	0.900959832369368	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	78	0.0619387461932357	-0.364697239669057	-1.11765283169176	0.0178643080921116	0.261080640814154	0.86419298668736	88	4	0.497640203889348	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	211	0.479788470486063	0.0857309458090896	-0.16197189904561	0.436366115862986	0.318381620220561	0.19936265103079	87	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	134	0.444436475194218	-0.189801610041032	-0.481754863496231	0.231093781446349	0.273366129272852	0.562782260619697	87	4	0.771017005981743	all_individuals	dlpfc	EA	shared	expression	nearest_gene_window_250kb
