Tissue	h2_Category	OR	PValue	FDR	Annotation
Caudate	Heritable	1.8229995337587785	1.6449024880644738e-39	9.869414928386843e-39	hg38_genes_intergenic
Caudate	Heritable	1.7438536343059639	1.4635829726147472e-49	1.7562995671376968e-48	hg38_cpg_inter
Caudate	Heritable	0.7916403865959586	6.298604455237861e-08	9.447906682856792e-08	hg38_genes_promoters
Caudate	Heritable	0.6495868583906808	5.649143045992652e-29	2.259657218397061e-28	hg38_cpg_shores
Caudate	Heritable	0.8303967150795188	3.6628998375574547e-06	4.395479805068945e-06	hg38_genes_1to5kb
Caudate	Heritable	0.6776506060257171	5.395730184862753e-23	1.6187190554588259e-22	hg38_genes_introns
Caudate	Heritable	0.6202848335210808	1.7240249903870693e-21	3.448049980774139e-21	hg38_cpg_islands
Caudate	Heritable	0.840017170740824	0.011919167405687983	0.011919167405687983	hg38_cpg_shelves
Caudate	Heritable	0.5164102564102564	4.19753534083564e-19	7.195774870003953e-19	hg38_genes_5UTRs
Caudate	Heritable	0.6784027584059372	1.4125016769243353e-21	3.390004024618405e-21	hg38_genes_exons
Caudate	Heritable	0.7197890025575447	1.4056254275778912e-05	1.5334095573576996e-05	hg38_genes_3UTRs
Caudate	Heritable	0.7285734422166207	1.1655291345975332e-06	1.5540388461300443e-06	hg38_enhancers_fantom
Caudate	Non-heritable	0.5477620744994636	8.911355371225951e-40	5.346813222735571e-39	hg38_genes_intergenic
Caudate	Non-heritable	0.5755002374940054	4.643954368834397e-49	5.572745242601276e-48	hg38_cpg_inter
Caudate	Non-heritable	1.2367770172402073	8.149479804029822e-07	1.0865973072039763e-06	hg38_genes_promoters
Caudate	Non-heritable	1.5435293228036844	2.2973835554974867e-29	9.189534221989947e-29	hg38_cpg_shores
Caudate	Non-heritable	1.2141903781108143	1.285743145319497e-06	1.5428917743833962e-06	hg38_genes_1to5kb
Caudate	Non-heritable	1.491569564269232	3.1357630939760875e-24	9.407289281928263e-24	hg38_genes_introns
Caudate	Non-heritable	1.5549217104516388	9.466802781283114e-19	1.8933605562566227e-18	hg38_cpg_islands
Caudate	Non-heritable	1.2151272072760477	0.004856273924548408	0.004856273924548408	hg38_cpg_shelves
Caudate	Non-heritable	1.8530740343314573	3.9806855986729326e-17	6.824032454867884e-17	hg38_genes_5UTRs
Caudate	Non-heritable	1.4569359235846138	1.6372786247983864e-20	3.929468699516127e-20	hg38_genes_exons
Caudate	Non-heritable	1.4159519942000256	4.279044897563767e-06	4.668048979160474e-06	hg38_genes_3UTRs
Caudate	Non-heritable	1.384050136857261	6.251164288612576e-07	9.376746432918865e-07	hg38_enhancers_fantom
Caudate	Low prediction	1.0910960199161757	0.7634835582179744	0.8067453086522842	hg38_genes_intergenic
Caudate	Low prediction	0.9289342356617157	0.8067453086522842	0.8067453086522842	hg38_cpg_inter
Caudate	Low prediction	2.107854833411138	0.004403383103852902	0.01761353241541161	hg38_genes_promoters
Caudate	Low prediction	0.8324399895019482	0.5302918553157028	0.6363502263788433	hg38_cpg_shores
Caudate	Low prediction	0.6616224119474687	0.18878034640446678	0.2831705196067002	hg38_genes_1to5kb
Caudate	Low prediction	0.6215923730997166	0.06830368137079716	0.16392883528991317	hg38_genes_introns
Caudate	Low prediction	2.8127116466988955	0.00012994422439340832	0.0015593306927208998	hg38_cpg_islands
Caudate	Low prediction	0.1689054961687636	0.04190693352638349	0.1257208005791505	hg38_cpg_shelves
Caudate	Low prediction	2.68609930548357	0.004087865844319692	0.01761353241541161	hg38_genes_5UTRs
Caudate	Low prediction	1.4922029702970296	0.1132408434179599	0.19412716014507408	hg38_genes_exons
Caudate	Low prediction	0.2076177391038852	0.08889044245164122	0.17778088490328245	hg38_genes_3UTRs
Caudate	Low prediction	0.6115592563679996	0.5248999588977566	0.6363502263788433	hg38_enhancers_fantom
DLPFC	Heritable	1.05310774095131	0.25411086371596325	0.38902013026647236	hg38_genes_1to5kb
DLPFC	Heritable	0.8916223404255319	0.009261798815992043	0.05557079289595226	hg38_genes_introns
DLPFC	Heritable	0.9535491535717285	0.27161607414876315	0.38902013026647236	hg38_cpg_inter
DLPFC	Heritable	1.0996060562511096	0.05601854171486319	0.11203708342972638	hg38_genes_promoters
DLPFC	Heritable	1.0388086731429809	0.4023179651909805	0.48278155822917657	hg38_cpg_shores
DLPFC	Heritable	1.0088581253167679	0.8523696937415778	0.8523696937415778	hg38_genes_exons
DLPFC	Heritable	1.1289337695371189	0.016956559845515716	0.06782623938206286	hg38_genes_intergenic
DLPFC	Heritable	1.0759051261507762	0.29176509769985426	0.38902013026647236	hg38_cpg_islands
DLPFC	Heritable	0.8520942998035131	0.026014832485607035	0.07804449745682111	hg38_enhancers_fantom
DLPFC	Heritable	0.7720237859266601	0.002506236006310083	0.030074832075720995	hg38_genes_5UTRs
DLPFC	Heritable	0.8368206483538111	0.05356916781203575	0.11203708342972638	hg38_genes_3UTRs
DLPFC	Heritable	1.0193050193050193	0.819578759427958	0.8523696937415778	hg38_cpg_shelves
DLPFC	Non-heritable	0.9510145383181334	0.2631243535810903	0.35083247144145374	hg38_genes_1to5kb
DLPFC	Non-heritable	1.1460556557619337	0.0020229419080827794	0.012137651448496677	hg38_genes_introns
DLPFC	Non-heritable	1.0551470897630462	0.21862458967526704	0.3279368845129006	hg38_cpg_inter
DLPFC	Non-heritable	0.9127988096823311	0.06587069447880048	0.11292119053508652	hg38_genes_promoters
DLPFC	Non-heritable	0.9690690093789353	0.4965745536796058	0.5958894644155269	hg38_cpg_shores
DLPFC	Non-heritable	0.9895329334611046	0.833960711921741	0.8490688698437568	hg38_genes_exons
DLPFC	Non-heritable	0.8608284380282081	0.0032390758203090786	0.012956303281236314	hg38_genes_intergenic
DLPFC	Non-heritable	0.8754325259515571	0.05649304949315971	0.11292119053508652	hg38_cpg_islands
DLPFC	Non-heritable	1.1786727467279339	0.023519771222046647	0.07055931366613995	hg38_enhancers_fantom
DLPFC	Non-heritable	1.3014944601906726	0.0018750540280895126	0.012137651448496677	hg38_genes_5UTRs
DLPFC	Non-heritable	1.207616158004841	0.04285190164172766	0.10284456394014638	hg38_genes_3UTRs
DLPFC	Non-heritable	0.9829934182038624	0.8490688698437568	0.8490688698437568	hg38_cpg_shelves
DLPFC	Low prediction	0.9106675843083276	0.8677744247097579	1.0	hg38_genes_1to5kb
DLPFC	Low prediction	0.3359987447042209	0.0004711416796275478	0.0018845667185101913	hg38_genes_introns
DLPFC	Low prediction	0.7230320699708455	0.33180393701559585	0.79632944883743	hg38_cpg_inter
DLPFC	Low prediction	0.7905623787976729	0.7128594904314057	1.0	hg38_genes_promoters
DLPFC	Low prediction	0.6594009006069308	0.31043864224101037	0.79632944883743	hg38_cpg_shores
DLPFC	Low prediction	1.0971698113207546	0.8612724526849755	1.0	hg38_genes_exons
DLPFC	Low prediction	3.37411722369664	0.00017427188892229963	0.0010456313335337978	hg38_genes_intergenic
DLPFC	Low prediction	6.0717831074035455	2.6442083496847014e-07	3.173050019621642e-06	hg38_cpg_islands
DLPFC	Low prediction	0.7728002855613064	1.0	1.0	hg38_enhancers_fantom
DLPFC	Low prediction	0.7488255033557047	1.0	1.0	hg38_genes_5UTRs
DLPFC	Low prediction	0.43458980044345896	0.7256075790197858	1.0	hg38_genes_3UTRs
DLPFC	Low prediction	0.8881118881118881	1.0	1.0	hg38_cpg_shelves
Hippocampus	Heritable	0.9813890918593003	0.7019104179982594	0.7019104179982594	hg38_genes_promoters
