tissue	comparison	annotation	estimate	std_error	z_value	p_value	or	ci_lo_log	ci_hi_log	ci_lo_or	ci_hi_or	n_vmrs	n_in_peak	fdr
Caudate	All_VMRs	any_repeat	3.44075449513245	0.188803215896184	18.2240248334774	3.32754743020617e-74	31.2104974554656	3.07628098098597	3.81659391488841	21.6776327689549	45.449140742463	11674	6388	7.9861138324948e-73
Caudate	Intergenic_VMRs	any_repeat	3.36905634803866	0.37055434394473	9.09193591464461	9.72910368688342e-20	29.0510999915438	2.66348731885174	4.11830393182972	14.3462318496955	61.4549220851129	2441	1571	5.18885529967116e-19
Caudate	All_VMRs	LINE	2.68399069496174	0.134516628785094	19.9528542991493	1.41570980811374e-88	14.6434142473769	2.42109669994765	2.94847341551166	11.2581994136598	19.0768091271433	11674	2229	6.79540707894597e-87
Caudate	Intergenic_VMRs	LINE	2.59278017247701	0.24438200163854	10.6095381619467	2.69075773870086e-26	13.3668822304005	2.11573129401249	3.07414427806975	8.29565010769412	21.631363557184	2441	694	1.98702109934833e-25
Caudate	All_VMRs	SINE	1.3438177591032	0.121772224833203	11.0355030545256	2.57605853555155e-28	3.83365156074962	1.10515021503895	1.58256202780244	3.01967803579318	4.867410290554	11674	2994	2.47301619412949e-27
Caudate	Intergenic_VMRs	SINE	0.523045963017445	0.221904949412102	2.35707209056473	0.0184196705819833	1.68715885447695	0.0867226329046445	0.956938448769667	1.09059414283372	2.60371285823104	2441	676	0.0285207802559742
Caudate	All_VMRs	LTR	2.1426908590825	0.142693828086814	15.0160023584125	5.76832458936206e-51	8.5223392164798	1.86270678140767	2.42216060461252	6.44114797622202	11.2701834383335	11674	1288	1.10751832115751e-49
Caudate	Intergenic_VMRs	LTR	1.08694497560844	0.234891858529131	4.62742720166966	3.70236308069587e-06	2.96520145830948	0.625411579763658	1.54659026120781	1.86901504792202	4.69543265736498	2441	527	9.11350912171292e-06
Caudate	All_VMRs	DNA	0.702809660292559	0.173441429044922	4.05214408208393	5.07503937423884e-05	2.0194186244153	0.360317588766162	1.04043822793247	1.43378469617295	2.83045712798064	11674	836	0.000103660378707857
Caudate	Intergenic_VMRs	DNA	0.480498327136882	0.304659010903133	1.57716761999749	0.114756961374674	1.61687993661589	-0.120602698541137	1.07484149831339	0.886386052116429	2.92952852852005	2441	225	0.153009281832899
Caudate	All_VMRs	Satellite	-4.48435727345666	1.83246986914312	-2.44716562545914	0.0143984656580375	0.011284137805402	-8.83642000171368	-1.50728695547402	0.000145342141028336	0.221510130317726	11674	39	0.0234280119181626
Caudate	Intergenic_VMRs	Satellite	-5.44428741162469	2.95649056299307	-1.84146957198911	0.0655527756415856	0.00432091794675054	-13.3570846063001	-1.07319044428334	1.58158253731844e-06	0.341915911730753	2441	14	0.0912038617622061
Caudate	All_VMRs	Simple_repeat	-0.608715842851479	0.146442686512509	-4.1566831184805	3.22901371931199e-05	0.544049065177989	-0.897707746425199	-0.323542491375578	0.407502689458354	0.723581211308143	11674	1761	7.20896086171979e-05
Caudate	Intergenic_VMRs	Simple_repeat	-0.179658746895076	0.261548462612475	-0.686904236027832	0.492143077377087	0.835555298605045	-0.696463051405899	0.329297787673489	0.498344810291241	1.38999171636262	2441	399	0.53085095986742
Caudate	All_VMRs	Low_complexity	-1.46841698986869	0.294792339990024	-4.98119113243711	6.31940850381713e-07	0.230289747798855	-2.0629676308276	-0.90567731826255	0.127076294242792	0.404267974269149	11674	386	1.7333234753327e-06
Caudate	Intergenic_VMRs	Low_complexity	-0.544301753101588	0.465912698622247	-1.16824837509505	0.242706592592816	0.580246797450101	-1.47939224964293	0.353037190994619	0.227776077318913	1.42338407951886	2441	87	0.294934593530511
Caudate	All_VMRs	L1	3.43063155800371	0.145008883097929	23.65807862741	9.74675700744952e-124	30.8961492996439	3.14717174812183	3.71568452229015	23.270157557227	41.086702224076	11674	1409	9.35688672715154e-122
Caudate	Intergenic_VMRs	L1	2.94799593813373	0.254898678680576	11.5653637492095	6.17291446287253e-31	19.0677025566056	2.45034964611762	3.45002697596125	11.5923992480976	31.5012420735717	2441	525	7.40749735544703e-30
Caudate	All_VMRs	Alu	2.46980946362976	0.133488219327107	18.502078131536	1.98664028436014e-76	11.8201944601239	2.20823067507331	2.73158797894172	9.09960198881382	15.3572546641429	11674	1838	6.35724890995245e-75
Caudate	Intergenic_VMRs	Alu	0.981793639361425	0.241043252486197	4.07310152528599	4.63911896297037e-05	2.66923960405263	0.508045194994082	1.45341488302634	1.66203905506696	4.27769743788218	2441	459	9.68163957489467e-05
Caudate	All_VMRs	MIR	-0.745313960124031	0.166514961384034	-4.47595791951156	7.6069467669676e-06	0.474585275695281	-1.0753262322189	-0.422361040932118	0.341186431136729	0.655497335297143	11674	1376	1.78113875519241e-05
Caudate	Intergenic_VMRs	MIR	-0.374710796568198	0.300521577196328	-1.24686819516924	0.212445830282748	0.687488073953776	-0.970769142961482	0.208457587238569	0.378791581153224	1.23177668590232	2441	284	0.261471791117228
Caudate	All_VMRs	ERV1	1.42084594874298	0.200144690703687	7.09909387927023	1.25577489069153e-12	4.14062171282714	1.02595721978554	1.81091270005265	2.78976460075798	6.11602698376487	11674	561	5.02309956276612e-12
Caudate	Intergenic_VMRs	ERV1	0.327565957744482	0.311029281419481	1.05316758682504	0.292264191092274	1.3875865703602	-0.286721515624448	0.933836596077286	0.750720763732343	2.54425174277974	2441	228	0.346387189442696
Caudate	All_VMRs	ERVL	1.37556020105589	0.252080611087346	5.45682666795527	4.84719102313117e-08	3.9572929817942	0.877621790080283	1.86666385582129	2.40517289330103	6.46668657381406	11674	278	1.41009193400179e-07
Caudate	Intergenic_VMRs	ERVL	0.754383775444177	0.374091394638951	2.01657612619574	0.0437397665013808	2.12630084076823	0.0171928569139519	1.48619118299225	1.01734150475011	4.42022757796829	2441	125	0.0636214785474629
Caudate	All_VMRs	ERVL_MaLR	2.09501049094256	0.192080003986903	10.9069681771008	1.06757590776908e-27	8.12552621419426	1.71761464008126	2.47088730585451	5.57122322910847	11.8329416333045	11674	507	8.54060726215263e-27
Caudate	Intergenic_VMRs	ERVL_MaLR	1.27163017093325	0.299493595168429	4.24593444216431	2.17684277128398e-05	3.56666209467908	0.683320782532692	1.85833673957767	1.98044344654635	6.41306130479542	2441	224	4.97564062007766e-05
Caudate	All_VMRs	ERVK	1.53363258988377	0.480947323018629	3.18877456320589	0.00142877254285055	4.63498327169387	0.576055077504877	2.46847000486118	1.77900652684485	11.8043723958749	11674	77	0.00254004007617875
Caudate	Intergenic_VMRs	ERVK	0.132707746563437	0.714778396847951	0.185662783246744	0.852709215480587	1.14191622061968	-1.30882609162553	1.51791715298583	0.270136986395477	4.56271186039603	2441	29	0.870851964746132
Caudate	All_VMRs	SVA	-0.265861331963151	1.00363722660347	-0.264897838497764	0.791088163502472	0.766545415479397	-2.45093910232897	1.55641814218317	0.0862125860311311	4.74180631478407	11674	34	0.825483301046058
Caudate	Intergenic_VMRs	SVA	-1.30832351284326	1.65538322498331	-0.790344793337176	0.429326433837707	0.270272785635196	-5.13542723270519	1.67720461088219	0.00588453690147019	5.35057809859358	2441	10	0.479248112190929
DLPFC	All_VMRs	any_repeat	2.31203765628356	0.238576700271497	9.69096166412099	3.29412203255336e-22	10.0949737986509	1.85167838174013	2.78725202971016	6.370502690268	16.2363414585797	9522	6212	1.97647321953202e-21
DLPFC	Intergenic_VMRs	any_repeat	3.10812658284051	0.539314834690721	5.76310233450729	8.25816877231695e-09	22.379079752352	2.09087584098465	4.20876234440871	8.09199936622775	67.2732271788172	2021	1426	2.55736839400783e-08
DLPFC	All_VMRs	LINE	1.65978815308966	0.190021951801809	8.7347179489073	2.44264853606126e-18	5.25819679370224	1.28693778398726	2.03205239383774	3.62167919384128	7.62972951016535	9522	1995	1.23418031295727e-17
DLPFC	Intergenic_VMRs	LINE	2.15851393149127	0.346973655953889	6.22097353632557	4.94079503029579e-10	8.65826132378178	1.48054273318655	2.84190994105569	4.39533052543511	17.1484868784144	2021	502	1.69398686752999e-09
DLPFC	All_VMRs	SINE	0.850683385930665	0.172383241881651	4.93483807732715	8.02172823040256e-07	2.34124628011844	0.512730439029459	1.18868558239051	1.66984438429415	3.28276344825128	9522	3478	2.08131327059093e-06
DLPFC	Intergenic_VMRs	SINE	0.0740122104705874	0.32016814059536	0.23116669364091	0.817185303887795	1.07681995389432	-0.556393874926315	0.699864198997999	0.573272633685496	2.0134792564029	2021	765	0.84354612014224
DLPFC	All_VMRs	LTR	2.64743377458533	0.200876163834943	13.1794321637917	1.15255038381757e-39	14.1177627576443	2.25234656476285	3.04007405490707	9.51002556486916	20.9067914282627	9522	1167	1.58064052637838e-38
DLPFC	Intergenic_VMRs	LTR	2.10796022206976	0.347759545243309	6.06154525706817	1.34819940096043e-09	8.23143385163401	1.42583330388292	2.79033059185337	4.16132404584068	16.2864030640818	2021	417	4.31423808307339e-09
DLPFC	All_VMRs	DNA	0.419495915169069	0.248409396108752	1.6887280503086	0.0912715575721839	1.52119455121907	-0.0752135539368731	0.899249540877486	0.927545384208136	2.45775797200177	9522	891	0.123409429956756
DLPFC	Intergenic_VMRs	DNA	0.580697412289266	0.436274008394484	1.33103829500701	0.183176410611723	1.78728447035194	-0.292271751140237	1.4208074545766	0.746565628343652	4.14046232611377	2021	210	0.231380729193755
DLPFC	All_VMRs	Satellite	-1.22109391259878	1.23474084733304	-0.988947531165157	0.322688813477271	0.2949073875033	-3.94570739516186	0.948681055235535	0.0193375322534511	2.58230149917982	9522	56	0.377782025534366
DLPFC	Intergenic_VMRs	Satellite	-3.63028381890291	2.71527601505385	-1.33698519000504	0.181227471136385	0.0265086596824063	-10.0699730883348	0.73539993676194	4.23317531373445e-05	2.08631622022824	2021	22	0.231380729193755
DLPFC	All_VMRs	Simple_repeat	-0.178897705682212	0.218598464295694	-0.818385006768484	0.413137380234434	0.836191432654322	-0.612474495881562	0.244841877788373	0.542008011719436	1.27741930886833	9522	1512	0.466602217676537
DLPFC	Intergenic_VMRs	Simple_repeat	-0.456570063002068	0.402757844318171	-1.13360936215903	0.256958444160741	0.633452626246074	-1.26189072529207	0.319056471199813	0.283118221347465	1.37582901742768	2021	331	0.308350132992889
DLPFC	All_VMRs	Low_complexity	-1.77018549056316	0.532250678260628	-3.325849196375	0.000881496066190683	0.170301396593509	-2.87164756549669	-0.779215985770484	0.056605588296296	0.458765549063925	9522	309	0.00162737735296742
DLPFC	Intergenic_VMRs	Low_complexity	-2.55770658439763	1.11159325729265	-2.3009374765614	0.021395165401914	0.0774822357986797	-4.99278880320616	-0.578740675117664	0.00678671127395645	0.560603904667598	2021	56	0.0326021568029165
DLPFC	All_VMRs	L1	2.13393484329064	0.206739557568316	10.3218506820374	5.61306397675229e-25	8.4480432228388	1.72659629085763	2.53734032576766	5.62148740026485	12.6459919840982	9522	1129	3.84895815548728e-24
DLPFC	Intergenic_VMRs	L1	1.83242648841697	0.363582456943013	5.03991997805379	4.65726538675124e-07	6.24903147922948	1.11641730879095	2.54306416182416	3.05389342335089	12.7185831206819	2021	335	1.31499257978858e-06
DLPFC	All_VMRs	Alu	1.33784378620653	0.178535308323579	7.49344092644023	6.70910371495288e-14	3.81081770256394	0.986755268206341	1.68685651076156	2.68251629002328	5.4024713741876	9522	2524	2.80032155058903e-13
DLPFC	Intergenic_VMRs	Alu	0.418189914873613	0.332908263070445	1.25617162823358	0.209053750889418	1.51920916742384	-0.240216086784939	1.0661833591502	0.786457899544993	2.90427375029489	2021	584	0.260638442667326
