tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	All_VMRs	H3K27me3	1.30066947623153	1.16384475715944	1.45447211703143	2.46649242020049e-06	5029	6548	588	962	6.34240908051555e-06
Caudate	All_VMRs	H3K9me3	0.336493140884785	0.28491257047681	0.396516185620577	8.85471690663032e-43	5029	6548	487	228	9.56309425916075e-42
Caudate	All_VMRs	H3K27me3_broad	0.979232892574989	0.903800161213048	1.06105296343565	0.612473108313751	5029	6548	1574	2020	0.674970364264133
Caudate	All_VMRs	H3K9me3_broad	0.551365046210371	0.506682206154617	0.599941753439863	1.83733305210952e-44	5029	6548	1647	1386	3.30719949379713e-43
Caudate	All_VMRs	Polycomb	1.04291036200603	0.935673942902007	1.16281446039846	0.44511062222547	5029	6548	674	910	0.511403693620752
Caudate	All_VMRs	Het	0.124033338314042	0.0759715762303938	0.194074442136897	2.64775415859521e-29	5029	6548	139	23	1.58865249515712e-28
Caudate	All_VMRs	Quies	0.343267954244694	0.315345104523254	0.373632283448016	2.04905640440584e-142	5029	6548	2016	1223	1.10649045837915e-140
Caudate	All_VMRs	BroadRepressive	0.414427602781373	0.383832316057033	0.447394431078577	7.60530048165605e-117	5029	6548	2687	2110	2.05343113004713e-115
Caudate	All_VMRs	Bivalent	1.42103286373901	1.14345498851997	1.7720266577256	0.00112359196069781	5029	6548	135	247	0.00173354188221948
Caudate	Intergenic_VMRs	H3K27me3	1.66362412158797	1.32790289508221	2.08640371377571	5.45002428601875e-06	1329	1069	172	212	1.27957091932614e-05
Caudate	Intergenic_VMRs	H3K9me3	0.268588768046094	0.19535962202764	0.364398835126657	8.02253502649995e-21	1329	1069	234	58	3.93833537664543e-20
Caudate	Intergenic_VMRs	H3K27me3_broad	1.05273889512394	0.890552138657052	1.24441796347458	0.558257266480514	1329	1069	533	442	0.628039424790579
Caudate	Intergenic_VMRs	H3K9me3_broad	0.386664130256839	0.322872501967816	0.462307357696979	2.34193247330376e-27	1329	1069	615	267	1.26464353558403e-26
Caudate	Intergenic_VMRs	Polycomb	1.55129648615216	1.26479964100613	1.90375630649019	1.80636566777474e-05	1329	1069	229	261	3.90174984239345e-05
Caudate	Intergenic_VMRs	Het	0.180804992749789	0.0824574803841526	0.356095495079856	5.16613027356753e-09	1329	1069	66	10	1.74356896732904e-08
Caudate	Intergenic_VMRs	Quies	0.313430824044329	0.26388274985986	0.371921116441605	2.10554122584783e-43	1329	1069	840	374	2.84248065489457e-42
Caudate	Intergenic_VMRs	BroadRepressive	0.343191966463294	0.284528038753169	0.413365944187577	1.66777850201338e-31	1329	1069	1071	628	1.28657198726746e-30
Caudate	Intergenic_VMRs	Bivalent	3.05109344510727	1.71101568330418	5.65655805373315	4.03797198841711e-05	1329	1069	18	43	8.07594397683423e-05
DLPFC	All_VMRs	H3K27me3	0.843792049451784	0.764575103860423	0.931001359139724	0.000618205895563437	5295	4138	1291	885	0.00111277061201419
DLPFC	All_VMRs	H3K9me3	0.622277602913002	0.512685213751326	0.753104415692535	4.90289362606966e-07	5295	4138	345	172	1.39345397793559e-06
DLPFC	All_VMRs	H3K27me3_broad	0.824962663390376	0.759561022526423	0.895938214301147	3.88028935531279e-06	5295	4138	2573	1813	9.52434659940413e-06
DLPFC	All_VMRs	H3K9me3_broad	0.79481138842749	0.7289628523945	0.866480746270081	1.38670213956202e-07	5295	4138	2006	1351	4.16010641868607e-07
DLPFC	All_VMRs	Polycomb	0.81835228621042	0.725158298582615	0.92300764376535	0.000983454391028314	5295	4138	794	522	0.00156195697398615
DLPFC	All_VMRs	Het	0.737447203017092	0.477176123955074	1.12500145647246	0.158209519383916	5295	4138	64	37	0.203412239207892
DLPFC	All_VMRs	Quies	0.725772719522444	0.664377445640796	0.792666911559484	4.94455071213405e-13	5295	4138	1924	1212	2.05389029580953e-12
DLPFC	All_VMRs	BroadRepressive	0.681105461648829	0.626921241509642	0.739871549949314	3.75809797275914e-20	5295	4138	2709	1723	1.69114408774161e-19
DLPFC	All_VMRs	Bivalent	0.946786551800473	0.743052996953609	1.20385168145178	0.677162359039081	5295	4138	170	126	0.716995438982557
DLPFC	Intergenic_VMRs	H3K27me3	0.909200953690014	0.74696616598463	1.10577459662546	0.355050869733694	1161	818	389	257	0.426061043680433
DLPFC	Intergenic_VMRs	H3K9me3	0.650073090045551	0.460490690766854	0.909303379325204	0.0109053442829411	1161	818	122	58	0.0159159078724006
DLPFC	Intergenic_VMRs	H3K27me3_broad	0.760915062167426	0.630567156157343	0.918188482350226	0.00360772899027694	1161	818	748	474	0.00541159348541541
