"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005515","protein binding",0.87184661134978,3816,1.04735982483023,0,0,135614,3671,6467,1.01783223380133,0.000463495196461938,0.0318652947567583
"GO:0005488","binding",0.926390031389248,4014,1.0368385210538,0,0,137338,4073,7206,1.01347917494298,0.000414017034226388,0.0318652947567583
"GO:0003674","molecular_function",0.953914399081044,4089,1.02573537861529,0,0,137367,4369,7784,1.00640756897812,0.0118965407633658,0.40678322557603
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0430076874203172,243,1.35203461883923,2.50838631798977e-06,0.000689806237447188,175667,116,181,1.14914304063838,0.0133129055643064,0.40678322557603
"GO:0097367","carbohydrate derivative binding",0.182394119144496,875,1.14795496416191,4.90654875906493e-06,0.00107944072699429,140392,588,1041,1.01279435828498,0.322384227505168,0.925555601766324
"GO:0035639","purine ribonucleoside triphosphate binding",0.142466449059795,694,1.16566699402692,1.04346795050114e-05,0.00191302457591876,132399,474,830,1.02398813905826,0.217670792828997,0.912112409008726
"GO:0032555","purine ribonucleotide binding",0.145973282322299,707,1.15897393543019,1.69529238001065e-05,0.00219032133628172,131125,484,850,1.02098911695826,0.245834632711436,0.912112409008726
"GO:0032559","adenyl ribonucleotide binding",0.117122050946516,578,1.18090999520934,1.74252087100646e-05,0.00219032133628172,131172,401,703,1.02278352666618,0.252018063363601,0.912112409008726
"GO:0032553","ribonucleotide binding",0.146526065488237,709,1.1578677985284,1.84266353689955e-05,0.00219032133628172,130988,487,857,1.01892640328281,0.267806414893294,0.912112409008726
"GO:0005524","ATP binding",0.114377595608871,565,1.18204800378018,1.99120121480156e-05,0.00219032133628172,132964,391,685,1.02348354051118,0.24850278841319,0.912112409008726
"GO:0017076","purine nucleotide binding",0.150983044125877,727,1.15221589562906,2.53302631969543e-05,0.00253302631969543,130651,503,887,1.01680820519418,0.288499514439664,0.925555601766324
"GO:0030554","adenyl nucleotide binding",0.122033063901944,597,1.17064292487101,3.14011406478132e-05,0.00287843789271621,130741,419,739,1.0166331372658,0.311409144032693,0.925555601766324
"GO:0005509","calcium ion binding",0.0619057975435599,323,1.24852955719292,3.72555889965875e-05,0.00292880334668085,173330,192,321,1.07248412687359,0.0760547665651171,0.697168693513573
"GO:1901265","nucleoside phosphate binding",0.160560498988054,767,1.14310015497074,3.79919137261098e-05,0.00292880334668085,129003,532,945,1.00942603237685,0.378426158613828,0.974792996581899
"GO:0000166","nucleotide binding",0.159040213791914,760,1.14349500081359,3.99382274547389e-05,0.00292880334668085,128279,529,939,1.01014741469358,0.36895251057585,0.974792996581899
"GO:0045296","cadherin binding",0.0363803379603721,202,1.32865513128091,4.60465023571777e-05,0.00316569703705596,145417,122,191,1.14530495682328,0.0131508584574538,0.40678322557603
"GO:1901363","heterocyclic compound binding",0.168433319938905,798,1.13371139355688,6.96432468171304e-05,0.00450632773522608,128418,558,1001,0.999527617368793,0.521040384217598,0.999999996756235
"GO:0043168","anion binding",0.18959200289488,889,1.12204267590288,9.03705686121636e-05,0.00552264585963222,128870,615,1089,1.01260930281388,0.320141357631859,0.925555601766324
"GO:0001221","transcription coregulator binding",0.0147488176436184,92,1.49265091054355,0.000161633367262159,0.00935772126254607,140736,47,67,1.25781778779087,0.0110717223109046,0.392867565870808
"GO:0050839","cell adhesion molecule binding",0.0579237601036771,297,1.22695131939808,0.000234237198506571,0.0128830459178614,150348,188,310,1.08740376492888,0.0438809636932022,0.60561157478037
"GO:0010484","histone H3 acetyltransferase activity",0.00227950736553326,22,2.3094539655007,0.000367048039494833,0.0192263258783008,241596,8,8,1.79305939961678,0.00933461826644955,0.379541223978563
"GO:0097159","organic cyclic compound binding",0.480488621397705,2117,1.0543028473438,0.000390926577776174,0.0195463288888087,141738,1522,2705,1.00888591727051,0.272199686963616,0.924134739691288
"GO:0061733","peptide-lysine-N-acetyltransferase activity",0.00368671132411292,30,1.94719636723149,0.00062052465515805,0.0296772661162546,203917,15,18,1.49421616634731,0.0140473023316149,0.417622501750713
"GO:0060090","molecular adaptor activity",0.133961688076714,632,1.12892241362898,0.000675522451527133,0.0309614456949936,157949,334,593,1.00991878494436,0.406302321461599,0.985960526347553
"GO:0016407","acetyltransferase activity",0.00713450566142531,49,1.64346258714523,0.000747429942144162,0.0328869174543431,160262,29,40,1.29996806472216,0.0223504519695218,0.501744840132122
