"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04014",0.0216091793334644,274,1.28885918508622,2.48390969993517e-05,0.0086936839497731,144589,120,121,1.01786952524282,0.177842347318997,0.994725684848817
"hsa04910",0.0116713156084752,157,1.36732898770563,9.85912110296194e-05,0.0107176789777744,116311,68,70,0.997027434964042,0.732346752663882,0.994725684848817
"hsa04010",0.0280667801340423,339,1.22772270461856,0.000112327797797684,0.0107176789777744,133008,151,152,1.01959945700173,0.0939524883724724,0.994725684848817
"hsa04919",0.011467014958343,154,1.36509703567441,0.000122487759745993,0.0107176789777744,165403,62,63,1.01006047332958,0.515969730768923,0.994725684848817
"hsa04015",0.0215734199726421,266,1.25330225301177,0.000178885369298998,0.0125219758509298,169199,118,118,1.02635177128651,0.0454342554046283,0.994725684848817
"hsa03013",0.00549142335345348,82,1.51782641914883,0.000227410217162105,0.0132655960011228,67401,48,49,1.00540581677046,0.640301474831928,0.994725684848817
"hsa04660",0.0115533771882536,151,1.32849883190971,0.000440663546470765,0.0220331773235383,146331,54,54,1.02635177128651,0.244349310959095,0.994725684848817
"hsa05417",0.0143605544832995,182,1.2882298578015,0.000521596189198559,0.0228198332774369,121724,89,89,1.02635177128651,0.0975366153644444,0.994725684848817
"hsa04151",0.0318848003419944,370,1.17953601005716,0.000885673484179117,0.0307107631218722,161594,171,172,1.02038460982555,0.0612286382061558,0.994725684848817
"hsa04664",0.00567629250185578,81,1.4504856410689,0.000893265553583267,0.0307107631218722,125798,31,31,1.02635177128651,0.445831308636702,0.994725684848817
"hsa04625",0.00817674893973495,110,1.36743031482489,0.000965195412401698,0.0307107631218722,132656,48,48,1.02635177128651,0.285898004182502,0.994725684848817
"hsa04744",0.00162914250267217,30,1.87178241290064,0.00114921218143249,0.0326045254237628,83277,14,14,1.02635177128651,0.694586640240878,0.994725684848817
"hsa05205",0.0233576096662005,277,1.20543710152478,0.00121102523002548,0.0326045254237628,153710,115,115,1.02635177128651,0.0491769314507293,0.994725684848817
