"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_UP",0.0147219264390815,114,1.75630569325804,1.74332144275979e-08,8.49346206912571e-05,124777,59,75,1.35860838039462,0.000120583550954234,0.18913038040213
"GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP",0.0184792232041278,123,1.50966748516174,8.96422352192339e-06,0.0167929488028173,127418,68,98,1.19835744379325,0.0124451310829203,0.467770787384403
"GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_DN",0.018257380226045,121,1.50316554084825,1.27104978178139e-05,0.0167929488028173,177010,53,77,1.18874495092859,0.0317743053443345,0.552304345983605
"GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP",0.0150787104013995,103,1.54929074150272,1.71143641931604e-05,0.0167929488028173,103064,56,90,1.07460549861721,0.234429199168479,0.720947666435924
"GSE17721_0.5H_VS_24H_CPG_BMDC_UP",0.0124354864021994,88,1.60501759001861,2.0018039943448e-05,0.0167929488028173,80178,52,85,1.0565449020018,0.308716425420054,0.775691812607788
"GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP",0.0135517182237934,94,1.57323424712472,2.2369486325613e-05,0.0167929488028173,123840,56,80,1.20893118594436,0.0171292681952749,0.508864601508412
"GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_DN",0.0158111700638284,106,1.52055367959353,2.71518971050044e-05,0.0167929488028173,110145,58,87,1.15136303423273,0.0586914434666964,0.59946480622588
"GSE17721_0.5H_VS_12H_CPG_BMDC_UP",0.0156339925515276,105,1.5232784549795,2.75746285760547e-05,0.0167929488028173,110546,62,91,1.17666771630378,0.0287300215919719,0.552304345983605
"GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_UP",0.017215096063812,113,1.48877440622474,3.53494877542992e-05,0.0191358560376607,132545,66,90,1.266499337656,0.00165219329154609,0.302104289493381
"GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN",0.00985946301314851,72,1.6563005096004,4.2156597246823e-05,0.0205386941786521,112418,52,75,1.19741755560204,0.0274877557368786,0.552304345983605
"GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_DN",0.0140698916032568,95,1.5314145001835,5.33943565890205e-05,0.0208538225143504,224191,50,80,1.07940284459318,0.235761892828426,0.720947666435924
"GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",0.0183430677510344,118,1.45904920510919,5.45692051839852e-05,0.0208538225143504,136646,68,99,1.18625282314887,0.0174886224307449,0.516391324136904
"GSE3039_CD4_TCELL_VS_NKT_CELL_UP",0.0155576159544504,103,1.50159937660669,5.56444361015096e-05,0.0208538225143504,158896,51,80,1.10099090148504,0.171030135255887,0.677261522360557
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN",0.0191506895416824,122,1.444891765485,6.13674071315851e-05,0.0213558576817916,104227,72,108,1.15136303423273,0.0381383747047874,0.560978026208513
"GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP",0.0175766029605782,113,1.45815402885225,7.91926979402113e-05,0.0219773554506542,126303,65,94,1.19423293444352,0.0160702186629649,0.505123260167515
"GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP",0.0189229091602933,120,1.43831245984546,8.39459257493402e-05,0.0219773554506542,121642,70,102,1.18522665288663,0.0165260113836646,0.506381933718327
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP",0.0215886683038606,134,1.40779314390962,8.44430083188907e-05,0.0219773554506542,171057,68,106,1.10791537256357,0.112108548732046,0.629584405072937
"GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",0.0170576199352094,110,1.46262890806125,8.70833037787122e-05,0.0219773554506542,134598,50,74,1.16692199415479,0.0564310650271216,0.589983151957374
"GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP",0.0197043523999996,124,1.42731365393668,8.81011016720112e-05,0.0219773554506542,140496,67,96,1.20533317646239,0.0106900372721666,0.441371708389792
"GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN",0.0183907019184695,117,1.44293729183762,9.02190289435723e-05,0.0219773554506542,73264,71,100,1.22620163145785,0.0045172106326814,0.386608055671925
"GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN",0.0199722102537066,125,1.41952741647206,0.000102990860551655,0.023893879647984,145374,61,86,1.22499671665459,0.00846829524341963,0.415351379887408
"GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.0153033871401512,100,1.48208235277779,0.000112078969441987,0.024820397232789,75617,58,89,1.12548970762076,0.0980694279257411,0.618014007156033
"GSE11057_CD4_CENT_MEM_VS_PBMC_UP",0.016475754411187,106,1.45921893585092,0.000125636400093443,0.026613067011098,155356,56,93,1.03994080511343,0.365575142392403,0.798045818315579
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN",0.016496940145712,106,1.45734497469717,0.000131547221510431,0.0267040859666174,95634,62,105,1.01977868746327,0.446460751765182,0.831373045279168
"GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_DN",0.0189754012031608,119,1.42238084626618,0.00013761038216642,0.0268175112765919,159983,66,92,1.23896674335913,0.00408733476498657,0.386608055671925
"GSE4142_NAIVE_VS_MEMORY_BCELL_UP",0.0182525223506126,115,1.42900863342819,0.00014826836963433,0.0277832114176329,198835,55,86,1.10450523632791,0.150741996514341,0.661900945618474
"GSE17721_0.5H_VS_12H_LPS_BMDC_UP",0.0162211207739351,104,1.45416063092095,0.000163205683924028,0.0284230257905058,163761,52,77,1.16631580091107,0.0530163105991789,0.585704002809976
"GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_DN",0.00996876521037907,70,1.5926361668315,0.000163350722933941,0.0284230257905058,134471,46,80,0.993050617025727,0.576342189087675,0.877316723907662
"GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP",0.0231314485766223,140,1.37272994037623,0.000173529061883837,0.0289386060434239,135842,64,102,1.08363579692492,0.185463636695244,0.681641464889704
"GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP",0.0175840247147111,111,1.43174143738993,0.000178193386966896,0.0289386060434239,139370,52,85,1.0565449020018,0.308716425420054,0.775691812607788
"GSE31082_CD4_VS_CD8_SP_THYMOCYTE_DN",0.0220427447158123,134,1.37879286886229,0.000197759589857238,0.030429822465715,148116,64,99,1.11647324531658,0.102244715310331,0.62111752243383
"GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP",0.0142616427418551,93,1.4790174455128,0.000202984023585651,0.030429822465715,130571,53,89,1.02846473282586,0.419500608044712,0.819724204047431
"GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN",0.0174695947600797,110,1.42813662037375,0.000207806539009869,0.030429822465715,134795,63,100,1.08803806734993,0.174588266363821,0.677573890019773
"GSE42724_B1_BCELL_VS_PLASMABLAST_UP",0.0213092055255094,130,1.38368105691651,0.000212359187979128,0.030429822465715,130226,68,93,1.26278526335202,0.00160827112059181,0.302104289493381
"GSE7460_CTRL_VS_TGFB_TREATED_ACT_CD8_TCELL_UP",0.0171249554863428,108,1.43038914402618,0.000223062604501445,0.0310503145466011,122801,68,96,1.22332322387227,0.00590218486940408,0.393910201147078
"GSE2826_XID_VS_BTK_KO_BCELL_UP",0.0132288044485185,87,1.49162123399562,0.000245131152690092,0.0331744159973925,188542,51,84,1.04856276331909,0.341465324076194,0.794750962542261
"GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN",0.0212213589447723,129,1.37872109413682,0.000257327041424782,0.0338837120492307,129942,64,92,1.20142229659067,0.0138561947007501,0.482105837819447
"GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN",0.0136594011292131,89,1.47780880180591,0.000280671571649904,0.0349077679420211,164342,59,89,1.14489470257973,0.0651419537151396,0.599484850490781
"GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP",0.00981398790146124,68,1.57153224226433,0.000286234635820781,0.0349077679420211,105560,48,74,1.1202451143886,0.135244361588208,0.647147301974625
"GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_DN",0.0134868116103763,88,1.47990310775984,0.000289512044933771,0.0349077679420211,117539,49,69,1.22645192776964,0.0168078745467327,0.508620899327216
"GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP",0.0188030815662924,116,1.39922920231397,0.000301524871436087,0.0349077679420211,134872,68,97,1.21071164424472,0.00866776950690218,0.415351379887408
"GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_DN",0.0222888770710574,134,1.36356708897548,0.000306385850966651,0.0349077679420211,118431,68,104,1.12922143742056,0.0717835271215717,0.605756883121433
"GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_UP",0.0157799986964701,100,1.43731824408948,0.000316703176538535,0.0349077679420211,168656,50,89,0.970249747948927,0.671139863805682,0.897166983036538
