"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-162582",0.245442788612331,1946,1.20038272683254,0,0,123918,947,1324,1.05526536774743,0.00079254539469209,0.620563044043907
"R-HSA-5663202",0.0487080170454039,457,1.42050553003474,1.72195591119362e-13,1.3482914784646e-10,144365,182,233,1.15243160074218,0.000278469407641424,0.43608309236647
"R-HSA-73857",0.105101427565155,875,1.26045288342128,1.37445610448594e-12,7.17466086541663e-10,142089,398,581,1.01066361581231,0.368574307941371,0.945923570096832
"R-HSA-157118",0.0228043015692213,242,1.60666661092488,2.46169751250136e-12,9.63754576144282e-10,133158,69,99,1.02828520619003,0.385660948676768,0.948454970592995
"R-HSA-212436",0.0994915753272195,829,1.26152366288436,5.08726394343739e-12,1.59333106708459e-09,143376,371,543,1.00803072939263,0.409774112440568,0.948454970592995
"R-HSA-74160",0.12025270701136,975,1.22754361639762,1.79789516607798e-11,4.69250638346352e-09,136689,464,678,1.00968982154558,0.369059009663189,0.945923570096832
"R-HSA-1266738",0.134645604622492,1061,1.19302729827701,8.71838379268297e-10,1.95042700276308e-07,131285,468,641,1.07717809973539,0.00165903647640753,0.649512780513547
"R-HSA-1980143",0.0162357769090004,169,1.57594409577322,1.66850713245736e-08,3.26610271178529e-06,143623,36,51,1.04143463337916,0.396177490828676,0.948454970592995
"R-HSA-2644602",0.0144451721961434,152,1.5931183599702,4.50472398272339e-08,5.42645981303448e-06,147689,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-2644603",0.0144451721961434,152,1.5931183599702,4.50472398272339e-08,5.42645981303448e-06,147689,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-2644606",0.0144451721961434,152,1.5931183599702,4.50472398272339e-08,5.42645981303448e-06,147689,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-2894858",0.0144451721961434,152,1.5931183599702,4.50472398272339e-08,5.42645981303448e-06,147689,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-2894862",0.0144451721961434,152,1.5931183599702,4.50472398272339e-08,5.42645981303448e-06,147689,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-9012852",0.00789117460878135,95,1.82267455254683,5.48642009601252e-08,6.13695276453972e-06,125540,26,32,1.19873465612914,0.0698921998081292,0.858318740375497
"R-HSA-1643685",0.158926749008098,1210,1.15269802425968,6.53785228177384e-08,6.82551778217189e-06,121915,602,846,1.04984653644625,0.0143218393004425,0.849599254309343
"R-HSA-8878171",0.011828125739937,128,1.63840481272036,1.18799662662816e-07,1.11259518564832e-05,168024,66,85,1.14557809671708,0.030071817166992,0.849599254309343
"R-HSA-3247509",0.0191111078574535,188,1.48935821000849,1.27884504097509e-07,1.11259518564832e-05,138204,84,121,1.02422083778612,0.389516445188823,0.948454970592995
"R-HSA-4839726",0.0191111078574535,188,1.48935821000849,1.27884504097509e-07,1.11259518564832e-05,138204,84,121,1.02422083778612,0.389516445188823,0.948454970592995
"R-HSA-109582",0.0531700017546874,447,1.27282303544485,2.40358377867622e-07,1.98105905126682e-05,98107,224,305,1.08354729068521,0.0170892938821966,0.849599254309343
"R-HSA-383280",0.00610262885113273,76,1.88548817239112,3.17858392828718e-07,2.48883121584886e-05,126718,22,27,1.20214985457965,0.0894771339343738,0.878157591294158
"R-HSA-9006934",0.0578569845136828,480,1.25606646505173,3.65139865232678e-07,2.72290013787797e-05,124406,225,314,1.05718881971213,0.0744799286889897,0.86396717279228
"R-HSA-76002",0.0265057311018224,243,1.3880134160269,4.86351142914287e-07,3.46193586274443e-05,96538,109,139,1.15694147221318,0.00356036272517035,0.729350993110695
"R-HSA-3108232",0.0194132023410778,187,1.45838303429968,5.2089855462345e-07,3.54663972408836e-05,129159,73,94,1.14576274824782,0.0230383238319465,0.849599254309343
"R-HSA-5357801",0.0158989089596351,158,1.50458574387386,7.01585110229885e-07,4.57784284425e-05,148595,67,96,1.02968233282888,0.381133275150356,0.948454970592995
"R-HSA-5653656",0.05252417613767,437,1.25964847716183,9.34485395065465e-07,5.85361651469007e-05,158063,220,313,1.03699827711344,0.183007300886045,0.945923570096832
"R-HSA-109581",0.013084545962629,134,1.55050552926532,1.08160509326716e-06,6.51459067713988e-05,144124,58,82,1.04355137043888,0.328329354030182,0.945923570096832
"R-HSA-9006925",0.0276319796007869,249,1.36431459637679,1.22894997311995e-06,7.12790984409573e-05,146763,119,156,1.12543924322973,0.0121454657152972,0.849599254309343
"R-HSA-3700989",0.0243659047083501,223,1.3856370896556,1.57991413929359e-06,8.83623407904916e-05,153114,104,148,1.03674348638196,0.288425633051285,0.945923570096832
"R-HSA-2990846",0.0199634009273077,188,1.42577336865091,1.92588201575195e-06,0.000101554791523784,129029,74,96,1.13726108401995,0.0294101755397496,0.849599254309343
"R-HSA-8953897",0.0500685288925177,416,1.25792769112453,1.94549409049394e-06,0.000101554791523784,121625,216,320,0.995871868168825,0.570054120166596,0.993396453315862
"R-HSA-2262752",0.0499221142999243,414,1.25555155101792,2.45323733105707e-06,0.000123928053562431,122193,214,317,0.995988221933069,0.568768119284027,0.993396453315862
"R-HSA-199991",0.0497837067553634,412,1.25295987776646,3.13430111043012e-06,0.000153384860591674,160128,206,293,1.03728785156252,0.190412271172551,0.945923570096832
"R-HSA-9716542",0.0682377791285541,546,1.21142055104418,3.49373174168832e-06,0.000165793451741937,126822,267,361,1.0911984766639,0.00543333123590717,0.773508792311875
"R-HSA-5684996",0.0248617697543598,223,1.35800072241371,5.78187698918597e-06,0.000266306451913683,128881,102,137,1.09844747827218,0.0535628979021174,0.849599254309343
"R-HSA-392499",0.155276793355706,1157,1.12811658281543,5.99135697043618e-06,0.000268070429020087,123171,618,898,1.01534078120652,0.253327096450425,0.945923570096832
"R-HSA-9006931",0.0281922441902575,248,1.33183127914709,6.71357930981387e-06,0.000292040699976903,125583,83,129,0.949266322802325,0.825949488807907,0.999999937170905
"R-HSA-9006936",0.0158433171690098,152,1.45252845683234,6.99268017412269e-06,0.000295960463585841,131265,54,75,1.06226332604675,0.256972422577858,0.945923570096832
"R-HSA-2122948",0.00503826339481907,61,1.833057738859,9.86160188010121e-06,0.00040640180379575,111271,13,20,0.958987724903313,0.700450890418877,0.999999937170905
"R-HSA-194315",0.0678660233270474,538,1.20020947695444,1.07498810530959e-05,0.00043164906997816,128140,262,356,1.08580286916451,0.00886167551557304,0.849599254309343
"R-HSA-195721",0.0246319674758284,219,1.34608408778695,1.19439037916669e-05,0.000457710437594033,118205,98,139,1.04018591079717,0.27618196037736,0.945923570096832
"R-HSA-445144",0.00194342494387631,31,2.4150220439596,1.19834788897544e-05,0.000457710437594033,174456,9,10,1.32782915755843,0.117606356527901,0.878157591294158
"R-HSA-5673001",0.0245263888282005,218,1.34570560905189,1.27001531287085e-05,0.000473534280941847,129939,98,132,1.0953472848546,0.0638793204397526,0.849599254309343
"R-HSA-8939211",0.0167223766565724,157,1.42144097084858,1.49391472019644e-05,0.000544062895773867,125252,55,91,0.891704562462928,0.945337304593312,0.999999937170905
"R-HSA-193704",0.0134990822779091,131,1.46924502659232,1.73570544728108e-05,0.000613400290448007,113840,43,59,1.07526654943527,0.244264569294242,0.945923570096832
"R-HSA-2682334",0.0082607570686792,88,1.61283522308569,1.76264451278163e-05,0.000613400290448007,111682,44,57,1.13887880960177,0.0803974392170521,0.878157591294158
"R-HSA-9018519",0.0092678149383606,96,1.56827080600962,2.17337894174996e-05,0.000739893787560964,136366,33,51,0.954648413930899,0.736208099808432,0.999999937170905
"R-HSA-2122947",0.0121379984987929,119,1.48431836202269,2.68538637443472e-05,0.000871136376584976,150774,24,34,1.04143463337916,0.442194597004531,0.948598272478213
"R-HSA-9024446",0.00730254219199574,79,1.63787288966541,2.77815504743373e-05,0.000871136376584976,139388,14,18,1.14750667937149,0.262329499029744,0.945923570096832
"R-HSA-422475",0.0498109307186737,403,1.22491955405835,2.7792340972832e-05,0.000871136376584976,130653,203,281,1.06583360610661,0.0578033604105221,0.849599254309343
"R-HSA-193648",0.0109142927866334,109,1.51202188090089,2.78140605550758e-05,0.000871136376584976,120761,29,38,1.12593700494721,0.170367298749471,0.945923570096832
"R-HSA-3214841",0.00468732591819679,56,1.80879793367088,3.14213697459875e-05,0.000956098036468396,140340,25,34,1.08482774310329,0.30220821292464,0.945923570096832
"R-HSA-204998",0.011691662764184,115,1.48918529248837,3.17478275200234e-05,0.000956098036468396,117307,35,47,1.09867660790887,0.20581294997896,0.945923570096832
"R-HSA-73887",0.0163857374800081,152,1.40444511982965,3.56815716434644e-05,0.00105428945648425,115753,57,84,1.00114103149247,0.545983923174322,0.993396453315862
"R-HSA-9843745",0.0149555643150119,140,1.41726939497126,4.7426616765156e-05,0.00137537188618952,124120,45,59,1.12527894708342,0.101604671506468,0.878157591294158
"R-HSA-8941326",0.00743122689251728,79,1.60951025381168,4.85807301426888e-05,0.00138322588006274,241933,18,22,1.20711741596221,0.11564233739634,0.878157591294158
"R-HSA-9843743",0.0048873877326076,57,1.76573383607388,5.07587913489704e-05,0.00139453100442961,151720,15,19,1.16476241891091,0.216404501536223,0.945923570096832
"R-HSA-9844594",0.0048873877326076,57,1.76573383607388,5.07587913489704e-05,0.00139453100442961,151720,15,19,1.16476241891091,0.216404501536223,0.945923570096832
"R-HSA-73894",0.0156591550642634,145,1.40193169868391,5.74629839575902e-05,0.00155150056685494,152268,75,112,0.987968123183358,0.617237253077619,0.999999937170905
"R-HSA-9725371",0.00233794363907522,33,2.13701258881554,6.72275326543126e-05,0.0017843782396043,118600,12,14,1.2645991976747,0.121685949751489,0.878157591294158
"R-HSA-9013507",0.00372407803989294,46,1.8701060554206,7.16112164529381e-05,0.00186905274942168,146678,10,13,1.13489671586191,0.353702308936007,0.945923570096832
"R-HSA-1257604",0.0228136812540593,199,1.32064133142521,8.08125930116255e-05,0.0020746314861673,149820,94,126,1.1006696720502,0.0578424975000104,0.849599254309343
"R-HSA-416482",0.0142038168911652,132,1.40700630736872,0.000103008222040013,0.00260178831797839,103182,36,47,1.13006736813484,0.125634012460676,0.898369239787301
"R-HSA-9029569",0.00596364937456948,65,1.65016903325223,0.000108909041815375,0.00270716761083932,155707,10,13,1.13489671586191,0.353702308936007,0.945923570096832
"R-HSA-2691230",0.0041375848775688,49,1.79298370314662,0.000114469890923452,0.00275773689395299,126311,7,11,0.938869101303942,0.738491040841401,0.999999937170905
"R-HSA-2691232",0.0041375848775688,49,1.79298370314662,0.000114469890923452,0.00275773689395299,126311,7,11,0.938869101303942,0.738491040841401,0.999999937170905
"R-HSA-2979096",0.0034757451644865,43,1.87304282177442,0.000116226459132118,0.00275773689395299,137758,10,13,1.13489671586191,0.353702308936007,0.945923570096832
"R-HSA-170834",0.0102376972278913,100,1.47885262506974,0.000126059126277056,0.0029463968917891,119186,34,49,1.02372316002237,0.472073789686595,0.96562317594071
"R-HSA-4090294",0.00564885800049369,62,1.66172138858228,0.000128448973377271,0.00295810429865892,194419,13,15,1.27865029987108,0.0930741062364967,0.878157591294158
"R-HSA-9013508",0.00416709656888841,49,1.78028565770572,0.000134581455659699,0.00305441390671143,105697,16,19,1.2424132468383,0.0941471584626115,0.878157591294158
"R-HSA-8936459",0.00296603936402076,38,1.93969686627918,0.000142408164316543,0.00318587407599581,213321,16,25,0.944234067597108,0.73693643449188,0.999999937170905
"R-HSA-2454202",0.0109228717666682,105,1.45539085606167,0.000154380064597004,0.00340505888956209,147645,44,63,1.03041416106827,0.420512504671432,0.948454970592995
"R-HSA-9832991",0.00355673073601472,43,1.83039426199387,0.000187950900086387,0.00408793207687891,211082,7,7,1.47536573062048,0.0656459193942723,0.849599254309343
"R-HSA-5218920",0.003026549769866,38,1.90091612466908,0.00020989249817549,0.00450262537181942,180656,16,18,1.31143620499598,0.040081960973968,0.849599254309343
"R-HSA-9658195",0.0170766313388082,152,1.3476234616782,0.000224710734006539,0.00466067523892869,89574,66,92,1.05841454587991,0.242627817952004,0.945923570096832
"R-HSA-9824443",0.0170766313388082,152,1.3476234616782,0.000224710734006539,0.00466067523892869,89574,66,92,1.05841454587991,0.242627817952004,0.945923570096832
"R-HSA-1181150",0.0012015147504695,20,2.52015972574955,0.000226188581199604,0.00466067523892869,100173,9,11,1.20711741596221,0.258636264657587,0.945923570096832
"R-HSA-350054",0.00968280879924249,94,1.4697845418616,0.000239375529083152,0.0048467074382816,150722,14,20,1.03275601143434,0.522172837598909,0.97463964681751
