"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.958735473005668,5191,1.01336770167332,4.10226130620472e-07,0.000167782487423773,136754,5190,7854,0.999342782216463,0.638885534478276,0.999217054743315
"Transit peptide",0.0363737634698163,243,1.25035363513094,0.000333621367616832,0.0682255696776422,129448,151,218,1.04751071214999,0.17895020420785,0.999217054743315
"Acetylation",0.262337820466968,1495,1.06658411776081,0.00205568687418078,0.280258643846647,121996,944,1447,0.986600843374376,0.792102871213452,0.999217054743315
"Monooxygenase",0.00441227210185937,38,1.61189272504142,0.00371536062957234,0.379895624373772,80042,30,34,1.33438255891331,0.00320200050191866,0.43394682207346
"Initiation factor",0.0021004182427912,21,1.87123502980384,0.0057459700609751,0.423418848048419,146231,14,18,1.17623351489396,0.21636464404742,0.999217054743315
"Chromosome",0.0046309396577478,38,1.53578103527896,0.00778711670290044,0.423418848048419,116359,22,31,1.07324532695393,0.358679336195076,0.999217054743315
"Hydroxylation",0.0104834196607773,75,1.33897700243715,0.00854574588169599,0.423418848048419,86095,46,63,1.10421921806371,0.15207625046455,0.987288673650809
"Alternative splicing",0.721348501647304,3930,1.01967610489607,0.0104787991654005,0.423418848048419,143667,3077,4630,1.0050427253304,0.244648382233647,0.999217054743315
"Protein biosynthesis",0.00294484580978789,26,1.65243967357744,0.0107438910289329,0.423418848048419,126276,19,24,1.19723768480278,0.12610427055443,0.890924545237519
"Alternative initiation",0.0127763389870446,88,1.28911324861607,0.0117674158592049,0.423418848048419,98204,43,61,1.06604770553621,0.28181186146288,0.999217054743315
"tRNA-binding",0.00184493353978987,18,1.82602451914148,0.0124713449088532,0.423418848048419,56200,9,10,1.36107021009158,0.0977196945508085,0.890924545237519
"ERV",0.000258245989034802,5,3.6236917328686,0.013458300793715,0.423418848048419,53162,5,6,1.26025019452924,0.340462770227354,0.999217054743315
"Transposable element",0.000258245989034802,5,3.6236917328686,0.013458300793715,0.423418848048419,53162,5,6,1.26025019452924,0.340462770227354,0.999217054743315
"Dynein",0.00397796125573822,32,1.50558144995422,0.0173974737615598,0.508254769176996,175775,19,24,1.19723768480278,0.12610427055443,0.890924545237519
"Triplet repeat expansion",0.00222073141996373,20,1.68557772830929,0.0190732143943354,0.516021694309524,199027,12,13,1.39596944624777,0.0352923451139792,0.694918753884538
"NAD",0.0124668119716739,84,1.26106857216751,0.0215393065936383,0.516021694309524,114428,55,75,1.10902017118573,0.113256063982162,0.890924545237519
"Ribonucleoprotein",0.0105085342147008,72,1.28234587660377,0.0229043294329724,0.516021694309524,77150,51,63,1.22424304611412,0.00708546299210688,0.43394682207346
"Kelch repeat",0.00757578546753569,54,1.33407706472659,0.0237088016022853,0.516021694309524,140593,27,35,1.16663160864992,0.112726318053163,0.890924545237519
"DNA-binding",0.00143507979853657,14,1.82585720885019,0.0252333346850623,0.516021694309524,103411,8,10,1.20984018674807,0.286460589979042,0.999217054743315
"Nucleosome core",0.00143507979853657,14,1.82585720885019,0.0252333346850623,0.516021694309524,103411,8,10,1.20984018674807,0.286460589979042,0.999217054743315
"Aminotransferase",0.00132804709228691,13,1.83208113512081,0.0295184379614652,0.520435286456738,295997,7,10,1.05861016340456,0.544449463461431,0.999217054743315
"Transcription regulation",0.000550416349337922,7,2.38024433556987,0.0305756156239444,0.520435286456738,92888,4,5,1.20984018674807,0.450197578939047,0.999217054743315
"Transcription termination",0.000550416349337922,7,2.38024433556987,0.0305756156239444,0.520435286456738,92888,4,5,1.20984018674807,0.450197578939047,0.999217054743315
"Heme",0.00770464548243086,54,1.31176465712471,0.0308070720771072,0.520435286456738,86423,42,51,1.24542372165242,0.0080634076048185,0.43394682207346
"Ribosomal protein",0.0100331985475109,68,1.26848206727843,0.031811447827429,0.520435286456738,78932,48,60,1.20984018674807,0.0134446422947309,0.549885869854492
"ADP-ribosylation",0.00630243813667367,45,1.33634547725241,0.0351144880905817,0.552377908809535,80115,30,45,1.00820015562339,0.53885139527981,0.999217054743315
"Cell cycle",0.0322277582354698,195,1.13245079283224,0.0440407408215955,0.665821311462341,132150,119,184,0.978063737928127,0.693226105896097,0.999217054743315
"Stress response",0.00742154791909485,51,1.28614669477003,0.0461288997909703,0.665821311462341,159920,30,42,1.08021445245363,0.290552416599368,0.999217054743315
"Repeat",0.392519176474053,2157,1.02849951662047,0.0485762596546067,0.665821311462341,145563,1444,2125,1.02765248803777,0.0207859671030355,0.608495689052503
"RNA-binding",0.00341531635396636,26,1.42481092359438,0.0504623013882841,0.665821311462341,51506,13,15,1.31066020231041,0.0730436069457883,0.890924545237519
"Methyltransferase",0.0121852922860713,79,1.21340551953677,0.0507489989139601,0.665821311462341,154479,49,78,0.950034762029734,0.771886167531223,0.999217054743315
"Glycolysis",0.00219062025321782,18,1.53787215054466,0.0521325706287004,0.665821311462341,202186,8,13,0.930646297498515,0.745225228242272,0.999217054743315
"Steroidogenesis",0.000644168584664711,7,2.03382379846815,0.0608327332414911,0.665821311462341,153860,5,6,1.26025019452924,0.340462770227354,0.999217054743315
"Oxidoreductase",0.0130086814832892,83,1.19415207616948,0.0613995134468376,0.665821311462341,113033,59,80,1.11532142215838,0.0899926597707789,0.890924545237519
"Transferase",0.0915363690298366,522,1.06731262722029,0.0630555995439515,0.665821311462341,155925,328,509,0.974527458873691,0.809943995055283,0.999217054743315
"Telomere",0.00319585985921123,24,1.40552424209417,0.0654306706972119,0.665821311462341,123912,14,21,1.00820015562339,0.579999520096009,0.999217054743315
"Epilepsy",0.0277574991269077,167,1.12603259505458,0.0669137757630678,0.665821311462341,170697,89,126,1.06821206964859,0.162859293893996,0.999217054743315
"Guanine-nucleotide releasing factor",0.020054168542588,123,1.14792965845003,0.0694058616142377,0.665821311462341,102972,61,90,1.02500349155045,0.416935711725663,0.999217054743315
"Congenital hypothyroidism",0.00153093587084124,13,1.58928278491112,0.0726879245932495,0.665821311462341,98594,8,9,1.34426687416452,0.135467873636455,0.923439338621836
"Coiled coil",0.18299003096848,1019,1.04222522256512,0.0750637193853554,0.665821311462341,135114,609,895,1.02904004710834,0.105937662022984,0.890924545237519
"Ligand-gated ion channel",0.00638764353427782,43,1.25991895355696,0.0790307615754713,0.665821311462341,172913,27,35,1.16663160864992,0.112726318053163,0.890924545237519
"DNA damage",0.0243224593012737,146,1.12346667919046,0.0855369013120095,0.665821311462341,158169,86,131,0.992807786835248,0.58632595741918,0.999217054743315
"Dystroglycanopathy",0.00142758487930287,12,1.57323693027995,0.0867809994689746,0.665821311462341,277380,5,7,1.08021445245363,0.558146067689534,0.999217054743315
"Sodium transport",0.00114146305031116,10,1.63965685136595,0.0907761994719345,0.665821311462341,80553,9,14,0.97219300720827,0.674100714463667,0.999217054743315
"Isopeptide bond",0.155944154699341,869,1.04295483470695,0.092170523560087,0.665821311462341,136803,509,786,0.979339464145623,0.813317110614772,0.999217054743315
"Chromatin regulator",0.0285096208464998,169,1.1094560143961,0.0933651976190333,0.665821311462341,202586,81,132,0.928002415971531,0.894838859872103,0.999217054743315
"Aminopeptidase",0.00206807174925629,16,1.44800214920731,0.0950577822844807,0.665821311462341,191269,8,14,0.864171561962907,0.840057913280413,0.999217054743315
"Magnesium",0.0544348094554849,313,1.07617390307851,0.0968291610807579,0.665821311462341,126861,194,312,0.940340529764125,0.939834960137996,0.999217054743315
"Fatty acid biosynthesis",0.00045101005213308,5,2.07490686978248,0.0970495976832155,0.665821311462341,42526,5,5,1.51230023343509,0.126341378053242,0.890924545237519
"Fatty acid metabolism",0.00045101005213308,5,2.07490686978248,0.0970495976832155,0.665821311462341,42526,5,5,1.51230023343509,0.126341378053242,0.890924545237519
"Prostaglandin biosynthesis",0.00045101005213308,5,2.07490686978248,0.0970495976832155,0.665821311462341,42526,5,5,1.51230023343509,0.126341378053242,0.890924545237519
"Prostaglandin metabolism",0.00045101005213308,5,2.07490686978248,0.0970495976832155,0.665821311462341,42526,5,5,1.51230023343509,0.126341378053242,0.890924545237519
"Congenital muscular dystrophy",0.0019239589162715,15,1.45918477925518,0.0986352395180453,0.665821311462341,253243,7,11,0.962372875822328,0.69741183941167,0.999217054743315
"Fanconi anemia",0.00256286790849151,19,1.38752943105766,0.100825663253951,0.665821311462341,192421,7,11,0.962372875822328,0.69741183941167,0.999217054743315
"Gluconeogenesis",0.000458504971366779,5,2.04098955071807,0.102169866911481,0.665821311462341,25690,5,6,1.26025019452924,0.340462770227354,0.999217054743315
"2Fe-2S",0.00177997757309782,14,1.47206955583888,0.10231573711948,0.665821311462341,207082,8,8,1.51230023343509,0.0364884656116631,0.694918753884538
"Keratin",0.00117078527819036,10,1.59859177074437,0.102509352716785,0.665821311462341,11498,10,15,1.00820015562339,0.600925327322855,0.999217054743315
"Tricarboxylic acid cycle",0.00117144272724595,10,1.59769459273856,0.102782053028351,0.665821311462341,175177,8,10,1.20984018674807,0.286460589979042,0.999217054743315
