term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	run_tag
(Intercept)	0.00311789996176566	2.12660875652868	-2.71352009402244	0.00665725306453503	3.54544801593009e-05	0.165230857039267	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
h2_categoryNon-heritable	0.78438963985168	0.299125139836099	-0.811865537669258	0.416868791041067	0.430184855908731	1.39995545924882	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
h2_categoryLow prediction	0.388724384698287	1.2793045375816	-0.73859247845489	0.460154492885442	0.0165059657840827	3.69293344553151	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
log_vmr_length	1.68522368885431	0.171189103430252	3.04866546739831	0.00229860288512789	1.20883017732705	2.36484688471963	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
log_num_snps	0.469911050811033	0.227809283459837	-3.31510570733807	0.000916084757478312	0.307187593971877	0.750725358715441	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
methylation_variance	679537160582206000	11.3005702356603	3.63346162705692	0.000279644052261152	34358729.3486996	9.49028731011177e+26	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
log_min_distance	0.962903139979197	0.0322147239583623	-1.17345266807907	0.240614327087361	0.90277910800145	1.02492515351754	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateGenic/other	3.91711619935922	1.0243558458512	1.33289200737261	0.182567245854957	0.819212092060056	70.2899353783682	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateIntergenic	3.42923530991958	1.07000674005081	1.15170984301438	0.249440326160232	0.613235943524347	64.208031353414	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
chromatin_statePromoter	3.97612416320764	1.03850512836435	1.32912922505416	0.183805339897146	0.792761459253482	72.3072637479438	burden_fdr10_category	odds_ratio	BA_only	hippocampus	psi	AA	window_250kb
(Intercept)	1.90064053568779	0.132172082169297	14.3800453506762	2.07151117953169e-46	1.64155564297975	2.15972542839583	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
h2_categoryNon-heritable	0.0412032671792603	0.0169933491280986	2.4246701970673	0.0153404689817457	0.00789275286077995	0.0745137814977407	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
h2_categoryLow prediction	0.00876116337280247	0.148167622382131	0.0591300800535695	0.952849719824329	-0.281678329730663	0.299200656476268	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
log_vmr_length	-0.0625498028906444	0.0102811754845618	-6.08391550018471	1.21721845748507e-09	-0.082703054648594	-0.0423965511326948	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
log_num_snps	-0.0699458588688138	0.0173386334706189	-4.03410447468886	5.5231815566567e-05	-0.103933202630906	-0.0359585151067217	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
methylation_variance	-3.62007315998315	1.41874656213572	-2.55159959967314	0.0107381911913028	-6.40111280767529	-0.839033512291014	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
log_min_distance	-0.0306571848889538	0.00187109846799787	-16.3845919460123	1.55141110989954e-59	-0.0343249287715573	-0.0269894410063503	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateGenic/other	-0.0856984221904032	0.0335078324847105	-2.55756388389214	0.01055590949383	-0.1513807738769	-0.0200160705039068	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateIntergenic	-0.119920868743278	0.0373271089824083	-3.21270176052999	0.00131922885560642	-0.193089800238368	-0.046751937248188	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
chromatin_statePromoter	0.0402798701811852	0.036148310983173	1.11429466787357	0.265180439330725	-0.0305783709764009	0.111138111338771	strength_category	log_abs_beta	BA_only	hippocampus	psi	AA	window_250kb
(Intercept)	0.00518569987100445	2.13180298857267	-2.46826301242295	0.0135770520605785	5.86218486185049e-05	0.279611899508371	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
h2_scaled	0.800176580162842	0.148783360044819	-1.49830498786779	0.134054028761326	0.569664771703987	1.03077733599186	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
log_vmr_length	1.76722455198113	0.175291050007294	3.24837044536625	0.0011606805132299	1.25693754512266	2.49854566384116	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
log_num_snps	0.425243231273019	0.224535571549355	-3.80827838986012	0.000139937678822509	0.279543202673482	0.67564945934516	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
methylation_variance	738145662236369	11.7457411957187	2.91468726620981	0.00356045128257063	12818.6505843696	2.18433670066678e+24	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
log_min_distance	0.967695733056646	0.0325887558233262	-1.00763486181725	0.313629786378371	0.906628767461678	1.0308210723952	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateGenic/other	3.96468751275719	1.02434159516905	1.34469501879709	0.17872374391041	0.829077162282735	71.1413460748963	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
chromatin_stateIntergenic	3.85851629616364	1.0710660095012	1.26069048814341	0.207420382287006	0.687876848658817	72.3194812710449	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
chromatin_statePromoter	3.78916204884534	1.04092808512253	1.27976650682923	0.200627266528912	0.7492269509426	69.0629259795115	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	psi	AA	window_250kb
