disease	tissue	Coefficient_z-score	p_value	FDR_q
pd	caudate	-1.2258255179943884	0.22026434220860347	0.8474610222434489
pd	hippocampus	-0.232258719981619	0.8163370724770211	0.8905495336112959
pd	dlpfc	-0.443544314301166	0.6573720736110018	0.8905495336112959
scz	caudate	0.946369576616406	0.3439601171605431	0.8474610222434489
scz	hippocampus	-0.2804246822526758	0.7791517027007353	0.8905495336112959
scz	dlpfc	-0.2499778133387318	0.802604506430797	0.8905495336112959
ad	caudate	0.6398085619328739	0.5222970655926933	0.8905495336112959
ad	hippocampus	1.2395961149585126	0.21512481836190434	0.8474610222434489
ad	dlpfc	1.0514523783401546	0.2930508702034662	0.8474610222434489
smoking	caudate	0.9285762028960892	0.3531087592681037	0.8474610222434489
smoking	hippocampus	-0.7367413228033481	0.4612796722686625	0.8905495336112959
smoking	dlpfc	-0.1030934624410502	0.9178887935939792	0.9178887935939792
