disease	tissue	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	ANNOT_Q1L2_1	1.2722677854641455	0.2032779904009534	0.7619161421568419
pd	caudate	ANNOT_Q2L2_1	-0.1337921646146225	0.8935669232213663	0.980933338525501
pd	caudate	ANNOT_Q3L2_1	-0.5433538400514936	0.5868862010925564	0.980933338525501
pd	caudate	ANNOT_Q4L2_1	1.2584755778007348	0.20821981411720003	0.7619161421568419
pd	caudate	ANNOT_Q5L2_1	-0.5160592138021795	0.6058130531149164	0.980933338525501
pd	hippocampus	ANNOT_Q1L2_1	0.1527188330677596	0.8786200083449585	0.980933338525501
pd	hippocampus	ANNOT_Q2L2_1	-0.3512656787257436	0.7253890408126817	0.980933338525501
pd	hippocampus	ANNOT_Q3L2_1	-0.7829976552537407	0.43362848895813677	0.980933338525501
pd	hippocampus	ANNOT_Q4L2_1	-1.3278128433061025	0.18423994300122537	0.7619161421568419
pd	hippocampus	ANNOT_Q5L2_1	0.0881890665773462	0.9297264070661744	0.980933338525501
pd	dlpfc	ANNOT_Q1L2_1	0.4238189933128446	0.6716978253108195	0.980933338525501
pd	dlpfc	ANNOT_Q2L2_1	-2.15451675925332	0.031199669113267214	0.3743960293592066
pd	dlpfc	ANNOT_Q3L2_1	-0.0284610956400715	0.9772943966316163	0.980933338525501
pd	dlpfc	ANNOT_Q4L2_1	-0.1845253580147843	0.8536013358852932	0.980933338525501
pd	dlpfc	ANNOT_Q5L2_1	0.0951407509518438	0.9242030302837421	0.980933338525501
scz	caudate	ANNOT_Q1L2_1	1.1058245530741384	0.2688024655023775	0.8960082183412584
scz	caudate	ANNOT_Q2L2_1	-0.5479030969485239	0.5837584422315907	0.980933338525501
scz	caudate	ANNOT_Q3L2_1	-0.2638256407947831	0.7919142758573767	0.980933338525501
scz	caudate	ANNOT_Q4L2_1	0.623631725674945	0.5328694703661463	0.980933338525501
scz	caudate	ANNOT_Q5L2_1	0.9168410855699494	0.35922591966104367	0.980933338525501
scz	hippocampus	ANNOT_Q1L2_1	-2.0647528190047977	0.03894639412179868	0.3894639412179868
scz	hippocampus	ANNOT_Q2L2_1	0.0594577964673408	0.952587479514472	0.980933338525501
scz	hippocampus	ANNOT_Q3L2_1	-0.1089490951394762	0.9132428660848	0.980933338525501
scz	hippocampus	ANNOT_Q4L2_1	-1.5811828457551476	0.1138362364732588	0.707849570014166
scz	hippocampus	ANNOT_Q5L2_1	-0.2535229198086937	0.799864152108561	0.980933338525501
scz	dlpfc	ANNOT_Q1L2_1	-1.563330285630219	0.11797492833569434	0.707849570014166
scz	dlpfc	ANNOT_Q2L2_1	-0.7499703109908709	0.45327258589675523	0.980933338525501
scz	dlpfc	ANNOT_Q3L2_1	0.1284338418142342	0.8978056510234329	0.980933338525501
scz	dlpfc	ANNOT_Q4L2_1	-2.402896609008946	0.016265785544824052	0.2491799165655617
scz	dlpfc	ANNOT_Q5L2_1	-0.1190881045999068	0.9052055548299696	0.980933338525501
ad	caudate	ANNOT_Q1L2_1	-0.0238987911571074	0.980933338525501	0.980933338525501
ad	caudate	ANNOT_Q2L2_1	1.3076832884960683	0.19098075385118962	0.7619161421568419
ad	caudate	ANNOT_Q3L2_1	-2.6387835289618184	0.008320409145646579	0.2491799165655617
ad	caudate	ANNOT_Q4L2_1	-0.0380889629773363	0.9696167511940499	0.980933338525501
ad	caudate	ANNOT_Q5L2_1	-0.2237938086207339	0.8229177477994674	0.980933338525501
ad	hippocampus	ANNOT_Q1L2_1	-0.3838921025320166	0.7010584199937295	0.980933338525501
ad	hippocampus	ANNOT_Q2L2_1	-0.0292034024761257	0.9767023676089295	0.980933338525501
ad	hippocampus	ANNOT_Q3L2_1	-0.7282966979829637	0.4664319832235664	0.980933338525501
ad	hippocampus	ANNOT_Q4L2_1	-1.2375681230125517	0.21587624027777186	0.7619161421568419
ad	hippocampus	ANNOT_Q5L2_1	-0.4306149839119065	0.6667483443384552	0.980933338525501
ad	dlpfc	ANNOT_Q1L2_1	0.8906095115791843	0.37313869467733163	0.980933338525501
ad	dlpfc	ANNOT_Q2L2_1	0.1250396453023589	0.9004921642079842	0.980933338525501
ad	dlpfc	ANNOT_Q3L2_1	-1.584982157502937	0.11297038822517114	0.707849570014166
ad	dlpfc	ANNOT_Q4L2_1	-1.4744941187350338	0.1403486000533627	0.7619161421568419
ad	dlpfc	ANNOT_Q5L2_1	-1.5769237230810176	0.11481307719575828	0.707849570014166
smoking	caudate	ANNOT_Q1L2_1	-0.4728054859296203	0.6363519598308587	0.980933338525501
smoking	caudate	ANNOT_Q2L2_1	-0.5455056935912141	0.5854057657301028	0.980933338525501
smoking	caudate	ANNOT_Q3L2_1	-0.6817398199297575	0.4954034835610419	0.980933338525501
smoking	caudate	ANNOT_Q4L2_1	-0.7989171853115099	0.4243384333873337	0.980933338525501
smoking	caudate	ANNOT_Q5L2_1	0.8819960000640678	0.37777897033586316	0.980933338525501
smoking	hippocampus	ANNOT_Q1L2_1	0.6111001629141093	0.5411332719847215	0.980933338525501
smoking	hippocampus	ANNOT_Q2L2_1	-2.90827190804686	0.0036343218803136512	0.21805931281881907
smoking	hippocampus	ANNOT_Q3L2_1	-0.8085337873969867	0.4187833638377165	0.980933338525501
smoking	hippocampus	ANNOT_Q4L2_1	0.1362861601342033	0.8915950644118602	0.980933338525501
smoking	hippocampus	ANNOT_Q5L2_1	-0.7287763642850006	0.466138471799433	0.980933338525501
smoking	dlpfc	ANNOT_Q1L2_1	0.1438252820500993	0.8856384382444362	0.980933338525501
smoking	dlpfc	ANNOT_Q2L2_1	-2.3951847084704125	0.016611994437704114	0.2491799165655617
smoking	dlpfc	ANNOT_Q3L2_1	-1.335538346299795	0.18170021355337673	0.7619161421568419
smoking	dlpfc	ANNOT_Q4L2_1	-0.387138112699457	0.698653963408677	0.980933338525501
smoking	dlpfc	ANNOT_Q5L2_1	-0.7046853139267965	0.4810060927337174	0.980933338525501
