flag	h2_category	h2_label	class_order	tissue1	tissue2	pair_order	pair_label	pair_label_multiline	n_pairs	n_pairs_missing_h2	n_unique_tissue1	n_unique_tissue2	spearman_rho	spearman_p_value	spearman_fdr
F_0.25	all	All VMRs	1	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	4072	351	4014	4065	0.5124022686013937	1.6432889310756416e-271	3.286577862151283e-271
F_0.25	all	All VMRs	1	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	4335	164	4248	4332	0.5596406154230431	0.0	0.0
F_0.25	all	All VMRs	1	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	6290	646	6262	6283	0.4923506812809396	0.0	0.0
F_0.25	heritable	Heritable	2	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	1429	0	1410	1428	0.7627681808908305	1.941826119686073e-272	4.6603826872465745e-272
F_0.25	heritable	Heritable	2	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	1562	0	1535	1561	0.7831800172632025	0.0	0.0
F_0.25	heritable	Heritable	2	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	2422	0	2413	2421	0.7492805510521071	0.0	0.0
F_0.25	non-heritable	Non-heritable	3	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	1148	0	1141	1146	0.04599416083365684	0.119350021531661	0.11935002153166101
F_0.25	non-heritable	Non-heritable	3	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	1227	0	1210	1227	0.05324382296674164	0.06225487244587639	0.06791440630459243
F_0.25	non-heritable	Non-heritable	3	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	1507	0	1501	1505	0.10664414629526997	3.349010478588469e-05	5.741160820437375e-05
F_0.25	low_prediction	Low prediction	4	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	16	0	16	16	0.5323529411764706	0.033768622960234626	0.040522347552281554
F_0.25	low_prediction	Low prediction	4	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	16	0	16	16	0.6088235294117647	0.012315203198246456	0.016420270930995275
F_0.25	low_prediction	Low prediction	4	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	28	0	28	28	0.6442255062944717	0.00021590196651827563	0.0003238529497774134
