flag	reciprocal_threshold	h2_category	h2_label	class_order	tissue1	tissue2	pair_order	pair_label	pair_label_multiline	n_pairs	n_unique_tissue1	n_unique_tissue2	median_reciprocal	mean_reciprocal	q25_reciprocal	q75_reciprocal	pct_pairs_ge_50	pct_pairs_ge_75	pct_pairs_ge_90
F_0.25	25.0	all	All VMRs	1	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	4113	4102	4106	67.97752808988764	66.769830210907	48.84488448844885	84.5247446975648	73.7904206175541	39.897884755652804	16.557257476294676
F_0.25	25.0	all	All VMRs	1	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	4155	4145	4152	68.36313617606602	66.99085839408056	49.18054063730755	84.64380083308095	74.22382671480145	40.19253910950662	17.713598074608903
F_0.25	25.0	all	All VMRs	1	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	6816	6806	6808	86.67144221585482	80.2312721243624	67.07932692307692	100.0	88.26291079812206	66.13849765258216	44.0287558685446
F_0.25	25.0	heritable	Heritable	2	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	1338	1335	1337	70.25051264524947	68.86423477836405	52.91084617920802	85.8637166520301	78.25112107623319	43.04932735426009	17.937219730941703
F_0.25	25.0	heritable	Heritable	2	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	1452	1452	1451	70.62030546940824	69.31512865460677	53.21459538260713	86.47539093131601	78.85674931129476	44.0771349862259	19.62809917355372
F_0.25	25.0	heritable	Heritable	2	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	2385	2380	2384	89.02147971360382	82.32136049400788	71.52	100.0	90.18867924528303	70.27253668763103	48.343815513626836
F_0.25	25.0	non-heritable	Non-heritable	3	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	1075	1074	1073	65.14285714285715	64.98657970543805	47.419724770642205	83.09946775419921	71.25581395348837	35.906976744186046	14.604651162790697
F_0.25	25.0	non-heritable	Non-heritable	3	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	1117	1117	1117	66.55011655011654	65.69133353781835	46.898263027295286	84.16289592760181	71.1727842435094	38.31692032229185	16.74127126230976
F_0.25	25.0	non-heritable	Non-heritable	3	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	1484	1483	1482	83.57163219292953	78.17536068771852	64.23481022967911	98.8298772157612	86.85983827493261	61.85983827493261	39.285714285714285
F_0.25	25.0	low_prediction	Low prediction	4	caudate	dlpfc	1	Caudate-DLPFC	"Caudate
DLPFC"	14	14	14	82.91305916305916	76.34640732973993	57.70057908869725	94.16459038894774	92.85714285714286	57.14285714285714	42.857142857142854
F_0.25	25.0	low_prediction	Low prediction	4	caudate	hippocampus	2	Caudate-Hippocampus	"Caudate
Hippocampus"	15	15	15	84.72222222222221	78.08808623162462	69.91850643767879	90.9149593895948	86.66666666666667	66.66666666666666	26.666666666666668
F_0.25	25.0	low_prediction	Low prediction	4	hippocampus	dlpfc	3	Hippocampus-DLPFC	"Hippocampus
DLPFC"	28	28	28	97.26878576890878	81.99287209401254	67.46461995824608	100.0	85.71428571428571	64.28571428571429	53.57142857142857
