category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	5/47	93/9378	0.0537634408602151	10.7275223061084	6.69066904323702	9.50179978690998e-05	0.00613038232813941	0.00497919292408984	3117/3119/3123/55534/4792	5	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	7/47	224/9378	0.03125	6.23537234042553	5.62837365538139	0.000112608450650864	0.00613038232813941	0.00497919292408984	1026/2114/3117/3119/3123/4487/4792	7	Pooled_Q1Q4
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	6/47	155/9378	0.0387096774193548	7.72381606039808	5.99049018866258	0.000113525598669248	0.00613038232813941	0.00497919292408984	929/51143/3117/3119/3123/8685	6	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	6/47	205/9378	0.0292682926829268	5.83995848469123	4.97255576771987	0.000515711926474073	0.0162597760196664	0.013206445759963	1026/3117/3119/3123/9612/4792	6	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05310	Asthma	3/47	32/9378	0.09375	18.7061170212766	7.12036445074097	0.000528496666141838	0.0162597760196664	0.013206445759963	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	4/47	78/9378	0.0512820512820513	10.2324058919804	5.81082115294116	0.000602213926654311	0.0162597760196664	0.013206445759963	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05330	Allograft rejection	3/47	39/9378	0.0769230769230769	15.3486088379705	6.37248327607533	0.000950150596309535	0.0219891995145921	0.0178599736148409	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	3/47	44/9378	0.0681818181818182	13.6044487427466	5.94748134819018	0.0013530104099433	0.0247472266204113	0.0201000865987746	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	3/47	45/9378	0.0666666666666667	13.3021276595745	5.87073727769062	0.00144458380304065	0.0247472266204113	0.0201000865987746	3117/3119/3123	3	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	4/47	100/9378	0.04	7.98127659574468	4.98109073780758	0.00152760658150687	0.0247472266204113	0.0201000865987746	929/3117/3119/3123	4	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/47	50/9378	0.06	11.971914893617	5.52064671380126	0.00196070402249495	0.0283129852429707	0.0229962518217761	3117/3119/3123	3	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	4/47	109/9378	0.036697247706422	7.32227210618778	4.71179930510779	0.00209726988854594	0.0283129852429707	0.0229962518217761	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	4/47	112/9378	0.0357142857142857	7.12613981762918	4.62878021728796	0.00231591339465479	0.0283129852429707	0.0229962518217761	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	3/47	54/9378	0.0555555555555556	11.0851063829787	5.27464242395833	0.00244680119383697	0.0283129852429707	0.0229962518217761	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	3/47	56/9378	0.0535714285714286	10.6892097264438	5.16112779661658	0.00271538985306846	0.0293262104131394	0.0238192092374426	664/929/4792	3	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	3/47	66/9378	0.0454545454545455	9.06963249516441	4.66896945829801	0.00432862747220939	0.0438273531561201	0.0355972653964588	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	3/47	70/9378	0.0428571428571429	8.55136778115502	4.50052571577832	0.00510629902940078	0.048660026044878	0.0395224383080556	3117/3119/3123	3	Pooled_Q1Q4
