tissue	cell_type	estimate	std_error	z_value	p_value	or	ci_lo_log	ci_hi_log	ci_lo_or	ci_hi_or	n_vmrs	n_in_peak	fdr
Caudate	Union	-5.19028098130924	0.328481229141296	-15.8008449824591	3.06974149066419e-56	0.00557044140508579	-5.8475549214158	-4.55888202681279	0.0028869493534728	0.0104737617853214	1676	913	3.27439092337513e-55
Caudate	Exc	-4.13820260174448	0.371295107761612	-11.1453194917973	7.54729334315509e-29	0.0159514969459501	-4.8866969493236	-3.42948987371517	0.00754630718969904	0.032403466417405	1676	523	1.72509562129259e-28
Caudate	Inh	-4.87201320122808	0.43496641009338	-11.2008952603539	4.03633688605461e-29	0.00765793279903945	-5.75557561800326	-4.04784448577257	0.00316508420715653	0.017459969319282	1676	443	9.9355984887498e-29
Caudate	Astro	-5.79541822751656	0.466708226658857	-12.4176474646819	2.09635628933819e-35	0.00304145813917144	-6.74603162841997	-4.91354254217109	0.00117553533789985	0.00734641718687792	1676	496	7.45371125098024e-35
Caudate	Oligo	-5.82568004337438	0.471375743213155	-12.3588880574621	4.3614792410753e-35	0.00295079680009444	-6.78632582294514	-4.93542596668167	0.00112910971124192	0.007187398701361	1676	484	1.3956733571441e-34
Caudate	OPC	-6.62840611025132	0.49377397085492	-13.423968255708	4.37636936826843e-41	0.00132226895824815	-7.63494123512748	-5.69682462447508	0.000483267012994107	0.0033566070408623	1676	580	2.3340636630765e-40
Caudate	Endo	-5.09933086992212	0.454032669194981	-11.2311981403529	2.86565987501116e-29	0.00610082744718791	-6.02358906574181	-4.24076432052529	0.00242096498117681	0.0143965840322304	1676	424	7.64175966669643e-29
Caudate	Micro	-3.4598449423682	0.409084568242185	-8.45752983847563	2.73100675831673e-17	0.0314346358206846	-4.28714431005674	-2.68094140870116	0.0137441182495347	0.068498638576906	1676	320	5.46201351663346e-17
DLPFC	Union	-2.85138704366865	0.548401121687656	-5.19945516320929	1.99873532482315e-07	0.0577641438931434	-3.95322235625009	-1.79780976768306	0.0191927561258543	0.165661327957246	820	504	2.78084914758003e-07
DLPFC	Exc	-2.72789502639953	0.688326957666954	-3.96308032979789	7.39888719353917e-05	0.0653567191430841	-4.15102253572937	-1.44142158798859	0.0157483050444116	0.236591184317934	820	280	7.89214633977511e-05
DLPFC	Inh	-3.75460645908902	0.830173731684372	-4.52267557475126	6.10627974288057e-06	0.0234096614561648	-5.49860993517563	-2.22796017628086	0.00409245626590988	0.107747993036743	820	247	7.81603807088713e-06
DLPFC	Astro	-3.97403986799303	0.777527437289507	-5.11112492936159	3.20246111164376e-07	0.0187973407617711	-5.5969066287968	-2.53591627645914	0.00370932029220197	0.0791891268796843	820	290	4.26994814885834e-07
DLPFC	Oligo	-3.08009004477187	0.768636673425826	-4.00721192633687	6.14397298131541e-05	0.0459551184445787	-4.68440932480979	-1.65714633026966	0.00923818977045953	0.190682348882374	820	254	7.02168340721761e-05
DLPFC	OPC	-2.85326986514972	0.716639010484586	-3.98146043322475	6.84931239646201e-05	0.0576554866453852	-4.3389383768677	-1.51759442742539	0.013050375432312	0.219238647595667	820	278	7.5578619547167e-05
