tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_top	n_lower	n_in_top	n_in_lower	fdr
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	any_repeat	12.2019491655743	7.05893574544747	22.8343956611106	6.75639239209083e-36	335	1341	321	875	2.16204556546907e-34
Caudate	Intergenic_VMRs_Decile_vs_Rest	any_repeat	8.01855273528879	4.07015739885646	18.0216662990517	2.65104235128483e-15	168	1508	159	1037	3.63571522461919e-14
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	LINE	7.21684865843994	5.47453399026241	9.57780375225459	6.7670035349186e-53	335	1341	246	371	6.49632339352185e-51
Caudate	Intergenic_VMRs_Decile_vs_Rest	LINE	7.16296066012303	4.86943392040844	10.7478820590305	1.15854137205948e-29	168	1508	130	487	2.2243994343542e-28
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	SINE	1.84202063794544	1.42739679370005	2.3744407317486	1.5142767728202e-06	335	1341	143	386	5.38409519224961e-06
Caudate	Intergenic_VMRs_Decile_vs_Rest	SINE	1.34143051800768	0.946962831807337	1.88838450102785	0.096043650496095	168	1508	63	466	0.15963093607714
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	LTR	2.9248871929487	2.25230529964094	3.79688213895663	2.564403840259e-16	335	1341	146	280	4.1030461444144e-15
Caudate	Intergenic_VMRs_Decile_vs_Rest	LTR	2.51262268106494	1.78346709357393	3.53004921668301	7.00161389892955e-08	168	1508	73	353	3.36077467148618e-07
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	DNA	2.04770900663052	1.41638324403388	2.93352928033624	0.000100891491328399	335	1341	54	115	0.000261772518041251
Caudate	Intergenic_VMRs_Decile_vs_Rest	DNA	1.84134105937427	1.13135499980937	2.91152888048699	0.00986303099409908	168	1508	27	142	0.0197260619881982
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Satellite	0.570741270138031	0.0126262351351403	4.46696809909053	1	335	1341	1	7	1
Caudate	Intergenic_VMRs_Decile_vs_Rest	Satellite	0	0	5.27931909190616	1	168	1508	0	8	1
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Simple_repeat	2.05334574432487	1.53911517031664	2.72903370416975	7.75462605897977e-07	335	1341	97	222	2.97777640664823e-06
Caudate	Intergenic_VMRs_Decile_vs_Rest	Simple_repeat	2.01588070547851	1.38435168214666	2.90533837164092	0.000174310052068586	168	1508	51	268	0.000429070897399597
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Low_complexity	1.51361425889654	0.785235304273904	2.78480698826519	0.183546488900119	335	1341	16	43	0.275319733350178
Caudate	Intergenic_VMRs_Decile_vs_Rest	Low_complexity	1.42807909806268	0.574890790001519	3.10308302250385	0.373481575541833	168	1508	8	51	0.459669631436103
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	L1	6.95394665420353	5.3232201752915	9.12022021821495	1.42713323616024e-51	335	1341	221	292	6.85023953356917e-50
Caudate	Intergenic_VMRs_Decile_vs_Rest	L1	6.85716395532777	4.77497878429273	9.96836160058341	6.8060362375439e-30	168	1508	119	394	1.63344869701054e-28
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Alu	2.30626158377929	1.75137789265528	3.02989493467161	1.76316868909835e-09	335	1341	114	245	1.05790121345901e-08
Caudate	Intergenic_VMRs_Decile_vs_Rest	Alu	1.64363286576655	1.12931478852407	2.36591273140701	0.00727803283619773	168	1508	50	309	0.01486576919734
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	MIR	1.15970511689854	0.802617971424665	1.65252059034847	0.413044221529104	335	1341	48	169	0.501927155275873
Caudate	Intergenic_VMRs_Decile_vs_Rest	MIR	0.956280130478971	0.560855808468825	1.5613271315824	1	168	1508	21	196	1
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	ERV1	1.78432290066974	1.22520691439118	2.57037093380599	0.00225633343654583	335	1341	50	120	0.00481351133129776
Caudate	Intergenic_VMRs_Decile_vs_Rest	ERV1	1.92305786520259	1.18987020324916	3.02456122499841	0.00646136983133041	168	1508	28	142	0.0134845979088635
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL	3.24034791722552	2.00466040728705	5.19972716200154	8.72381542386605e-07	335	1341	36	48	3.22110107958131e-06
Caudate	Intergenic_VMRs_Decile_vs_Rest	ERVL	2.82834064543388	1.55746434146532	4.93325008153798	0.000489857781792909	168	1508	19	65	0.00114698407444193
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL_MaLR	3.40945178573887	2.4781137086251	4.67938907298058	3.23325143012044e-14	335	1341	87	125	3.87990171614452e-13
Caudate	Intergenic_VMRs_Decile_vs_Rest	ERVL_MaLR	2.93524858509128	1.96380765617985	4.33492639823294	1.31129669299689e-07	168	1508	45	167	5.99449916798578e-07
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	ERVK	2.17889987303391	0.729992730095321	5.93138733541143	0.0964436905466056	335	1341	7	13	0.15963093607714
Caudate	Intergenic_VMRs_Decile_vs_Rest	ERVK	2.27274417407354	0.546445683929263	7.15900717006333	0.132623467532403	168	1508	4	16	0.208718899723127
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	SVA	0	0	2.3441370201403	0.36969391546894	335	1341	0	8	0.459669631436103
Caudate	Intergenic_VMRs_Decile_vs_Rest	SVA	0	0	5.27931909190616	1	168	1508	0	8	1
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	any_repeat	2.65964605812089	1.71788349507212	4.22520139480179	2.04950782903477e-06	164	656	134	411	6.78457764094267e-06
DLPFC	Intergenic_VMRs_Decile_vs_Rest	any_repeat	4.5646389738752	2.22975658585801	10.5501606037968	1.67614145766641e-06	82	738	73	472	5.74677071199911e-06
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	LINE	1.87605174377699	1.25718154897258	2.78047878626721	0.00166512054618052	164	656	53	133	0.00363299028257569
DLPFC	Intergenic_VMRs_Decile_vs_Rest	LINE	2.57143727495633	1.54437740507419	4.2417286697118	0.00015052015512135	82	738	33	153	0.000380261444517095
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	SINE	1.41746277484681	0.976264160457623	2.04893750552751	0.0624646691216499	164	656	64	204	0.113104241138551
DLPFC	Intergenic_VMRs_Decile_vs_Rest	SINE	1.44087678799968	0.87277928397662	2.35446084764624	0.136688742620713	82	738	33	235	0.2116470853482
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	LTR	3.33687241493009	2.25551901473145	4.92880751860938	5.81948747780475e-10	164	656	66	110	3.99050569906611e-09
DLPFC	Intergenic_VMRs_Decile_vs_Rest	LTR	4.20596956574196	2.5512613259474	6.93345283782848	6.12150312265045e-09	82	738	40	136	3.45684882220261e-08
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	DNA	1.43134977577204	0.764130324903499	2.57676475793871	0.213108820583573	164	656	18	52	0.300859511412103
DLPFC	Intergenic_VMRs_Decile_vs_Rest	DNA	1.56843987270358	0.685499804466124	3.2642366179245	0.211720733475966	82	738	10	60	0.300859511412103
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Satellite	1.33486620927851	0.0252837198172903	16.7461161434952	1	164	656	1	3	1
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Satellite	0	0	13.7413040443702	1	82	738	0	4	1
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Simple_repeat	1.30023960525488	0.772483252021054	2.13291225275235	0.303415396777696	164	656	26	83	0.399012028639162
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Simple_repeat	1.13269768402902	0.538539463090376	2.20465113206934	0.731311973128764	82	738	12	97	0.835785112147159
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Low_complexity	1	0.239994636190691	3.15726085835002	1	164	656	4	16	1
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Low_complexity	1.60944483629275	0.295798885569517	5.74260487698063	0.441142053520916	82	738	3	17	0.5293704642251
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	L1	2.56712020677445	1.61274447123858	4.04775144141272	5.35034971609536e-05	164	656	39	71	0.00014267599242921
DLPFC	Intergenic_VMRs_Decile_vs_Rest	L1	2.91193026495789	1.63039351344672	5.07445359605456	0.000216806217500417	82	738	23	87	0.000520334922001
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Alu	1.45755261923551	0.970035400390941	2.16948743635517	0.0636211356404349	164	656	48	145	0.113104241138551
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Alu	1.58648684736592	0.925738886779686	2.6617756460775	0.0744326616577661	82	738	26	167	0.129918827620828
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	MIR	1.36499536158377	0.784458097903188	2.30546297453347	0.218451668580137	164	656	23	70	0.303932756285408
DLPFC	Intergenic_VMRs_Decile_vs_Rest	MIR	1.38985639929971	0.656891336935581	2.72598497430146	0.356682061609928	82	738	12	81	0.450545762033593
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	ERV1	2.29878628420861	1.36093618967465	3.82110275094066	0.00139782594082648	164	656	29	56	0.00312072768184516
DLPFC	Intergenic_VMRs_Decile_vs_Rest	ERV1	1.93226213657419	0.953825136993371	3.69166516507446	0.0532263929305263	82	738	14	71	0.102194674426611
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL	3.32631766509844	1.61438050951656	6.74878479140316	0.000635924472073276	164	656	17	22	0.0014535416504532
DLPFC	Intergenic_VMRs_Decile_vs_Rest	ERVL	5.14178275033685	2.31584691451789	10.9427189681254	3.74262249709374e-05	82	738	13	26	0.000102654788491714
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL_MaLR	3.53858289367037	2.00621210852512	6.19447338516149	5.7248206676584e-06	164	656	28	36	1.71744620029752e-05
DLPFC	Intergenic_VMRs_Decile_vs_Rest	ERVL_MaLR	4.63053243547566	2.40629430950398	8.66608369610172	3.14384508468322e-06	82	738	19	45	1.00603042709863e-05
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	ERVK	6.07440970899528	0.689928548001128	73.1338783771179	0.0573564465999438	164	656	3	2	0.105888824492204
DLPFC	Intergenic_VMRs_Decile_vs_Rest	ERVK	6.0994632692342	0.502539259144334	54.0760948235996	0.0809233037138151	82	738	2	3	0.138725663509397
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	SVA	0	0	9.70427319287183	1	164	656	0	3	1
DLPFC	Intergenic_VMRs_Decile_vs_Rest	SVA	0	0	21.9316546727642	1	82	738	0	3	1
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	any_repeat	3.7117206582327	2.31723281309511	6.20516853707568	4.41811342921234e-10	219	873	197	617	3.26260684003373e-09
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	any_repeat	6.63353534596883	2.89760420904933	18.7059705949827	1.45628286539886e-08	110	982	104	710	7.7668419487939e-08
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	LINE	2.77056274811413	2.00965450951218	3.81840740310934	2.33862862712483e-10	219	873	100	203	2.04098498367258e-09
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	LINE	3.80085724008733	2.49302761239493	5.8209082672096	1.57792563634672e-10	110	982	61	242	1.51480861089285e-09
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	SINE	1.20660262394398	0.882907676381493	1.64585722899542	0.246697280077967	219	873	95	339	0.33356251954204
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	SINE	1.40770849384869	0.92772734364085	2.13195325267836	0.100151341834157	110	982	52	382	0.162958115526763
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	LTR	2.98031896886686	2.15162313420886	4.12554089571633	1.8698984235588e-11	219	873	96	181	1.99455831846272e-10
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	LTR	3.56624307352234	2.33602089335353	5.44902891413146	1.18983126558832e-09	110	982	56	221	7.61492009976527e-09
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	DNA	2.6369365608076	1.69741846610825	4.05985398686125	1.04547304795493e-05	219	873	42	72	3.04137613950525e-05
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	DNA	3.77172156882521	2.24797197112698	6.21466857379575	3.74526409285466e-07	110	982	29	85	1.63429705870021e-06
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Satellite	0	0	1.77403669626143	0.226405193667915	219	873	0	10	0.310498551315998
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Satellite	0	0	4.00236115522468	0.610819341824286	110	982	0	10	0.706489841146162
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Simple_repeat	1.484831301276	1.01076144470348	2.15828400554297	0.0379491370266071	219	873	50	145	0.0743493296847813
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Simple_repeat	1.16893162258352	0.677560126609136	1.9456479286998	0.513721682096332	110	982	22	173	0.605873441242709
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Low_complexity	0.79268380661312	0.23422704891091	2.14170457927009	0.818038072098916	219	873	5	25	0.923901822605835
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Low_complexity	0.991700070082729	0.189405084295337	3.30593172005229	1	110	982	3	27	1
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	L1	2.60251927845649	1.83719395653309	3.67417626034563	4.32474625885495e-08	219	873	74	143	2.1851349518425e-07
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	L1	2.84467354733469	1.82384027340622	4.40085718011395	3.41806829300906e-06	110	982	42	175	1.05849856815764e-05
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	Alu	1.17557038746629	0.845854859222539	1.62556583849827	0.328833704309149	219	873	75	268	0.42090714151571
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	Alu	1.39698608855526	0.905060376496848	2.13660061922471	0.128926115974475	110	982	42	301	0.20628178555916
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	MIR	1.33423117599229	0.833477288951153	2.09053582406091	0.195683158272379	219	873	31	96	0.289008972217668
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	MIR	1.44851877863753	0.779728604436713	2.55903971131648	0.208053358864789	110	982	17	110	0.300859511412103
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	ERV1	1.25416438402218	0.760823012458705	2.01392076260757	0.326445167354273	219	873	27	88	0.42090714151571
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	ERV1	1.51749692191274	0.800742299703057	2.72419729420948	0.143272647683409	110	982	16	99	0.218320225041386
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL	3.65365657278242	2.15455390396113	6.16156224482228	7.17226504548583e-07	219	873	32	39	2.97777640664823e-06
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	ERVL	3.72768238646511	1.99166329498119	6.74326089445785	2.63614321607338e-05	110	982	19	52	7.44322790420719e-05
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	ERVL_MaLR	3.93177671700414	2.55317429305555	6.03879956875781	3.19454017024955e-10	219	873	50	61	2.55563213619964e-09
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	ERVL_MaLR	3.69230935025721	2.18567993268933	6.11683743500161	7.69218851455492e-07	110	982	28	83	2.97777640664823e-06
