h2_category	n	n_in	frac	state	tissue
Heritable	3456	1745	0.504918981481482	15_Quies	Caudate
Non-heritable	3678	677	0.184067427949973	15_Quies	Caudate
Heritable	3456	593	0.171585648148148	1_TssA	Caudate
Non-heritable	3678	1058	0.287656334964655	1_TssA	Caudate
Heritable	3456	548	0.158564814814815	7_Enh	Caudate
Non-heritable	3678	1211	0.329255029907558	7_Enh	Caudate
Heritable	3456	507	0.146701388888889	5_TxWk	Caudate
Non-heritable	3678	625	0.169929309407287	5_TxWk	Caudate
Heritable	3456	136	0.0393518518518519	9_Het	Caudate
Non-heritable	3678	11	0.00299075584556824	9_Het	Caudate
Heritable	3456	386	0.111689814814815	2_TssAFlnk	Caudate
Non-heritable	3678	830	0.225666122892877	2_TssAFlnk	Caudate
Heritable	3456	63	0.0182291666666667	4_Tx	Caudate
Non-heritable	3678	65	0.0176726481783578	4_Tx	Caudate
Heritable	3456	49	0.0141782407407407	6_EnhG	Caudate
Non-heritable	3678	155	0.0421424687330071	6_EnhG	Caudate
Heritable	3456	17	0.00491898148148148	3_TxFlnk	Caudate
Non-heritable	3678	45	0.0122349102773246	3_TxFlnk	Caudate
Heritable	3456	403	0.116608796296296	14_ReprPCWk	Caudate
Non-heritable	3678	336	0.0913539967373573	14_ReprPCWk	Caudate
Heritable	3456	7	0.00202546296296296	8_ZNF/Rpts	Caudate
Non-heritable	3678	8	0.00217509516041327	8_ZNF/Rpts	Caudate
Heritable	3456	42	0.0121527777777778	10_TssBiv	Caudate
Non-heritable	3678	88	0.023926046764546	10_TssBiv	Caudate
Heritable	3456	12	0.00347222222222222	11_BivFlnk	Caudate
Non-heritable	3678	29	0.0078847199564981	11_BivFlnk	Caudate
Heritable	3456	25	0.0072337962962963	12_EnhBiv	Caudate
Non-heritable	3678	46	0.0125067971723763	12_EnhBiv	Caudate
Heritable	3456	86	0.0248842592592593	13_ReprPC	Caudate
Non-heritable	3678	177	0.0481239804241436	13_ReprPC	Caudate
Heritable	4233	1300	0.307110796125679	15_Quies	DLPFC
Non-heritable	684	158	0.230994152046784	15_Quies	DLPFC
Heritable	4233	482	0.113867233640444	14_ReprPCWk	DLPFC
Non-heritable	684	93	0.135964912280702	14_ReprPCWk	DLPFC
Heritable	4233	77	0.0181904086935979	10_TssBiv	DLPFC
Non-heritable	684	8	0.0116959064327485	10_TssBiv	DLPFC
Heritable	4233	744	0.175761871013466	1_TssA	DLPFC
Non-heritable	684	120	0.175438596491228	1_TssA	DLPFC
Heritable	4233	1025	0.242145050791401	5_TxWk	DLPFC
Non-heritable	684	186	0.271929824561404	5_TxWk	DLPFC
Heritable	4233	175	0.0413418379399953	13_ReprPC	DLPFC
Non-heritable	684	28	0.0409356725146199	13_ReprPC	DLPFC
Heritable	4233	38	0.00897708480982755	9_Het	DLPFC
Non-heritable	684	5	0.00730994152046784	9_Het	DLPFC
Heritable	4233	1018	0.240491377273801	7_Enh	DLPFC
Non-heritable	684	210	0.307017543859649	7_Enh	DLPFC
Heritable	4233	504	0.119064493267186	2_TssAFlnk	DLPFC
Non-heritable	684	82	0.119883040935673	2_TssAFlnk	DLPFC
Heritable	4233	256	0.0604772029293645	4_Tx	DLPFC
Non-heritable	684	55	0.0804093567251462	4_Tx	DLPFC
Heritable	4233	43	0.0101582801795417	3_TxFlnk	DLPFC
Non-heritable	684	6	0.0087719298245614	3_TxFlnk	DLPFC
Heritable	4233	162	0.0382707299787385	6_EnhG	DLPFC
Non-heritable	684	39	0.0570175438596491	6_EnhG	DLPFC
Heritable	4233	17	0.00401606425702811	8_ZNF/Rpts	DLPFC
Non-heritable	684	1	0.00146198830409357	8_ZNF/Rpts	DLPFC
Heritable	4233	51	0.0120481927710843	12_EnhBiv	DLPFC
Non-heritable	684	19	0.0277777777777778	12_EnhBiv	DLPFC
Heritable	4233	29	0.00685093314434207	11_BivFlnk	DLPFC
Non-heritable	684	2	0.00292397660818713	11_BivFlnk	DLPFC
Heritable	4288	1379	0.321595149253731	15_Quies	Hippocampus
Non-heritable	634	102	0.160883280757098	15_Quies	Hippocampus
Heritable	4288	847	0.197527985074627	2_TssAFlnk	Hippocampus
Non-heritable	634	185	0.291798107255521	2_TssAFlnk	Hippocampus
Heritable	4288	829	0.193330223880597	1_TssA	Hippocampus
Non-heritable	634	164	0.258675078864353	1_TssA	Hippocampus
Heritable	4288	653	0.152285447761194	5_TxWk	Hippocampus
Non-heritable	634	75	0.118296529968454	5_TxWk	Hippocampus
Heritable	4288	560	0.130597014925373	14_ReprPCWk	Hippocampus
Non-heritable	634	67	0.105678233438486	14_ReprPCWk	Hippocampus
Heritable	4288	82	0.0191231343283582	9_Het	Hippocampus
Non-heritable	634	1	0.00157728706624606	9_Het	Hippocampus
Heritable	4288	1038	0.242070895522388	7_Enh	Hippocampus
Non-heritable	634	214	0.337539432176656	7_Enh	Hippocampus
Heritable	4288	82	0.0191231343283582	4_Tx	Hippocampus
Non-heritable	634	6	0.00946372239747634	4_Tx	Hippocampus
Heritable	4288	92	0.021455223880597	6_EnhG	Hippocampus
Non-heritable	634	26	0.0410094637223975	6_EnhG	Hippocampus
Heritable	4288	42	0.00979477611940299	3_TxFlnk	Hippocampus
Non-heritable	634	15	0.0236593059936909	3_TxFlnk	Hippocampus
Heritable	4288	14	0.00326492537313433	8_ZNF/Rpts	Hippocampus
Non-heritable	634	2	0.00315457413249211	8_ZNF/Rpts	Hippocampus
Heritable	4288	108	0.0251865671641791	12_EnhBiv	Hippocampus
Non-heritable	634	20	0.0315457413249211	12_EnhBiv	Hippocampus
Heritable	4288	124	0.0289179104477612	10_TssBiv	Hippocampus
Non-heritable	634	24	0.0378548895899054	10_TssBiv	Hippocampus
Heritable	4288	92	0.021455223880597	11_BivFlnk	Hippocampus
Non-heritable	634	28	0.0441640378548896	11_BivFlnk	Hippocampus
Heritable	4288	252	0.0587686567164179	13_ReprPC	Hippocampus
Non-heritable	634	42	0.0662460567823344	13_ReprPC	Hippocampus
