"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0032559","adenyl ribonucleotide binding",0.101594727923345,1441,1.23800356735892,0,0,128927,702,721,1.00687170925058,0.175877533820154,0.999999278691623
"GO:0030554","adenyl nucleotide binding",0.106492472968321,1506,1.2343409762095,0,0,127788,740,761,1.00558631384247,0.224899145132283,0.999999278691623
"GO:0035639","purine ribonucleoside triphosphate binding",0.124392098526028,1731,1.21460023340652,0,0,130793,839,866,1.00188150564233,0.424092888373626,0.999999278691623
"GO:0032553","ribonucleotide binding",0.128434592136823,1784,1.21238882886443,0,0,130652,872,902,0.999728880528788,0.567003415174262,0.999999278691623
"GO:0032555","purine ribonucleotide binding",0.127979904303043,1775,1.21055817032926,0,0,130799,864,894,0.999421101180063,0.587515452810642,0.999999278691623
"GO:0017076","purine nucleotide binding",0.133002611023856,1841,1.20815514738828,0,0,129756,903,935,0.99873077020554,0.63321289450997,0.999999278691623
"GO:0000166","nucleotide binding",0.143044925327374,1973,1.20388143372111,0,0,126448,973,1006,1.00020069158509,0.531735858689013,0.999999278691623
"GO:1901265","nucleoside phosphate binding",0.144101952789058,1985,1.20231905982,0,0,126477,981,1014,1.00046832496705,0.511988572612682,0.999999278691623
"GO:1901363","heterocyclic compound binding",0.153209655586141,2089,1.19009434239609,0,0,127593,1041,1076,1.00048538557762,0.5081939153274,0.999999278691623
"GO:0097367","carbohydrate derivative binding",0.164550730123733,2237,1.18657517334029,0,0,134836,1050,1085,1.00076440911176,0.486618283138528,0.999999278691623
"GO:0043167","ion binding",0.428316935572239,5557,1.13241141113355,0,0,133248,2741,2828,1.00230967240258,0.229200804403239,0.999999278691623
"GO:0036094","small molecule binding",0.437250422534276,5671,1.13203145993799,0,0,132416,2829,2919,1.00223864239685,0.230864907114929,0.999999278691623
"GO:0046872","metal ion binding",0.33127561631342,4280,1.1276735273625,0,0,135132,1950,2012,1.00225660256471,0.292847399603557,0.999999278691623
"GO:0097159","organic cyclic compound binding",0.430535697090241,5562,1.12758919440108,0,0,134593,2686,2768,1.00348806947374,0.127099385855483,0.999999278691623
"GO:0043169","cation binding",0.339775113256895,4381,1.12541001128209,0,0,136406,1993,2056,1.00243559481439,0.272329264529733,0.999999278691623
"GO:0005515","protein binding",0.838215029270253,10106,1.05233238864538,0,0,132029,6460,6655,1.00382209150373,0.000498754684817415,0.600878165601129
"GO:0005488","binding",0.895783290554159,10772,1.04959674342353,0,0,133291,7225,7451,1.00275671512014,0.000867694101951089,0.600878165601129
"GO:0003674","molecular_function",0.943275479065875,11066,1.02395579431403,0,0,134147,7798,8052,1.00150184935361,0.00860306552124279,0.999999278691623
"GO:0005524","ATP binding",0.0982693527339379,1397,1.24081603585737,1.11022302462516e-16,8.09294152160969e-15,129269,679,696,1.00886446587133,0.110166213539966,0.999999278691623
"GO:0098772","molecular function regulator activity",0.178067067562318,2379,1.16611108087424,2.22044604925031e-16,1.53765888910584e-14,129782,985,1016,1.00257025040116,0.359817749767222,0.999999278691623
"GO:0060090","molecular adaptor activity",0.112310219297226,1567,1.21780795916828,4.44089209850063e-16,2.92887407448732e-14,144522,606,631,0.993151621213601,0.859753001347102,0.999999278691623
"GO:0003676","nucleic acid binding",0.311792773916768,3959,1.10827756759137,5.77315972805081e-15,3.63446646515926e-13,136868,1736,1782,1.00742868388998,0.03109206224769,0.999999278691623
"GO:0043168","anion binding",0.171913728849766,2281,1.1580940006379,2.16493489801906e-14,1.30366731902452e-12,128035,1122,1161,0.999385233354152,0.590648762851911,0.999999278691623
"GO:0030234","enzyme regulator activity",0.114055476785795,1563,1.19611220140707,1.20792265079217e-13,6.97072029727982e-12,125564,602,624,0.997663750151902,0.680425682412577,0.999999278691623
"GO:0140110","transcription regulator activity",0.198166749125877,2586,1.13900812609035,1.84074977482851e-13,1.01977537525499e-11,137074,950,977,1.00554458711502,0.184974393963967,0.999999278691623
"GO:0003712","transcription coregulator activity",0.0470222263544064,693,1.28634994940182,3.5681235743823e-11,1.90071198096903e-09,129813,260,271,0.992147741382627,0.815103849848366,0.999999278691623
"GO:0030674","protein-macromolecule adaptor activity",0.0982253006994091,1338,1.18894518752575,4.27906599043126e-11,2.19500236916567e-09,134505,529,553,0.989242648886299,0.933222919103711,0.999999278691623
"GO:0003723","RNA binding",0.109481038255539,1471,1.17274300787203,1.30659039143666e-10,6.46295604335632e-09,117870,711,726,1.01275704046062,0.0276277428634485,0.999999278691623
"GO:0008134","transcription factor binding",0.0718662456266181,1003,1.2181620413678,1.62903468492459e-10,7.78004496076055e-09,123542,309,313,1.02090759050921,0.020353853142129,0.999999278691623
"GO:0019899","enzyme binding",0.180181454536197,2325,1.12626854644356,2.35335306797424e-10,1.08646466638144e-08,123778,966,994,1.00499299112209,0.210900662261981,0.999999278691623
"GO:0045296","cadherin binding",0.0306354229272024,472,1.34476750211659,2.43406628186449e-10,1.08747800012333e-08,158334,167,173,0.998257677451168,0.654343574642452,0.999999278691623
"GO:0140297","DNA-binding transcription factor binding",0.0611630401216633,865,1.23440061775421,3.24886562097504e-10,1.40614965157826e-08,132082,255,259,1.01815220772567,0.0662391540294831,0.999999278691623
"GO:0050839","cell adhesion molecule binding",0.0519856067171605,748,1.25587833296667,3.49998363624593e-10,1.4689325261214e-08,157498,289,298,1.00289131333694,0.475388849608184,0.999999278691623
"GO:0030695","GTPase regulator activity",0.0533484526999581,761,1.24506468754631,1.01410102537614e-09,4.01294262898842e-08,134613,244,254,0.993409710042169,0.781966127068413,0.999999278691623
"GO:0060589","nucleoside-triphosphatase regulator activity",0.0533484526999581,761,1.24506468754631,1.01410102537614e-09,4.01294262898842e-08,134613,244,254,0.993409710042169,0.781966127068413,0.999999278691623
"GO:0019901","protein kinase binding",0.0621922860238833,868,1.21818231817836,3.04990799282479e-09,1.17336738057287e-07,133143,343,353,1.00482794731684,0.378345199471095,0.999999278691623
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0411268908893088,598,1.26912497880564,5.32160338018173e-09,1.99200558960857e-07,137970,184,187,1.01753301061916,0.129545443278025,0.999999278691623
"GO:0019900","kinase binding",0.0697086920862402,959,1.20077257346962,5.90878568296205e-09,2.15359688707959e-07,131962,379,390,1.00495564467128,0.358917392375219,0.999999278691623
"GO:0042802","identical protein binding",0.177041142165213,2253,1.11074937077368,3.09692718136745e-08,1.09980619133177e-06,129604,1015,1041,1.00829497703175,0.0694959471011578,0.999999278691623
"GO:0003677","DNA binding",0.229338876363206,2872,1.09303946336886,3.99926670668904e-08,1.38474609719108e-06,144558,1126,1156,1.00728611489201,0.0852367996514882,0.999999278691623
"GO:0003713","transcription coactivator activity",0.0231978235195805,356,1.33946646399823,5.5239457230627e-08,1.86601581132728e-06,124165,140,143,1.01242832996387,0.300054068046899,0.999999278691623
"GO:0019904","protein domain specific binding",0.0598485628300444,821,1.19734283052104,1.20402296799327e-07,3.97040907302542e-06,139920,302,310,1.00743617183917,0.29927350249686,0.999999278691623
"GO:0016301","kinase activity",0.0552275265446713,759,1.19954147811987,2.84987949572546e-07,9.03894500788165e-06,125347,356,363,1.01418145261316,0.0823147140491808,0.999999278691623
"GO:0005085","guanyl-nucleotide exchange factor activity",0.0279804577205618,413,1.28832170582566,2.87157819744976e-07,9.03894500788165e-06,124969,118,124,0.984085002293227,0.884574186742304,0.999999278691623
"GO:0000976","transcription cis-regulatory region binding",0.159701575136943,2021,1.10455208761754,7.80098050712219e-07,2.34877347877483e-05,138789,712,729,1.01000786638842,0.0729695820967999,0.999999278691623
"GO:0001067","transcription regulatory region nucleic acid binding",0.159701575136943,2021,1.10455208761754,7.80098050712219e-07,2.34877347877483e-05,138789,712,729,1.01000786638842,0.0729695820967999,0.999999278691623
"GO:0140993","histone modifying activity",0.0381468482318864,539,1.23327290623053,8.44622251361393e-07,2.48894003858623e-05,160448,207,218,0.981942693160572,0.942982810717674,0.999999278691623
"GO:0003700","DNA-binding transcription factor activity",0.157249935526859,1988,1.10345592489866,1.24068117757226e-06,3.57988214778661e-05,139066,698,715,1.00953567759255,0.0872464879303242,0.999999278691623
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",0.052726522091874,720,1.19187979524923,1.32523371210169e-06,3.74581365563437e-05,127052,337,344,1.01308001763474,0.112982556017282,0.999999278691623
"GO:0019208","phosphatase regulator activity",0.00990971546591667,166,1.46209634020564,2.08948297730771e-06,5.78786784714236e-05,150921,52,53,1.01461146382903,0.473727607198418,0.999999278691623
"GO:0016746","acyltransferase activity",0.0543226889007689,737,1.18417343989772,2.27919808115651e-06,6.18958694588581e-05,122932,312,325,0.992758293838863,0.813440905849781,0.999999278691623
"GO:0043565","sequence-specific DNA binding",0.175165610192623,2194,1.09324339923069,2.86740735244706e-06,7.63722919834457e-05,140040,787,805,1.01099997056313,0.0421541858236396,0.999999278691623
"GO:0019888","protein phosphatase regulator activity",0.00977921961488782,163,1.45483081718067,3.34997993278741e-06,8.75419284322747e-05,152567,50,51,1.01384629681256,0.494397173155091,0.999999278691623
"GO:0003690","double-stranded DNA binding",0.174460888323665,2184,1.09265646935937,3.45327474815527e-06,8.85701023369453e-05,138127,786,806,1.00846259687415,0.100206817410757,0.999999278691623
"GO:1990837","sequence-specific double-stranded DNA binding",0.166655155582267,2091,1.09512669706207,3.58609165640456e-06,9.03043080749147e-05,139300,744,762,1.00969511512483,0.074554789332963,0.999999278691623
"GO:0003725","double-stranded RNA binding",0.00417708475146573,82,1.713442963124,4.33176810765712e-06,0.000107133907662591,152171,29,29,1.03412322274882,0.377322473645891,0.999999278691623
"GO:0071889","14-3-3 protein binding",0.00621842061281029,112,1.57205239034933,4.59033849431467e-06,0.000111537172186418,187015,24,24,1.03412322274882,0.446473340067614,0.999999278691623
"GO:0005112","Notch binding",0.00591094183913924,107,1.57999669487419,5.97656577738803e-06,0.000142716268994525,109292,18,18,1.03412322274882,0.546309340501995,0.999999278691623
"GO:0001221","transcription coregulator binding",0.0148065750428622,229,1.34992598480091,7.21297752503958e-06,0.000169321591053895,100180,68,69,1.0191359296655,0.330068622012084,0.999999278691623
"GO:0001217","DNA-binding transcription repressor activity",0.0408628000491435,563,1.20256721358328,7.57291622321965e-06,0.000174808149485987,153067,159,161,1.02127697153454,0.0947611849942313,0.999999278691623
"GO:0004674","protein serine/threonine kinase activity",0.0316671038665068,447,1.23204980268823,7.75683304188313e-06,0.000176118258409969,128787,212,217,1.01029549872234,0.272976852385543,0.999999278691623
"GO:0016788","hydrolase activity, acting on ester bonds",0.0565391260651904,757,1.16862688999585,8.69775733192135e-06,0.000194296675882437,140350,333,347,0.992400671975088,0.827154692889,0.999999278691623
"GO:0140678","molecular function inhibitor activity",0.0412852789833056,567,1.19871771121195,9.80073929957026e-06,0.000215460697300076,114491,217,225,0.99735439705108,0.674784391620955,0.999999278691623
"GO:0003714","transcription corepressor activity",0.0208773438615482,307,1.2834891982635,1.18435072731238e-05,0.000256300899582444,110996,102,107,0.985799707667095,0.858104893818051,0.999999278691623
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",0.0397860709237756,547,1.20001136942011,1.25603741937264e-05,0.0002676325885894,155422,151,153,1.02060527212465,0.114314920525651,0.999999278691623
"GO:0004672","protein kinase activity",0.046243567904883,626,1.18154994847636,1.66398049482597e-05,0.000349183785656661,131176,289,294,1.01653609311023,0.072444879624176,0.999999278691623
"GO:0001216","DNA-binding transcription activator activity",0.0586882676592763,779,1.15855126097051,1.8476934176781e-05,0.000381948564699129,126608,258,263,1.0144630854342,0.128530243796219,0.999999278691623
"GO:0016772","transferase activity, transferring phosphorus-containing groups",0.0653468765668633,860,1.14868963957243,2.02888611728902e-05,0.000413236363594896,124082,413,426,1.00256547181986,0.453799419322392,0.999999278691623
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",0.152914462681396,1912,1.09136095402529,2.10793075315907e-05,0.000419732179424054,139743,666,682,1.00986226737641,0.0855126049695629,0.999999278691623
"GO:0016817","hydrolase activity, acting on acid anhydrides",0.0556710353445633,741,1.161764219313,2.15169564903306e-05,0.000419732179424054,129351,360,374,0.995412727779608,0.746630753125443,0.999999278691623
"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",0.0556710353445633,741,1.161764219313,2.15169564903306e-05,0.000419732179424054,129351,360,374,0.995412727779608,0.746630753125443,0.999999278691623
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",0.0585278872622103,775,1.15576075149391,2.57685528048945e-05,0.000495686744927485,127097,256,261,1.01431243304098,0.133149222189894,0.999999278691623
"GO:0016462","pyrophosphatase activity",0.0556500054788334,739,1.15906639348496,2.87520255474183e-05,0.000545500758673621,129687,359,373,0.995308946291755,0.749849836319887,0.999999278691623
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.0120087174327625,187,1.35917089955187,3.25093743469562e-05,0.000608452479331546,160156,59,62,0.984085002293227,0.852408302725857,0.999999278691623
"GO:0017111","ribonucleoside triphosphate phosphatase activity",0.0508453452605877,679,1.16559495887856,3.33077426954986e-05,0.000613189032284912,130306,328,341,0.994699170268655,0.763798934859737,0.999999278691623
"GO:0106310","protein serine kinase activity",0.0278453131623716,392,1.22874863214743,3.3664952962642e-05,0.000613189032284912,128847,183,188,1.00661994554805,0.408432507536268,0.999999278691623
"GO:0051219","phosphoprotein binding",0.00568348723874542,100,1.53572762918262,3.40906537804608e-05,0.000613189032284912,102766,50,50,1.03412322274882,0.185907733280175,0.999999278691623
"GO:0019902","phosphatase binding",0.0128695030421361,198,1.34286545028664,3.78213960403606e-05,0.000671572224562813,145985,84,86,1.01007384547559,0.456227832783442,0.999999278691623
"GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",0.151464508781076,1888,1.08797820684568,4.37762508718187e-05,0.000767469714651505,139690,667,682,1.01137857708718,0.0531150761335274,0.999999278691623
"GO:0016791","phosphatase activity",0.0271901775031351,382,1.22625391532922,4.91492294968365e-05,0.000850896035663982,161100,133,139,0.989484810256061,0.824495462678686,0.999999278691623
"GO:0140677","molecular function activator activity",0.0979935294423654,1248,1.11159420050806,5.58553187951505e-05,0.000955056994213376,140069,514,526,1.01053105797128,0.106624683270287,0.999999278691623
"GO:0035259","nuclear glucocorticoid receptor binding",0.00329626542789689,64,1.69467680533813,6.06402994798305e-05,0.00102422944853128,120244,8,8,1.03412322274882,0.76449403757762,0.999999278691623
"GO:0016922","nuclear receptor binding",0.0113348762613769,175,1.34756695330513,8.6019137770732e-05,0.00143537958810197,125464,63,66,0.987117621714778,0.827068510135891,0.999999278691623
