"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0071889","14-3-3 protein binding",0.00491286873981271,48,2.04827232614902,5.37178629489432e-06,0.0062420156746672,243429,17,23,1.15852631217013,0.21634238500436,0.99794065645104
"GO:0003674","molecular_function",0.954864471996092,4609,1.01192096657973,4.65251543204648e-05,0.02703111466019,140772,4677,7324,1.00093033320311,0.36621545151333,0.99794065645104
"GO:0030554","adenyl nucleotide binding",0.114834971669642,630,1.15013283652012,0.000135167233364153,0.045456111782046,142259,410,656,0.979636219849743,0.778367790606047,0.99794065645104
"GO:0032559","adenyl ribonucleotide binding",0.110273521502308,606,1.15208096582436,0.000156475427821157,0.045456111782046,144140,391,626,0.979010254214056,0.779680054121946,0.99794065645104
"GO:0005524","ATP binding",0.107588443907717,587,1.14381054485049,0.000384593936232802,0.0893796307805032,143264,380,607,0.981250118070253,0.752983255762769,0.99794065645104
"GO:0008013","beta-catenin binding",0.0188263618432767,122,1.35854819582555,0.000635543584757148,0.110318429859044,245432,54,63,1.34350110150822,9.54533829859994e-05,0.110916831029731
"GO:0043167","ion binding",0.469558276984609,2351,1.04965057919014,0.000664568854572556,0.110318429859044,143401,1684,2591,1.01873092657783,0.0644010368877412,0.854720362825277
"GO:0036094","small molecule binding",0.478425924446291,2391,1.047723035108,0.000842232927482645,0.122334332716854,142484,1727,2662,1.01687858853825,0.0815844321205328,0.922825152410885
"GO:0005488","binding",0.926348203156746,4473,1.01229305121017,0.00114305750240984,0.134253671087987,139766,4313,6781,0.996943463491979,0.818934281626519,0.99794065645104
"GO:0003824","catalytic activity",0.404328540838177,2029,1.05203277371536,0.00164528517662277,0.134253671087987,134530,1487,2312,1.00811007537479,0.278023018958287,0.99794065645104
"GO:0032553","ribonucleotide binding",0.139334539066673,736,1.10739013423299,0.00171622424312368,0.134253671087987,142206,472,764,0.968352451872416,0.896091061212369,0.99794065645104
"GO:0017076","purine nucleotide binding",0.143605637307497,757,1.10511127988511,0.00177257664425923,0.134253671087987,140260,487,789,0.967468368196349,0.905813223738625,0.99794065645104
"GO:1901363","heterocyclic compound binding",0.161749565114166,847,1.0977966713331,0.00177971315710179,0.134253671087987,136815,557,904,0.965765264524437,0.93129556925298,0.99794065645104
"GO:0033218","amide binding",0.0262669331531392,159,1.26902265822189,0.00184559762641912,0.134253671087987,142889,80,114,1.09994242228743,0.0906760838861902,0.922825152410885
"GO:0016278","lysine N-methyltransferase activity",0.00411643411879118,34,1.73156727251932,0.0019839362342029,0.134253671087987,202556,24,33,1.13994032855243,0.188378185846432,0.99794065645104
"GO:0016279","protein-lysine N-methyltransferase activity",0.00411643411879118,34,1.73156727251932,0.0019839362342029,0.134253671087987,202556,24,33,1.13994032855243,0.188378185846432,0.99794065645104
"GO:0032555","purine ribonucleotide binding",0.139044187140163,733,1.10517934092289,0.00209933120814076,0.134253671087987,141720,468,759,0.966471148120537,0.907768292576396,0.99794065645104
"GO:0000166","nucleotide binding",0.152869504572579,801,1.09848284503441,0.00227632424656798,0.134253671087987,139013,522,846,0.967130225553789,0.915956030402283,0.99794065645104
"GO:0097367","carbohydrate derivative binding",0.175725979691631,914,1.09041506612426,0.00228521263959647,0.134253671087987,150062,593,943,0.98566155396971,0.745449898792995,0.99794065645104
"GO:1901265","nucleoside phosphate binding",0.153903071823507,806,1.09791665838231,0.00231073444213403,0.134253671087987,138278,526,851,0.968815326234481,0.90559363096071,0.99794065645104
"GO:0046975","histone H3K36 methyltransferase activity",0.000976067581943449,12,2.57740684864381,0.00313148973565325,0.173275765372813,212748,7,9,1.21910285136857,0.309792175947603,0.99794065645104
"GO:0015103","inorganic anion transmembrane transporter activity",0.00974640791149788,66,1.41964897355655,0.00388638389488793,0.194937318480027,166307,44,63,1.09470460122892,0.192935646900825,0.99794065645104
"GO:0042054","histone methyltransferase activity",0.0054801607593723,41,1.56845541911719,0.00420308619960552,0.194937318480027,207295,26,37,1.1014288309662,0.261292916374046,0.99794065645104
"GO:0005254","chloride channel activity",0.00548501184807075,41,1.56706823590438,0.0042643211546054,0.194937318480027,207448,22,32,1.07759984183472,0.350402113409213,0.99794065645104
"GO:0035639","purine ribonucleoside triphosphate binding",0.135365920474105,709,1.09804089567934,0.00429167769660144,0.194937318480027,140066,454,738,0.964238143765384,0.918014641693498,0.99794065645104
"GO:0008509","monoatomic anion transmembrane transporter activity",0.00997526515480109,67,1.40809506066423,0.00436176444103331,0.194937318480027,165038,43,62,1.08708019234939,0.218863796823312,0.99794065645104
"GO:0005253","monoatomic anion channel activity",0.0063781828849025,46,1.51196760018404,0.00491575296103075,0.202034433109399,196374,27,41,1.0322020657929,0.461579098301979,0.99794065645104
"GO:0004890","GABA-A receptor activity",0.00117353542778612,13,2.32235585886971,0.00510045545471616,0.202034433109399,283346,5,6,1.30618162646632,0.296929944521216,0.99794065645104
