"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04010",0.0282641549061058,318,1.21147838459064,0.000409405866110601,0.0500598181973702,133666,141,143,1.01838442953607,0.161547534058422,0.977342955961291
"hsa04519",0.0340018514037339,375,1.18755370004162,0.000523525408216985,0.0500598181973702,151768,173,175,1.0210258319065,0.07891616382349,0.977342955961291
"hsa05417",0.0156159398784603,186,1.28253542722966,0.000554911933715152,0.0500598181973702,114667,89,91,1.01013004712848,0.443174930610651,0.977342955961291
"hsa04310",0.0217618412221547,248,1.22710181362314,0.000870023324934133,0.0500598181973702,144128,101,102,1.02270381836945,0.159410904012623,0.977342955961291
"hsa05205",0.0243553188477922,274,1.21138250651663,0.000982569304648573,0.0500598181973702,150556,112,113,1.02368951380466,0.12058743089756,0.977342955961291
"hsa04660",0.0121245828063719,147,1.30549461654442,0.00101161650063664,0.0500598181973702,135291,48,48,1.03282959874935,0.211147873326128,0.977342955961291
"hsa03013",0.00527598699679942,72,1.46944499630397,0.00119239806790428,0.0500598181973702,73030,41,41,1.03282959874935,0.265060184255106,0.977342955961291
"hsa05010",0.0267357766079362,297,1.19615703810079,0.00126238057360406,0.0500598181973702,137080,146,149,1.01203437192889,0.297138985062355,0.977342955961291
"hsa05022",0.0370822927272478,401,1.16440040861895,0.00128725246793238,0.0500598181973702,133847,199,202,1.01749054530258,0.110384492939213,0.977342955961291
"hsa00310",0.00496951233432105,67,1.45172910641887,0.00226511899203441,0.0647405654545796,134118,34,34,1.03282959874935,0.332669691581902,0.977342955961291
"hsa04142",0.0171142128908836,196,1.23317211509016,0.00227867786875824,0.0647405654545796,146345,98,98,1.03282959874935,0.0413590075311824,0.977342955961291
"hsa04919",0.0119644968793232,142,1.27796352351594,0.00257653137652714,0.0647405654545796,140505,61,62,1.01617105683404,0.408649428866441,0.977342955961291
"hsa04666",0.0112994696903978,135,1.28647177236556,0.00258220575597434,0.0647405654545796,94160,56,58,0.997214784999371,0.719822160956323,0.977342955961291
"hsa04064",0.00791897426297695,99,1.34614182328252,0.00258962261818318,0.0647405654545796,163470,44,45,1.00987782988825,0.578624933744139,0.977342955961291
"hsa03040",0.00757811394237135,95,1.3498547180242,0.00288002759459838,0.0672006438739621,113433,53,55,0.995272158794827,0.745824310928166,0.977342955961291
"hsa04625",0.00853163822977496,105,1.32519998381057,0.00311721782103469,0.0681891398351338,118034,44,44,1.03282959874935,0.240453245711511,0.977342955961291
"hsa04730",0.00534704117832374,70,1.40964276215777,0.00363644808318497,0.0684624308335287,171973,32,32,1.03282959874935,0.354966993016201,0.977342955961291
"hsa04140",0.0128575252370756,150,1.25619895580944,0.00366101111834882,0.0684624308335287,106580,67,68,1.01764092817951,0.358170160449406,0.977342955961291
"hsa03250",0.00590962478826425,76,1.38477188997164,0.00389201594630861,0.0684624308335287,107365,33,36,0.946760465520236,0.973554578379764,0.999919237169181
"hsa05224",0.0152093045022669,174,1.23186877734301,0.00397735052735348,0.0684624308335287,124742,68,70,1.00332018164222,0.614820310298691,0.977342955961291
"hsa04910",0.0103172669080416,123,1.28370431193413,0.00410774585001172,0.0684624308335287,103411,54,57,0.978470146183593,0.89323774409013,0.999919237169181
"hsa04664",0.00604188829483662,77,1.37227953927377,0.0045595480450924,0.0704551848317501,106266,29,29,1.03282959874935,0.391233900285803,0.977342955961291
"hsa03083",0.00978778484451405,117,1.28714063766995,0.00462991214608643,0.0704551848317501,183938,40,41,1.00763863292619,0.623703691814531,0.977342955961291
"hsa05211",0.005430936476991,70,1.38786707005635,0.00512893082163823,0.0747969078155576,87963,31,31,1.03282959874935,0.366667670876252,0.977342955961291
"hsa04380",0.0104169995845185,123,1.27141408711504,0.00547732665290046,0.0766825731406064,110749,54,54,1.03282959874935,0.173726547476434,0.977342955961291
"hsa05016",0.0204028229911927,225,1.18745404379188,0.00604183822558846,0.0813324376521523,139723,106,110,0.995272158794827,0.728397717880543,0.977342955961291
"hsa04014",0.0212727373380878,233,1.17938906756743,0.00701864268561225,0.0909824051838625,136903,110,115,0.987923964021116,0.840918086555494,0.986051807238229
"hsa04920",0.00534875332727613,68,1.36892891687797,0.0076254304973753,0.0953178812171912,92751,30,30,1.03282959874935,0.378752454169583,0.977342955961291
"hsa05200",0.0508200052049328,524,1.11025090599335,0.00816039689765025,0.0968806677680012,136080,238,242,1.01575803513366,0.110996432999761,0.977342955961291
"hsa05171",0.0148446167754071,167,1.21135667049603,0.00834351357765895,0.0968806677680012,110271,92,93,1.02172390413914,0.199214859630951,0.977342955961291
"hsa05223",0.00640086885852171,79,1.32896246910059,0.00858085914516582,0.0968806677680012,114369,29,29,1.03282959874935,0.391233900285803,0.977342955961291
"hsa04360",0.0233101945914356,252,1.16407026629931,0.00915024974080303,0.100080856540033,175767,112,113,1.02368951380466,0.12058743089756,0.977342955961291
"hsa05014",0.0235391945138182,253,1.15732005222452,0.0114440442515235,0.116457277342844,126786,133,136,1.01004659289458,0.367205295864748,0.977342955961291
"hsa00592",0.000670877031179374,13,2.08653168259744,0.0117105260613755,0.116457277342844,40069,10,10,1.03282959874935,0.723822788479134,0.977342955961291
"hsa05132",0.0180681652155253,198,1.17998284006517,0.0118013594659515,0.116457277342844,94066,104,107,1.00387175953208,0.556147589366832,0.977342955961291
"hsa04930",0.00519836957762427,65,1.34638963215309,0.0122682270109431,0.116457277342844,121883,26,26,1.03282959874935,0.431190001993259,0.977342955961291
"hsa04810",0.0221790348502212,239,1.16032543429642,0.0123111978905293,0.116457277342844,113378,104,106,1.01334224782955,0.339591199683227,0.977342955961291
"hsa05225",0.0185047631983856,202,1.17541814864922,0.0127230335798723,0.117062853348169,119744,82,84,1.00823841782674,0.49746892186237,0.977342955961291
"hsa05235",0.00823871807983636,97,1.2677588375582,0.0131103606828726,0.117062853348169,125431,35,36,1.00413988767298,0.681923186202206,0.977342955961291
"hsa00071",0.00189620496477539,28,1.59000066680586,0.0133786118112194,0.117062853348169,65527,17,17,1.03282959874935,0.577121946988849,0.977342955961291
"hsa04015",0.0221554928021258,238,1.15669829938901,0.0140508924583709,0.119946642937312,151405,111,113,1.01454942885998,0.297618324167909,0.977342955961291
"hsa05161",0.012890056067171,144,1.2029075207449,0.0163069621580179,0.130077903727494,113381,67,68,1.01764092817951,0.358170160449406,0.977342955961291
"hsa00061",0.00159144245124941,24,1.62384606638361,0.0166299230668338,0.130077903727494,103875,11,11,1.03282959874935,0.700786246082475,0.977342955961291
"hsa05033",0.00326506805221369,43,1.41808013249985,0.0171700108803099,0.130077903727494,216239,18,18,1.03282959874935,0.558738085196258,0.977342955961291
"hsa04750",0.0100948302233099,115,1.22665766092061,0.0179480815147324,0.130077903727494,128479,59,59,1.03282959874935,0.147643936568619,0.977342955961291
"hsa04110",0.0118704713660209,133,1.20644695233947,0.0186589417254058,0.130077903727494,123004,58,59,1.01532401232987,0.435799626894457,0.977342955961291
"hsa00010",0.00401655876323491,51,1.36722693428087,0.0187768861848325,0.130077903727494,121546,29,29,1.03282959874935,0.391233900285803,0.977342955961291
"hsa03022",0.00302108682649767,40,1.42567764116706,0.0193655674855604,0.130077903727494,192797,14,14,1.03282959874935,0.635967175477459,0.977342955961291
"hsa05133",0.00458727508069929,57,1.33796461021591,0.0198797463530052,0.130077903727494,131887,25,25,1.03282959874935,0.445392051464218,0.977342955961291
"hsa04330",0.0103456600448355,117,1.21773338496978,0.0205400164765588,0.130077903727494,137252,32,32,1.03282959874935,0.354966993016201,0.977342955961291
"hsa05100",0.00831690621532898,96,1.24289369023985,0.021169986183726,0.130077903727494,133237,40,41,1.00763863292619,0.623703691814531,0.977342955961291
"hsa04066",0.0115475886094154,129,1.20288182045098,0.0218146585730494,0.130077903727494,137292,54,56,0.995942827365443,0.737191637106147,0.977342955961291
"hsa04150",0.0170240397127242,184,1.16380375403947,0.0227719969103302,0.130077903727494,128196,74,75,1.01905853743269,0.305617037709542,0.977342955961291
"hsa05135",0.0164267850864978,178,1.16678807414699,0.0228557577530166,0.130077903727494,110218,67,67,1.03282959874935,0.113783618156911,0.977342955961291
"hsa04961",0.00243310634043,33,1.46041876259947,0.0233319486328849,0.130077903727494,147013,21,21,1.03282959874935,0.507013460413799,0.977342955961291
"hsa03010",0.00971858549102149,110,1.2187487415209,0.0235002654010708,0.130077903727494,79561,61,62,1.01617105683404,0.408649428866441,0.977342955961291
"hsa04925",0.011300325764874,126,1.20061602603912,0.0242469366836686,0.130077903727494,165704,58,58,1.03282959874935,0.152527931319904,0.977342955961291
"hsa05226",0.0166637750373248,180,1.16311770226831,0.0244644199681474,0.130077903727494,156754,73,75,1.00528747611603,0.571843469544635,0.977342955961291
"hsa04217",0.00994815612972154,112,1.21227174928862,0.0254740384616952,0.130077903727494,109337,59,62,0.982853973003412,0.8661003048064,0.994676211542891
"hsa04520",0.0118179654648142,131,1.19358439888304,0.0256039363550218,0.130077903727494,143744,52,55,0.976493438817566,0.903315880228609,0.999919237169181
"hsa04370",0.00551083676143601,66,1.28958788103815,0.0258360549381451,0.130077903727494,93283,27,28,0.995942827365443,0.776919566482349,0.977342955961291
"hsa04151",0.03138055135762,325,1.11518609466908,0.0260115574345925,0.130077903727494,152903,151,155,1.00617593168485,0.449154397052486,0.977342955961291
"hsa01212",0.00401099427913963,50,1.34227813629728,0.0261885737643157,0.130077903727494,70924,28,28,1.03282959874935,0.404124975452124,0.977342955961291
"hsa03460",0.00457215109828648,56,1.3188396855578,0.0262601457975048,0.130077903727494,155551,24,24,1.03282959874935,0.460059954884105,0.977342955961291
"hsa05230",0.0074327239604973,86,1.24587652137009,0.0263392891659731,0.130077903727494,158807,33,34,1.00245225760966,0.705600990479422,0.977342955961291
"hsa04510",0.0208338564899577,221,1.14221316073075,0.0266896677887027,0.130077903727494,128577,102,105,1.00332018164222,0.570413351946851,0.977342955961291
"hsa04210",0.0119436657337357,132,1.1900380436559,0.0271125487590806,0.130077903727494,100513,60,60,1.03282959874935,0.142915728153917,0.977342955961291
"hsa05160",0.0111555064993174,124,1.19689746194486,0.0271830711788756,0.130077903727494,95856,60,61,1.01589796598297,0.417558052720164,0.977342955961291
"hsa05131",0.0217575608497738,230,1.13826185891097,0.0273192727227014,0.130077903727494,132871,104,108,0.994576650647521,0.740577709886594,0.977342955961291
"hsa05017",0.0116517443373527,129,1.192129178786,0.0273657234105901,0.130077903727494,145756,57,57,1.03282959874935,0.157572824178891,0.977342955961291
"hsa04620",0.00735082616894116,85,1.24510887121315,0.027402208679152,0.130077903727494,81046,46,47,1.01085450090362,0.5567126014927,0.977342955961291
"hsa04670",0.0119496582550691,132,1.18944126270937,0.0274566875132798,0.130077903727494,130000,58,59,1.01532401232987,0.435799626894457,0.977342955961291
"hsa04137",0.00900447669879419,102,1.21973713918368,0.0276047592561244,0.130077903727494,124484,47,47,1.03282959874935,0.218122478658175,0.977342955961291
"hsa05216",0.00347609041059615,44,1.36296959370679,0.028370326096062,0.130077903727494,116632,13,14,0.959056055981538,0.928762711831951,0.999919237169181
"hsa04657",0.00431618482990371,53,1.32220985572855,0.0286888273488772,0.130077903727494,76305,37,38,1.00564987246647,0.658434395163687,0.977342955961291
"hsa01523",0.00084052245654566,14,1.79350779679595,0.028717709898176,0.130077903727494,36508,6,7,0.885282513213727,0.980984155057868,0.999919237169181
"hsa05214",0.00766243727827671,88,1.23663146921937,0.0290021343443061,0.130077903727494,132879,33,35,0.9738107645351,0.901255281635246,0.999919237169181
"hsa04912",0.00834529935212284,95,1.22576224377533,0.0292201152729878,0.130077903727494,122985,50,50,1.03282959874935,0.197858095479658,0.977342955961291
"hsa04726",0.00962784159654466,108,1.20786771603006,0.0300863786919541,0.130077903727494,124781,47,48,1.01131231544207,0.545928929264371,0.977342955961291
"hsa05217",0.0106126126023294,118,1.19724835917116,0.0302083649876637,0.130077903727494,163425,42,42,1.03282959874935,0.256591163533376,0.977342955961291
"hsa04024",0.0253777571305297,265,1.12439056215478,0.0303510792518151,0.130077903727494,146729,114,115,1.0238484718037,0.114538846461534,0.977342955961291
"hsa04114",0.0122970818133255,135,1.18210556130844,0.0304753945875842,0.130077903727494,127697,59,59,1.03282959874935,0.147643936568619,0.977342955961291
"hsa05020",0.0193118987503595,205,1.1430189739872,0.0309419626357981,0.130478155693124,125012,95,98,1.00121236613457,0.620962373713715,0.977342955961291
"hsa04662",0.00683004752925492,79,1.24545465403783,0.032122186974717,0.133842445727988,110594,28,30,0.963974292166059,0.931384474450052,0.999919237169181
"hsa05212",0.00656338032991969,76,1.24683956676454,0.0342043655594406,0.138657031382122,94158,33,34,1.00245225760966,0.705600990479422,0.977342955961291
"hsa04530",0.0166545008971661,178,1.15083466348503,0.0342499919518309,0.138657031382122,119118,93,93,1.03282959874935,0.0487055285442016,0.977342955961291
"hsa00280",0.00224491263474612,30,1.43895219146774,0.0344661763721273,0.138657031382122,116898,20,20,1.03282959874935,0.523701991242467,0.977342955961291
"hsa05146",0.00590120672258165,69,1.25902054388958,0.0353652354536611,0.140657186463425,122310,38,39,1.00634678852501,0.646782774474551,0.977342955961291
"hsa04340",0.00629628509334636,73,1.24842664761676,0.0363836885941338,0.142330246986048,215826,32,32,1.03282959874935,0.354966993016201,0.977342955961291
"hsa00564",0.00687884377439812,79,1.23661981018814,0.0366181317165793,0.142330246986048,98211,43,46,0.965471146657,0.942566164001724,0.999919237169181
"hsa04020",0.0263408409162508,273,1.11598296682323,0.037196613170509,0.142330246986048,161423,130,131,1.02494540333905,0.0753558373824224,0.977342955961291
"hsa04981",0.00129252977997745,19,1.58284211587194,0.037412522064904,0.142330246986048,88418,10,11,0.938935998863044,0.954188212445718,0.999919237169181
"hsa04916",0.0116229231633207,127,1.17655682818586,0.0388244108414657,0.146113374134548,130077,63,63,1.03282959874935,0.129617099376757,0.977342955961291
"hsa04977",0.00254696424576414,33,1.39513311067216,0.0396203483841313,0.147522573770702,116811,10,10,1.03282959874935,0.723822788479134,0.977342955961291
"hsa00130",0.000411914502129913,8,2.09125724794397,0.0413798143957871,0.151308507788229,61648,8,8,1.03282959874935,0.772182952016524,0.977342955961291
"hsa05415",0.0135532284280646,146,1.15993766846712,0.0415017621361998,0.151308507788229,137502,75,77,1.00600285592469,0.554939817635586,0.977342955961291
"hsa04921",0.0160061671605265,170,1.14363154925259,0.0446049004955156,0.160595231295115,129477,78,78,1.03282959874935,0.0794925961926322,0.977342955961291
"hsa05120",0.00531151408756158,62,1.25689183871412,0.0449666647626323,0.160595231295115,98928,34,35,1.00332018164222,0.693743154651796,0.977342955961291
"hsa04936",0.00904300005022304,100,1.19072650576173,0.0474426717942475,0.167726617454411,80207,60,61,1.01589796598297,0.417558052720164,0.977342955961291
"hsa04934",0.0177701086187295,187,1.13312045267438,0.0480022228216348,0.167947331533908,138784,87,87,1.03282959874935,0.0592553090956784,0.977342955961291
"hsa05130",0.0177826643777138,187,1.13232039330185,0.0489427549902249,0.167947331533908,89387,91,92,1.02160319006729,0.204141903631852,0.977342955961291
"hsa04714",0.0174808981248545,184,1.13338806650991,0.0491062487838079,0.167947331533908,134413,82,88,0.96240939883462,0.978453701547095,0.999919237169181
"hsa04723",0.0140583123690206,150,1.14890104538437,0.0499024320345982,0.167947331533908,169948,64,66,1.00153173212058,0.649721034868352,0.977342955961291
"hsa05220",0.00660932299347557,75,1.22188080330254,0.0499043499415042,0.167947331533908,108056,32,33,1.00153173212058,0.717486475245513,0.977342955961291
"hsa04611",0.0112639425996357,122,1.16625617562533,0.0510139065916808,0.170046355305603,129431,64,64,1.03282959874935,0.125464078519422,0.977342955961291
"hsa04668",0.00987667391095912,108,1.17743677115977,0.0517459554026247,0.17085928670678,130887,54,56,0.995942827365443,0.737191637106147,0.977342955961291
"hsa04390",0.0222099962104437,230,1.11507455577982,0.0527807292707814,0.172647245278257,156405,99,99,1.03282959874935,0.040027913035926,0.977342955961291
"hsa03440",0.00206841861357026,27,1.40556159222585,0.0537163917290446,0.173912628716391,61493,17,17,1.03282959874935,0.577121946988849,0.977342955961291
"hsa04974",0.00762976376910188,85,1.19958876194299,0.0550359887874881,0.173912628716391,95968,50,51,1.01257803798956,0.514310494952075,0.977342955961291
"hsa04929",0.00441976984152349,52,1.26685889163872,0.0550753676385285,0.173912628716391,160810,27,28,0.995942827365443,0.776919566482349,0.977342955961291
"hsa05142",0.00704106988763737,79,1.20812811381772,0.0551551479643411,0.173912628716391,124230,41,41,1.03282959874935,0.265060184255106,0.977342955961291
"hsa04972",0.00706418389849468,79,1.2041751184341,0.0582859932273261,0.182143728835394,125546,45,45,1.03282959874935,0.232767525528951,0.977342955961291
