"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-3247509",0.020309626322224,251,1.2915321872502,4.63313626901662e-05,0.027998975347018,132751,102,105,1.0097937840335,0.430478020161089,0.999999199304782
"R-HSA-4839726",0.020309626322224,251,1.2915321872502,4.63313626901662e-05,0.027998975347018,132751,102,105,1.0097937840335,0.430478020161089,0.999999199304782
"R-HSA-157118",0.0219918407484186,268,1.27352260327331,6.41467561388609e-05,0.027998975347018,161034,100,102,1.01911137373623,0.249340862523117,0.999999199304782
"R-HSA-9006936",0.0172376813905278,216,1.30950857704234,7.08386473042832e-05,0.027998975347018,141379,79,83,0.989397524044161,0.792666333728536,0.999999199304782
"R-HSA-8953854",0.0384842927762717,439,1.1921048522455,0.000138857682745019,0.0439067992839751,98710,230,237,1.00879125855915,0.315105053243732,0.999999199304782
"R-HSA-5689603",0.00606987189709244,85,1.46343300537603,0.000527969421190821,0.139119942483781,164454,28,28,1.03949360121095,0.337387219980011,0.999999199304782
"R-HSA-9843940",0.00230372614681337,38,1.72379727780973,0.00124080460282727,0.178462610908731,49604,29,29,1.03949360121095,0.324521138112583,0.999999199304782
"R-HSA-3214841",0.00438646148939563,63,1.50092735897459,0.00142705970133761,0.178462610908731,109629,27,27,1.03949360121095,0.350761547622864,0.999999199304782
"R-HSA-74160",0.134612103332802,1389,1.07832973467742,0.00144722049051382,0.178462610908731,145819,603,619,1.01262462282747,0.0562932377978828,0.999999199304782
"R-HSA-170834",0.0107260936586403,134,1.30555946890028,0.00162636081540501,0.178462610908731,122170,46,50,0.956334113114077,0.959786337305791,0.999999199304782
"R-HSA-9824446",0.0577997926965396,621,1.12279059156368,0.00183128812294742,0.178462610908731,110845,289,297,1.01149377356891,0.19718396031688,0.999999199304782
"R-HSA-3214847",0.00759275500983363,99,1.36260272457005,0.00183484392691757,0.178462610908731,146945,44,45,1.01639374340627,0.4853554439008,0.999999199304782
"R-HSA-8876198",0.00568277255089566,77,1.41600209708143,0.0021519386319333,0.178462610908731,199172,30,30,1.03949360121095,0.312144052845033,0.999999199304782
"R-HSA-8953897",0.0574573433264232,616,1.1203884319663,0.00225130114236205,0.178462610908731,120709,283,296,0.993840166022635,0.764876868823311,0.999999199304782
"R-HSA-1566948",0.00222784776484346,36,1.68869195832788,0.00227377151336605,0.178462610908731,140497,22,22,1.03949360121095,0.425985126448671,0.999999199304782
"R-HSA-9678108",0.00792098548875777,102,1.34571904749229,0.00228512888813415,0.178462610908731,124722,49,50,1.01870372918673,0.428063389532231,0.999999199304782
"R-HSA-8875878",0.00431390527826503,61,1.47772178374301,0.00235322153567719,0.178462610908731,127792,19,19,1.03949360121095,0.478626234985145,0.999999199304782
"R-HSA-2262752",0.0572533620368894,613,1.11890425525449,0.0025498785853304,0.178462610908731,121102,281,294,0.993529598436319,0.772343813975631,0.999999199304782
"R-HSA-195258",0.0262032902779993,296,1.18050907096334,0.0025785197986099,0.178462610908731,104981,140,142,1.02485284626432,0.0887341469851987,0.999999199304782
"R-HSA-419037",0.00564303938765747,76,1.40745317829316,0.00264814054400719,0.178462610908731,176303,24,24,1.03949360121095,0.394137999731713,0.999999199304782
"R-HSA-597592",0.135984027002605,1396,1.07283013882084,0.00265754514432848,0.178462610908731,142001,563,583,1.00383344336495,0.364575723096838,0.999999199304782
"R-HSA-196854",0.0125499654494233,152,1.26571085050389,0.00266468073280979,0.178462610908731,85060,80,84,0.989993905915194,0.785827072888084,0.999999199304782
"R-HSA-9842860",0.00715927815872003,93,1.35752287876624,0.00271581070798965,0.178462610908731,92342,48,48,1.03949360121095,0.154874681416393,0.999999199304782
"R-HSA-376176",0.0145230691543082,173,1.24486180826282,0.00276028731034383,0.178462610908731,115775,77,78,1.02616676016979,0.197352268023402,0.999999199304782
"R-HSA-2129379",0.00178201243820762,30,1.75931647286645,0.00282198941980916,0.178462610908731,156264,18,18,1.03949360121095,0.49757584588882,0.999999199304782
"R-HSA-8856688",0.0100968745016744,125,1.29376828314201,0.00302077905224085,0.182330056680496,132476,56,57,1.02125687136515,0.356350994153746,0.999999199304782
"R-HSA-392499",0.17270903098921,1755,1.06192909216696,0.00311379603439177,0.182330056680496,135491,757,784,1.00369471443456,0.332994098409757,0.999999199304782
"R-HSA-9772572",0.00378461702014564,54,1.49109483925739,0.00334825025218755,0.189056558882447,130157,21,21,1.03949360121095,0.442857570733902,0.999999199304782
