"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-3247509",0.0164505195379644,112,1.36657880627958,0.00085132602160809,0.348169362614621,114299,67,68,0.994777598225976,0.863385784870979,0.999991973746917
"R-HSA-4839726",0.0164505195379644,112,1.36657880627958,0.00085132602160809,0.348169362614621,114299,67,68,0.994777598225976,0.863385784870979,0.999991973746917
"R-HSA-9842860",0.00559274523226265,46,1.65093156926273,0.000976360263528431,0.348169362614621,78144,33,33,1.00962502506517,0.728242843676473,0.999991973746917
"R-HSA-157118",0.021084285685327,138,1.31376131976977,0.00106149195919092,0.348169362614621,161037,69,69,1.00962502506517,0.514028310329093,0.999991973746917
"R-HSA-189445",0.000627624523044345,9,2.87831871756959,0.00492913825698182,0.610572542772351,105011,10,10,1.00962502506517,0.908576556284554,0.999991973746917
"R-HSA-8953854",0.0371816202432428,221,1.19305438040204,0.00498551732589925,0.610572542772351,94479,150,151,1.00293876662103,0.57530712770899,0.999991973746917
"R-HSA-3214847",0.0058009138628873,44,1.52248329639226,0.0052006277380563,0.610572542772351,123501,29,29,1.00962502506517,0.756865237458514,0.999991973746917
"R-HSA-9843940",0.00211209296015793,20,1.90069855021822,0.00586844494594296,0.610572542772351,38459,18,18,1.00962502506517,0.841377243580836,0.999991973746917
"R-HSA-201722",0.00367322774687734,30,1.63934241378486,0.00727443273467543,0.610572542772351,93131,21,21,1.00962502506517,0.817453277327514,0.999991973746917
"R-HSA-9707564",0.00369583782286279,30,1.62931338699354,0.00787469473093272,0.610572542772351,117909,14,14,1.00962502506517,0.87434498168555,0.999991973746917
"R-HSA-1369062",0.000244552660946058,5,4.10387277301367,0.0082246827999084,0.610572542772351,57269,5,5,1.00962502506517,0.95321564026816,0.999991973746917
"R-HSA-9725554",0.00136751976822333,14,2.05490003465154,0.0103125126427203,0.610572542772351,139108,9,9,1.00962502506517,0.917337439109315,0.999991973746917
"R-HSA-9734767",0.00136751976822333,14,2.05490003465154,0.0103125126427203,0.610572542772351,139108,9,9,1.00962502506517,0.917337439109315,0.999991973746917
"R-HSA-9007101",0.006809531160583,48,1.41488226403695,0.0128155661796048,0.610572542772351,145219,28,28,1.00962502506517,0.764191216768457,0.999991973746917
"R-HSA-8876198",0.00450200398041292,34,1.51589569358424,0.0133809093309767,0.610572542772351,158167,20,20,1.00962502506517,0.82535296673998,0.999991973746917
"R-HSA-3371453",0.00421846842983678,32,1.52261972573913,0.0151240516689026,0.610572542772351,196153,16,16,1.00962502506517,0.85770602818685,0.999991973746917
"R-HSA-8953897",0.0578703595417899,325,1.12725834019554,0.0152468360461586,0.610572542772351,127781,190,193,0.993931371825814,0.889524187241756,0.999991973746917
"R-HSA-2262752",0.0577357386296007,324,1.12641016441226,0.0159120143328479,0.610572542772351,128045,189,192,0.993849634048526,0.89107965246264,0.999991973746917
"R-HSA-5689603",0.00589655188544644,42,1.42970831446997,0.0161623202639605,0.610572542772351,150107,22,22,1.00962502506517,0.809627637656249,0.999991973746917
"R-HSA-3371556",0.00794393324881843,54,1.36444002413005,0.0164364749278841,0.610572542772351,215538,24,25,0.969240024062563,0.976776828724987,0.999991973746917
"R-HSA-201681",0.015357179426806,96,1.25474666900075,0.0167964073530591,0.610572542772351,100493,58,58,1.00962502506517,0.571914213981987,0.999991973746917
"R-HSA-9820952",0.0069371351526388,48,1.38885644484682,0.0171651105736925,0.610572542772351,103318,29,29,1.00962502506517,0.756865237458514,0.999991973746917
"R-HSA-216083",0.00713490834602876,49,1.37849107372978,0.0182202730734408,0.610572542772351,124961,30,30,1.00962502506517,0.749608039816083,0.999991973746917
"R-HSA-1989781",0.00974442297786655,64,1.31831782308028,0.018687532553321,0.610572542772351,116826,36,36,1.00962502506517,0.707474263219177,0.999991973746917
"R-HSA-400206",0.00974442297786655,64,1.31831782308028,0.018687532553321,0.610572542772351,116826,36,36,1.00962502506517,0.707474263219177,0.999991973746917
