"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-157118",0.021084285685327,120,1.33476606882556,0.00125766534679794,0.58073764788386,160014,63,69,1.02822051287038,0.3325691070357,0.996540722550816
"R-HSA-9842860",0.00559274523226265,40,1.67732708174951,0.00150549338378392,0.58073764788386,77649,30,33,1.023769341819,0.485797983070447,0.996540722550816
"R-HSA-189445",0.000627624523044345,9,3.36298870800462,0.00179663987824563,0.58073764788386,105011,10,10,1.12614627600089,0.304482025370024,0.996540722550816
"R-HSA-9725554",0.00136751976822333,14,2.40091744198733,0.0028120415924352,0.58073764788386,139108,9,9,1.12614627600089,0.342968771741313,0.996540722550816
"R-HSA-9734767",0.00136751976822333,14,2.40091744198733,0.0028120415924352,0.58073764788386,139108,9,9,1.12614627600089,0.342968771741313,0.996540722550816
"R-HSA-3371453",0.00421846842983678,31,1.72341430935303,0.00323307936355444,0.58073764788386,197870,16,16,1.12614627600089,0.14899598740724,0.996540722550816
"R-HSA-1369062",0.000244552660946058,5,4.79490951105865,0.00435226150877788,0.58073764788386,57269,5,5,1.12614627600089,0.551972064276943,0.996540722550816
"R-HSA-8953897",0.0578703595417899,288,1.16712967430076,0.00443776134835328,0.58073764788386,126421,172,193,1.00361222524432,0.500106776245745,0.996540722550816
"R-HSA-597592",0.132035047177093,622,1.10480075844568,0.00446470981137814,0.58073764788386,145775,346,390,0.999093875631563,0.561172558853587,0.996540722550816
"R-HSA-2262752",0.0577357386296007,287,1.16578905726832,0.00475901049355953,0.58073764788386,126715,171,192,1.0029740270633,0.510532235303589,0.996540722550816
"R-HSA-8953854",0.0371816202432428,191,1.20472482694655,0.00584255567841574,0.58073764788386,94033,130,151,0.969529906490836,0.883060898521518,0.996540722550816
"R-HSA-9820952",0.0069371351526388,44,1.48749434979862,0.00758976939452727,0.58073764788386,102113,26,29,1.00964838538011,0.588527077922948,0.996540722550816
"R-HSA-8876198",0.00450200398041292,31,1.6148739288471,0.00786262196332765,0.58073764788386,170811,18,20,1.01353164840081,0.608209074003107,0.996540722550816
"R-HSA-201681",0.015357179426806,86,1.31331769813827,0.00818101286223394,0.58073764788386,97062,54,58,1.04848101558704,0.205964729395359,0.996540722550816
"R-HSA-392499",0.171676227870063,792,1.08192666209264,0.00832022976347857,0.58073764788386,134265,470,524,1.0100930338176,0.272719782246809,0.996540722550816
"R-HSA-9007101",0.006809531160583,43,1.48092835314836,0.0088149960856434,0.58073764788386,158078,24,28,0.965268236572195,0.801807394747357,0.996540722550816
"R-HSA-8878159",0.0117543807671937,68,1.35672541861912,0.00895287528674127,0.58073764788386,179207,34,36,1.06358259400084,0.215140080116891,0.996540722550816
