"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1640170",0.0397472525716477,461,1.24887325546587,1.38964341467318e-06,0.00221370195957438,112517,244,248,1.01617105683404,0.0991115593046352,0.999934884244794
"R-HSA-162582",0.247205202193377,2480,1.08023595759913,5.85516075735093e-06,0.00331942249841322,141429,1185,1205,1.01568719877011,0.000332367903974173,0.342699084793025
"R-HSA-69278",0.0314474678458427,368,1.26004684534273,7.60133604593705e-06,0.00331942249841322,118289,191,193,1.02212670135298,0.0515467640535763,0.999934884244794
"R-HSA-8953854",0.0372212621505504,427,1.23526840598607,9.04864173534303e-06,0.00331942249841322,104783,241,248,1.00367715039755,0.465444971714723,0.999934884244794
"R-HSA-1430728",0.152542484122672,1566,1.10541536702262,1.11796601454106e-05,0.00331942249841322,112319,855,874,1.01037678138523,0.0402123104932515,0.999934884244794
"R-HSA-68886",0.0227564570844158,275,1.3012256029803,1.25025329507089e-05,0.00331942249841322,130794,139,140,1.02545224447257,0.0592506687126412,0.999934884244794
"R-HSA-2990846",0.0181360804573036,222,1.31805670615522,3.90821883602399e-05,0.00836024916391381,125373,88,88,1.03282959874935,0.0573509170676065,0.999934884244794
"R-HSA-3108232",0.01778352045219,218,1.31996771613197,4.19849298878283e-05,0.00836024916391381,126235,86,86,1.03282959874935,0.061222679041938,0.999934884244794
"R-HSA-392499",0.15392033599211,1567,1.09621956308728,4.92111330248068e-05,0.00871037054539081,133491,807,824,1.01152122110525,0.0289405101049904,0.999934884244794
"R-HSA-69620",0.0149424946238523,186,1.34033818500718,6.80111870735578e-05,0.0108341821008178,108983,102,102,1.03282959874935,0.0362852729317471,0.999934884244794
"R-HSA-3700989",0.0276594809677522,319,1.24185591790495,8.13019446317398e-05,0.0111180795210855,146621,131,133,1.0172983265877,0.199519726195583,0.999934884244794
"R-HSA-8953897",0.0526114837254535,572,1.17068494535233,8.37520114582713e-05,0.0111180795210855,118993,294,300,1.01217300677436,0.152869981115232,0.999934884244794
"R-HSA-5653656",0.053999893846765,584,1.16451341387171,0.000116206703131505,0.01337161065286,137297,284,291,1.00798490049765,0.286808748245891,0.999934884244794
"R-HSA-2262752",0.052304581025737,567,1.16726075919479,0.000117515724507244,0.01337161065286,119717,291,297,1.01196435433017,0.160161089066569,0.999934884244794
"R-HSA-597592",0.118152117585824,1212,1.10455072380936,0.000145535092145432,0.0154558267858449,142639,604,617,1.01106819715495,0.0662208084169171,0.999934884244794
"R-HSA-2454202",0.0104065840117248,134,1.38650410015683,0.000172747353669234,0.0165904132180929,147450,52,53,1.01334224782955,0.493870889185248,0.999934884244794
"R-HSA-5621481",0.00977508640645046,127,1.39896764516174,0.000177047724235768,0.0165904132180929,112939,53,54,1.01370312469843,0.48384997107073,0.999934884244794
"R-HSA-3899300",0.00391825287755167,60,1.64885833373778,0.000200541738150539,0.0177479438263227,98580,23,23,1.03282959874935,0.475208930270332,0.999934884244794
"R-HSA-199991",0.0514318130972546,554,1.1598517568102,0.000244517798014154,0.0205008869598183,138614,270,275,1.01405087877209,0.123852695140708,0.999934884244794
"R-HSA-1643685",0.1589688925364,1600,1.08375817981517,0.000269839279360085,0.0213697722808842,125174,760,776,1.01153414310503,0.0337517453947143,0.999934884244794
"R-HSA-2555396",0.0140884176547669,172,1.31459138976835,0.000300469483148991,0.0213697722808842,127542,86,86,1.03282959874935,0.061222679041938,0.999934884244794
"R-HSA-68882",0.0140884176547669,172,1.31459138976835,0.000300469483148991,0.0213697722808842,127542,86,86,1.03282959874935,0.061222679041938,0.999934884244794
