"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1640170",0.0397472525716477,461,1.25008470828967,1.26120277843533e-06,0.00200909602604749,112517,244,248,1.01696597552256,0.0885033177013488,0.999920658355114
"R-HSA-162582",0.247205202193377,2479,1.08084782452137,5.07435316476901e-06,0.00310622265789628,141479,1184,1205,1.01562394845467,0.000419817451561055,0.334384600168381
"R-HSA-69278",0.0314474678458427,368,1.26126913695818,7.01788585499852e-06,0.00310622265789628,118289,191,193,1.02292627895508,0.0461173728180134,0.999920658355114
"R-HSA-8953854",0.0372212621505504,427,1.23646666160731,8.30162854792427e-06,0.00310622265789628,104783,241,248,1.00446229549565,0.438365033589192,0.999920658355114
"R-HSA-1430728",0.152542484122672,1565,1.10578109105024,1.05743542111458e-05,0.00310622265789628,112386,855,874,1.01116716739414,0.0304540058118328,0.999920658355114
"R-HSA-68886",0.0227564570844158,275,1.30248783949968,1.16995203687242e-05,0.00310622265789628,130794,139,140,1.02625442354256,0.054129853897892,0.999920658355114
"R-HSA-2990846",0.0181360804573036,222,1.31933526946147,3.69592293811838e-05,0.00703300036323495,125373,88,88,1.03363754889179,0.0535161246669009,0.999920658355114
"R-HSA-392499",0.15392033599211,1568,1.09798318061074,3.69741860148931e-05,0.00703300036323495,133416,808,824,1.01356691687447,0.0121145649736751,0.999920658355114
"R-HSA-3108232",0.01778352045219,218,1.32124813318793,3.9734465329011e-05,0.00703300036323495,126235,86,86,1.03363754889179,0.057219435410749,0.999920658355114
"R-HSA-69620",0.0149424946238523,186,1.34163836216444,6.474637260101e-05,0.0103140971553409,108983,102,102,1.03363754889179,0.0334858222639904,0.999920658355114
"R-HSA-3700989",0.0276594809677522,319,1.24306056365416,7.61222571034059e-05,0.0110238868696114,146621,131,133,1.01809412710394,0.186702627256043,0.999920658355114
"R-HSA-8953897",0.0526114837254535,571,1.16977191532024,9.12781950630492e-05,0.0121171803946198,119196,293,300,1.00951933941764,0.232812843598617,0.999920658355114
"R-HSA-5653656",0.053999893846765,584,1.16564303455773,0.000106163869294296,0.0127933231806911,137297,284,291,1.00877341541329,0.262700049303048,0.999920658355114
"R-HSA-597592",0.118152117585824,1213,1.10653440800884,0.000112433474281026,0.0127933231806911,142535,605,617,1.01353438748708,0.0302829163158718,0.999920658355114
"R-HSA-2262752",0.052304581025737,566,1.16633238697893,0.000127975283616855,0.01359097512011,119923,290,297,1.00927572114013,0.242496542360003,0.999920658355114
"R-HSA-2454202",0.0104065840117248,134,1.38784905994358,0.000166154778072691,0.0159766214512227,147450,52,53,1.01413495362968,0.481178417620308,0.999920658355114
"R-HSA-5621481",0.00977508640645046,127,1.40032469504388,0.000170497529611291,0.0159766214512227,112939,53,54,1.0144961128012,0.47109360534168,0.999920658355114
"R-HSA-3899300",0.00391825287755167,60,1.65045778674529,0.000195722040560731,0.0173214005896247,98580,23,23,1.03363754889179,0.466726569967699,0.999920658355114
"R-HSA-199991",0.0514318130972546,554,1.16097685551804,0.000224841127999253,0.0184152940246655,138614,270,275,1.01484413891194,0.110547629267695,0.999920658355114
"R-HSA-1643685",0.1589688925364,1600,1.08480946496481,0.000231202687064225,0.0184152940246655,125171,759,776,1.01099342733101,0.0439011433658482,0.999920658355114
"R-HSA-2555396",0.0140884176547669,172,1.31586659159072,0.000287735865630356,0.0205005637167157,127542,86,86,1.03363754889179,0.057219435410749,0.999920658355114
"R-HSA-68882",0.0140884176547669,172,1.31586659159072,0.000287735865630356,0.0205005637167157,127542,86,86,1.03363754889179,0.057219435410749,0.999920658355114
"R-HSA-5633007",0.012972667254124,160,1.32934080463398,0.000295990562137138,0.0205005637167157,159701,63,63,1.03363754889179,0.123361730900033,0.999920658355114
"R-HSA-3371556",0.00686785748528693,93,1.45951077586743,0.000327471322457584,0.0217359090281222,170475,46,46,1.03363754889179,0.21734248543353,0.999920658355114
"R-HSA-157118",0.0201685439428736,235,1.2558534078032,0.000363708234738302,0.0231754887175246,155535,85,86,1.0216185076256,0.224600428541098,0.999920658355114
"R-HSA-3108214",0.0047496438730179,68,1.54309795943241,0.000477758215768564,0.0292718783738201,85265,39,39,1.03363754889179,0.27432617902183,0.999920658355114
"R-HSA-70326",0.00449952744688914,65,1.55701244243295,0.000500407973522909,0.0295240704378517,103881,36,36,1.03363754889179,0.303094180528915,0.999920658355114
