"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1430728",0.152542484122672,831,1.14206765072665,2.33130795581626e-05,0.0274988519641503,114175,569,874,1.02043571458948,0.208385286624155,0.973954801532186
"R-HSA-195258",0.0246883318190327,162,1.37564029841665,5.20795443477162e-05,0.0274988519641503,111529,99,139,1.11636242607338,0.0385531544102689,0.858854432833024
"R-HSA-5607764",0.00633937417531492,54,1.78578427521495,5.82191643559993e-05,0.0274988519641503,135050,25,35,1.11958425125685,0.224410818628547,0.973954801532186
"R-HSA-5621481",0.00977508640645046,74,1.58705777006168,0.000121216799782609,0.0429410513229891,108225,39,54,1.13202407627081,0.123952127829895,0.973954801532186
"R-HSA-68886",0.0227564570844158,147,1.354235852645,0.000219391259044466,0.0602577783150818,135758,96,140,1.07480088120658,0.135971126407697,0.973954801532186
"R-HSA-376176",0.0143730624181022,99,1.44400103314047,0.000292904477309452,0.0602577783150818,146577,61,86,1.1117731983411,0.100587203533989,0.925939180894841
"R-HSA-5625740",0.00476348374371641,41,1.80443312145427,0.000340903163520645,0.0602577783150818,78433,27,34,1.24471425580909,0.0387908847574548,0.858854432833024
"R-HSA-196854",0.0128812099642503,90,1.46476337088416,0.000345707468218936,0.0602577783150818,84990,57,77,1.16029640584801,0.0370732730658017,0.858854432833024
"R-HSA-168255",0.00836384763244043,63,1.57912335927593,0.000415133219208164,0.0602577783150818,80903,44,63,1.09470460122892,0.192935646900825,0.973954801532186
"R-HSA-8953854",0.0372212621505504,223,1.25601662619394,0.000444822425684555,0.0602577783150818,94110,154,248,0.973315986173293,0.738026254761097,0.979039577073048
"R-HSA-1640170",0.0397472525716477,236,1.24476253789216,0.000494971462618787,0.0602577783150818,119063,159,248,1.00491715455554,0.487429115658976,0.979039577073048
"R-HSA-5663220",0.010631160882647,76,1.49869936331492,0.000510298757784744,0.0602577783150818,122577,46,62,1.16292299646679,0.0548233194310657,0.893002347938926
"R-HSA-2454202",0.0104065840117248,74,1.49075112610467,0.000688722894921057,0.0701500096719012,128885,39,53,1.15338302110611,0.0873644424308934,0.925939180894841
