"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-3371511",0.00110833108851582,7,5.84255528742411,0.000245469626791062,0.0637358982714118,142411,4,8,2.58746736292428,0.0501982913813359,0.636237214487526
"R-HSA-629594",0.000581845285654931,5,7.94944466347482,0.000484255812783552,0.0637358982714118,97735,3,6,2.58746736292428,0.0906720094788356,0.704060058892618
"R-HSA-2990846",0.0181360804573036,36,1.83625661375555,0.000502022903849153,0.0637358982714118,135680,22,88,1.29373368146214,0.113176688224893,0.708701796173896
"R-HSA-3108232",0.01778352045219,35,1.82064222852657,0.000690274283223546,0.0637358982714118,136844,21,86,1.2636468516607,0.14374309840121,0.708701796173896
"R-HSA-9755088",0.000637204768448976,5,7.25880773346402,0.000726472573012837,0.0637358982714118,110967,4,5,4.13994778067885,0.00587774950479591,0.575422915344185
"R-HSA-181431",0.000643482647941084,5,7.18799009703998,0.000758760693707283,0.0637358982714118,97735,3,7,2.21782916822081,0.136512387113404,0.708701796173896
"R-HSA-622327",0.000643482647941084,5,7.18799009703998,0.000758760693707283,0.0637358982714118,97735,3,7,2.21782916822081,0.136512387113404,0.708701796173896
"R-HSA-8941326",0.0067270332339526,16,2.20024334182746,0.00334297482337753,0.225762901464294,197523,7,19,1.90655489899684,0.0574169597649934,0.661983771408159
"R-HSA-69190",0.00274043707738457,9,3.03806443524603,0.0034555546142494,0.225762901464294,45115,5,12,2.1562228024369,0.0637671207110339,0.681728490510689
"R-HSA-3371571",0.00192131648274382,7,3.37033784885715,0.00548035929437529,0.246887190967204,165483,5,13,1.99035950994176,0.0876768594515478,0.704060058892618
"R-HSA-4641263",0.00148272099277245,6,3.74339899972867,0.0060455645492794,0.246887190967204,69698,6,12,2.58746736292428,0.0163682809877826,0.575422915344185
"R-HSA-5663202",0.0490109771576501,72,1.35898117600083,0.00616161004384908,0.246887190967204,119026,50,201,1.28729719548472,0.0295679571819867,0.575422915344185
"R-HSA-5668914",0.0189671860946111,33,1.60947909692252,0.00621433727864196,0.246887190967204,207534,25,103,1.25605211792441,0.125467302040066,0.708701796173896
"R-HSA-176187",0.00196968469064893,7,3.28757475354657,0.00624159154443338,0.246887190967204,53457,6,13,2.38843141193011,0.0255115387262117,0.575422915344185
"R-HSA-3371568",0.00106067627600754,5,4.36075266850287,0.00640613929387168,0.246887190967204,177310,3,7,2.21782916822081,0.136512387113404,0.708701796173896
"R-HSA-69239",0.00600693192039192,14,2.15600434539372,0.00686976290207131,0.246887190967204,48626,9,37,1.25876790628749,0.276951840995696,0.803691042827506
"R-HSA-4551638",0.00611907767677367,14,2.11649075350155,0.00799015908930167,0.246887190967204,131795,6,32,0.970300261096606,0.603732482777558,0.916072163159558
"R-HSA-69278",0.0314474678458427,49,1.44140061934954,0.00808996214373758,0.246887190967204,104959,39,193,1.04571219848753,0.405416099159162,0.836437425633639
"R-HSA-6802952",0.0101005373864845,20,1.83172309513224,0.00830580552056792,0.246887190967204,149242,6,28,1.10891458411041,0.463194622740012,0.881683777609347
"R-HSA-69306",0.00745540993411651,16,1.98528454022699,0.00853558372440222,0.246887190967204,44751,11,49,1.16172004049662,0.342583632729121,0.819204832307461
"R-HSA-6802957",0.0122515671870078,23,1.73664278372841,0.00893112364237103,0.246887190967204,134616,9,39,1.19421570596505,0.334986494065115,0.819204832307461
"R-HSA-5656169",0.00163595832401163,6,3.39276141681322,0.00951520227944869,0.246887190967204,43934,4,13,1.5922876079534,0.232060246883719,0.779722429529297
"R-HSA-2122947",0.00956991389032202,19,1.83662240071372,0.00965715202762873,0.246887190967204,112086,9,22,2.1170187514835,0.0160802323495484,0.575422915344185
"R-HSA-1640170",0.0397472525716477,59,1.37315386349343,0.0101992630540937,0.249881944825295,101241,48,248,1.00160026951908,0.521330395053275,0.913376018678846
"R-HSA-69242",0.00769182916862613,16,1.92426401559045,0.0111887258464496,0.257110045575053,57372,11,47,1.2111549358369,0.290468719177781,0.812201002997184
"R-HSA-9709570",0.00122746811978651,5,3.7682012481286,0.0115036014105208,0.257110045575053,43186,4,10,2.06997389033943,0.109135313450464,0.708701796173896
"R-HSA-6783310",0.00334354154586505,9,2.49006160313095,0.0118060735213035,0.257110045575053,69245,8,17,2.43526340039932,0.00878063388217742,0.575422915344185
"R-HSA-204005",0.00286271304840131,8,2.58515433314596,0.0139435678477262,0.26973792976807,178121,7,26,1.39325165695923,0.224257648022035,0.779610738286143
"R-HSA-1980143",0.0128406891057104,23,1.65696681615155,0.0147268867208648,0.26973792976807,101681,13,37,1.81822030908193,0.0173602935345585,0.575422915344185
"R-HSA-9725554",0.00289567191573488,8,2.55572981228088,0.0148269597122661,0.26973792976807,88674,7,14,2.58746736292428,0.00952056045750871,0.575422915344185
"R-HSA-9734767",0.00289567191573488,8,2.55572981228088,0.0148269597122661,0.26973792976807,88674,7,14,2.58746736292428,0.00952056045750871,0.575422915344185
"R-HSA-5627117",0.00130993662766011,5,3.53096997469233,0.0148271589584273,0.26973792976807,109632,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-5357905",0.00181502056861608,6,3.05804594019184,0.0151383532012692,0.26973792976807,118205,6,19,1.63418991342586,0.144023904374705,0.708701796173896
"R-HSA-3232118",0.00183670778867973,6,3.02193757517132,0.0159475967112318,0.271669124879654,250826,4,9,2.29997098926603,0.0768597565074637,0.695285181944441
"R-HSA-9687139",0.00192374202709305,6,2.88521860158573,0.0194956014232222,0.271669124879654,74000,5,14,1.84819097351734,0.115550241131441,0.708701796173896
"R-HSA-3371556",0.00686785748528693,14,1.8857367600586,0.0196268188231834,0.271669124879654,181476,11,46,1.23748439096379,0.265293106106837,0.803691042827506
"R-HSA-9675126",0.00194699871702972,6,2.85075497619672,0.0205275989285245,0.271669124879654,74000,5,15,1.72497824194952,0.147043569954448,0.708701796173896
"R-HSA-5083635",0.00558474452454765,12,1.98770642303308,0.020619295621374,0.271669124879654,265493,6,25,1.24198433420366,0.350247770805472,0.819204832307461
"R-HSA-9007101",0.0069336325408747,14,1.86784794932548,0.0210638613484233,0.271669124879654,156397,11,53,1.07404305630819,0.450136888618364,0.881683777609347
"R-HSA-430116",0.00144177209699438,5,3.20809849952007,0.0213768892405054,0.271669124879654,83679,4,6,3.44995648389904,0.0149334471719264,0.575422915344185
"R-HSA-5693579",0.00144362692502614,5,3.20397660976975,0.0214804606424521,0.271669124879654,43186,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-5693616",0.00144362692502614,5,3.20397660976975,0.0214804606424521,0.271669124879654,43186,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-9675136",0.00144362692502614,5,3.20397660976975,0.0214804606424521,0.271669124879654,43186,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-9701190",0.00144362692502614,5,3.20397660976975,0.0214804606424521,0.271669124879654,43186,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-5663084",0.0014454817530579,5,3.19986529835656,0.0215843578398504,0.271669124879654,185876,4,12,1.72497824194952,0.187634589212282,0.72584959511067
"R-HSA-597592",0.118152117585824,150,1.1744216681494,0.0218719131097262,0.271669124879654,145529,118,617,0.989695782253048,0.569312371355573,0.916072163159558
"R-HSA-8854214",0.0019765332864585,6,2.80815725151089,0.0218907192548573,0.271669124879654,55310,4,19,1.08945994228391,0.515187499034369,0.913376018678846
"R-HSA-75893",0.00254268387338316,7,2.54671283725439,0.0222226940731561,0.271669124879654,101682,7,25,1.4489817232376,0.194108529726987,0.743874334578074
"R-HSA-8878166",0.0119363891006881,21,1.62749863634673,0.0226390937399712,0.271669124879654,258408,12,43,1.44416783046937,0.111091960339296,0.708701796173896
"R-HSA-110313",0.00201091894458573,6,2.76013923692212,0.0235530785015945,0.272492160354266,43934,4,15,1.37998259355962,0.326526314359243,0.819204832307461
"R-HSA-381119",0.00442205270679335,10,2.09194562240831,0.0242589796613653,0.272492160354266,65490,9,31,1.50240040427862,0.128146185245985,0.708701796173896
"R-HSA-163841",0.00260346516119312,7,2.48725650642355,0.0248277113799483,0.272492160354266,34163,6,20,1.55248041775457,0.173979585647963,0.72584959511067
"R-HSA-5173214",0.00575210708464408,12,1.9298723753035,0.0250962075239138,0.272492160354266,265493,6,26,1.19421570596505,0.388044807640504,0.819204832307461
"R-HSA-1643685",0.1589688925364,196,1.14056024186224,0.0260508107387847,0.272492160354266,125215,160,776,1.06699685069043,0.180053551918456,0.72584959511067
"R-HSA-68962",0.00263328508878063,7,2.4590902401772,0.0261791759331653,0.272492160354266,53457,6,16,1.94060052219321,0.0707957254465292,0.695285181944441
