"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.216746967548704,3012,1.21408249080145,0,0,132678,1371,1416,1.00232797042392,0.3387286582138,0.9999944725491
"Disease variant",0.289014108826235,3795,1.1471996198075,0,0,137429,1711,1760,1.00640547330738,0.0606653348920964,0.9999944725491
"Repeat",0.362581559906893,4656,1.12189836990443,0,0,147039,2108,2171,1.00518600036135,0.0765138567967969,0.9999944725491
"Phosphoprotein",0.561308256878703,7192,1.11942372321655,0,0,136461,3691,3807,1.00368357398181,0.059718729936998,0.9999944725491
"Alternative splicing",0.669526949772933,8269,1.07902420607899,0,0,139423,4586,4730,1.00371070921945,0.0257736224670569,0.9999944725491
"3D-structure",0.528192970047937,6511,1.0769643740356,0,0,134896,3370,3473,1.00452503739388,0.0375243724824486,0.9999944725491
"Reference proteome",0.943459213682252,11077,1.02575887693769,0,0,134115,7865,8131,1.00136040338508,0.0118148710584397,0.9999944725491
"Coiled coil",0.165406756342441,2228,1.17681501194093,1.11022302462516e-16,6.21724893790088e-15,138841,905,935,1.00201129394512,0.409355369656069,0.9999944725491
"Ubl conjugation",0.198140406451963,2611,1.15127766860557,1.4432899320127e-15,6.96331881044898e-14,134200,1143,1176,1.00617739682755,0.128544498935424,0.9999944725491
"Isopeptide bond",0.141216655210924,1918,1.18661255875543,1.55431223447522e-15,6.96331881044898e-14,135294,788,814,1.00216091486403,0.413335874507203,0.9999944725491
"Cytoplasm",0.110415649761975,1500,1.18688020046079,3.55404594643005e-12,1.44746598545515e-10,138388,630,643,1.01429719580759,0.0232475667144634,0.9999944725491
"Cytoskeleton",0.110246304001098,1496,1.18553345298062,5.18640685953642e-12,1.9362585608936e-10,138692,626,639,1.01416617895541,0.0248743602934027,0.9999944725491
"Repressor",0.0779235110578354,1091,1.22321415020278,9.45310496547336e-12,3.2576854034862e-10,152969,329,334,1.01972972569864,0.0260061788432342,0.9999944725491
"Metal-binding",0.152947778416053,1962,1.12073281510802,3.46167592368829e-08,1.08824042541755e-06,133734,840,870,0.999529650428018,0.579313726120469,0.9999944725491
"Zinc",0.142569096944361,1837,1.12571905131084,3.64366213867484e-08,1.08824042541755e-06,133540,777,804,1.00046204748998,0.521834093441787,0.9999944725491
"Transport",0.0736969507801527,994,1.17837392414379,8.31150178681739e-08,2.32722050030887e-06,123706,482,495,1.00803935452257,0.199164301967927,0.9999944725491
"Activator",0.0753910724899472,1014,1.1750714968765,9.81320216197901e-08,2.58606739327447e-06,137117,375,382,1.0162570071433,0.0475984418272044,0.9999944725491
"DNA damage",0.0168880890161011,269,1.39161156399291,1.2012763417335e-07,2.98984333942561e-06,142544,126,128,1.01905171391294,0.183447203114945,0.9999944725491
"Transcription",0.214099528820324,2674,1.09116882564753,2.47804069042346e-07,5.84295910163004e-06,141492,1061,1097,1.00125432393605,0.449377864497059,0.9999944725491
"Zinc-finger",0.135437758791867,1734,1.11855049171313,4.10170491793593e-07,9.18781901617649e-06,135265,730,756,0.999624088225678,0.574867702135063,0.9999944725491
"Guanine-nucleotide releasing factor",0.0198021643052341,303,1.33683013602459,6.06348368070719e-07,1.29354318521753e-05,133197,91,94,1.00218797396639,0.601863655473583,0.9999944725491
"SH3 domain",0.0273759044225808,400,1.27654983497489,1.03722438038467e-06,2.11216601096515e-05,148262,116,118,1.0176809152663,0.228830230004099,0.9999944725491
"WD repeat",0.0179005110257372,273,1.33242715791657,2.68449306695118e-06,5.22892562606142e-05,133508,120,123,1.00997769555444,0.392728273873749,0.9999944725491
"Cell cycle",0.0270622273726946,386,1.24614914688832,1.25045915871924e-05,0.000233419042960925,152343,182,186,1.01296418874022,0.235620769420931,0.9999944725491
"Ion channel",0.0225051661525418,327,1.26943885614889,1.44866677306288e-05,0.000259601085732868,141234,147,150,1.01452259518444,0.243366397158892,0.9999944725491
"Kinase",0.0370180978597131,507,1.19657553364323,3.34264491812508e-05,0.000575963432046168,139030,232,235,1.02201147235254,0.0381843382344114,0.9999944725491
"Myristate",0.013616395326057,208,1.33458869449466,3.48000631562595e-05,0.000577423270148306,100773,89,91,1.01247489315334,0.396557652043255,0.9999944725491
"Apoptosis",0.0401869665746887,546,1.18700808068951,3.67111836934164e-05,0.000587378939094663,127494,242,247,1.01427112300518,0.148532203056255,0.9999944725491
"Serine/threonine-protein kinase",0.0278125508452346,390,1.22509577800731,4.44029655241041e-05,0.000685949260510297,132900,180,183,1.01825620125571,0.124980640498608,0.9999944725491
"Ubl conjugation pathway",0.0434557824936329,584,1.17411741845769,5.83795395063813e-05,0.000871801123295294,106002,277,290,0.988820404173432,0.88141861254168,0.9999944725491
"Protein phosphatase",0.0129329246898372,197,1.33080902055702,6.36250911285607e-05,0.000894648509679241,199280,65,68,0.989555352445806,0.799560598694088,0.9999944725491
"SH2 domain",0.00578852588389079,100,1.50930940682968,6.39034649770887e-05,0.000894648509679241,108100,52,53,1.01569455043494,0.456951821291369,0.9999944725491
"Alternative promoter usage",0.0112163342287629,174,1.3553284806495,6.81166250924292e-05,0.000924734789133585,136525,48,53,0.937564200401483,0.991162957165234,0.9999944725491
"Flavoprotein",0.00581785701240873,100,1.50170011906433,7.64712388225952e-05,0.00100762102919184,103871,47,48,1.01365990590282,0.510187108109576,0.9999944725491
"GTPase activation",0.0200085890398981,288,1.25754137217466,8.27888714414193e-05,0.00105510851844161,153587,93,96,1.00287628988258,0.586398921143174,0.9999944725491
"Nucleotide-binding",0.0351653666889141,479,1.19005387124347,8.64840655281363e-05,0.00105510851844161,134818,225,235,0.991174919307419,0.82247026929534,0.9999944725491
"Lipoprotein",0.0703277449232244,910,1.13047499045671,8.7140658889151e-05,0.00105510851844161,131399,402,417,0.997988751686351,0.654033487767311,0.9999944725491
"Methylation",0.094626537255514,1201,1.10885898002539,0.00010975266447466,0.001293926149596,139889,477,489,1.00982279099991,0.142317241443957,0.9999944725491
"Intellectual disability",0.065308801441542,846,1.13173541905242,0.000136048582889181,0.00156281449062444,185352,321,336,0.989011640713693,0.890597008648876,0.9999944725491
"Neurodegeneration",0.00987252580862601,153,1.35397115272343,0.000185464491154419,0.00207720230092949,159347,74,75,1.02142410943739,0.270121277592438,0.9999944725491
"FAD",0.00555520505779339,94,1.47833894315353,0.000204617078873759,0.00222517248693066,106819,42,43,1.01115208822369,0.56713247072837,0.9999944725491
"TPR repeat",0.0126277702697468,189,1.30761950536279,0.000208609920649749,0.00222517248693066,140840,67,67,1.0352271379433,0.0974351918980337,0.9999944725491
"Methyltransferase",0.0134063180357663,199,1.29685021080367,0.00021900396760377,0.00228171575549975,142576,83,86,0.999114563363887,0.664140337407696,0.9999944725491
"Proto-oncogene",0.0181720176606599,260,1.25001854508335,0.00024867917569793,0.00252367415970127,131796,117,120,1.00934645949472,0.41234180151589,0.9999944725491
"Magnesium",0.052581416018338,687,1.14148633811671,0.000253494056219994,0.00252367415970127,123560,305,317,0.996038728935987,0.716576532800898,0.9999944725491
"Voltage-gated channel",0.0110946930580413,168,1.32294030649131,0.000269730085576958,0.00262693648561907,118730,80,81,1.02244655599339,0.231905573113832,0.9999944725491
"Fanconi anemia",0.00137834167333535,31,1.9649480158273,0.000448370197861481,0.00427382656684986,110734,12,12,1.0352271379433,0.659867028343879,0.9999944725491
"Limb-girdle muscular dystrophy",0.00542205280267234,90,1.45019039791252,0.000493093559222446,0.00460220655274283,221658,27,27,1.0352271379433,0.392121786670984,0.9999944725491
"Chromatin regulator",0.0272645568177164,371,1.18883539112157,0.000541739891573911,0.00495305043724719,169170,136,142,0.991485146199221,0.790602677652731,0.9999944725491
"Antiviral defense",0.00345874881153588,62,1.56609796416508,0.000578418734438757,0.00518263186057126,53901,35,41,0.883730483610138,0.999590952390885,0.9999944725491
"Leucine-rich repeat",0.0230218367484728,317,1.20299978771838,0.000658093024219819,0.00578089558530351,144544,132,136,1.00477928094497,0.505101322437729,0.9999944725491
"Ion transport",0.0351745534197329,467,1.15993738674622,0.000757297702224102,0.00652441097300765,127953,223,229,1.00810328280069,0.332328399783145,0.9999944725491
"RNA-mediated gene silencing",0.00249569164461298,47,1.6453306625172,0.000946802369813149,0.00800315965426964,192800,15,16,0.970525441821848,0.898738035335471,0.9999944725491
"Diabetes mellitus",0.00644166924005813,102,1.38340075646568,0.0010120571767579,0.00839632620717662,192331,36,36,1.0352271379433,0.286819916005668,0.9999944725491
