"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.204239439093165,1823,1.22204245792939,0,0,136991,1049,1060,0.999806409612134,0.606229121996259,0.999842668420011
"Phosphoprotein",0.552206781379537,4506,1.11719423809122,0,0,141409,2898,2925,1.00096479791395,0.287915937585362,0.999842668420011
"Reference proteome",0.941029897580162,7028,1.02251000609352,2.22044604925031e-16,3.09382149528877e-14,142148,6175,6240,0.99976669693301,0.830565916900102,0.999842668420011
"Alternative splicing",0.673093337574595,5227,1.06320361292657,2.44249065417534e-15,2.55240273361323e-13,147383,3577,3613,1.00022400277717,0.469371008086441,0.999842668420011
"Repeat",0.363848547202258,2953,1.11117391383737,5.28910248931425e-13,4.42168968106671e-11,156397,1679,1694,1.00134465468496,0.31789083201569,0.999842668420011
"Coiled coil",0.158525266984099,1374,1.1866632010503,7.34190486184616e-12,5.11486038708616e-10,141115,706,711,1.00318584131071,0.254529150937589,0.999842668420011
"Disease variant",0.293615741707174,2396,1.1172406102675,8.84470274797877e-11,5.28155106950732e-09,145591,1365,1379,1.00003379997788,0.565517510506208,0.999842668420011
"Cytoplasm",0.105196208047131,931,1.21168248773478,9.12939501773735e-10,4.77010889676777e-08,145173,502,504,1.00628146738922,0.103317145414306,0.999842668420011
"Cytoskeleton",0.105153795432029,930,1.21086919651538,1.05769371039344e-09,4.91239967716063e-08,145271,501,503,1.00627349703233,0.104096552467015,0.999842668420011
"Ubl conjugation",0.197220813990861,1616,1.12183205418388,1.9407048745812e-07,8.11214637574942e-06,136565,879,885,1.00344112939631,0.184885491372706,0.999842668420011
"Repressor",0.0749369609373188,656,1.19852472710094,1.4452906127449e-06,5.49210432843061e-05,161355,263,263,1.01029055690073,0.06411128789062,0.999842668420011
"Isopeptide bond",0.142127158321653,1179,1.13573227511466,1.87089286973752e-06,6.51694349625235e-05,138463,606,610,1.0036657007899,0.24298259462827,0.999842668420011
"Guanine-nucleotide releasing factor",0.0169005987468398,175,1.41767014409234,5.96149212350738e-06,0.000191684900586622,122677,73,73,1.01029055690073,0.471681000728886,0.999842668420011
"Transcription",0.210333767399941,1687,1.09810866190481,9.93085163691898e-06,0.000296506856016581,148383,834,837,1.00666944379356,0.0222106486595089,0.999842668420011
"Zinc",0.138456810372535,1132,1.11936401126979,3.00770897933011e-05,0.000838148235573325,134120,601,610,0.995384630651371,0.911904443257382,0.999842668420011
"DNA damage",0.0182637667041091,181,1.35683631701457,4.41001674962305e-05,0.00107791569270566,143349,100,102,0.990480938137967,0.914771834333381,0.999842668420011
"Methylation",0.0894321348456081,751,1.14970276149832,4.60445555432454e-05,0.00107791569270566,151958,371,374,1.00218662195232,0.465966053828508,0.999842668420011
"Metal-binding",0.148556811366581,1206,1.11146034946194,4.64174221739277e-05,0.00107791569270566,134441,650,659,0.996492962041688,0.870759926277386,0.999842668420011
"Zinc-finger",0.132178583617465,1076,1.11452653562357,8.89771941340323e-05,0.00190652017047301,134545,568,576,0.996258743610439,0.871420175183105,0.999842668420011
"WD repeat",0.0148878219465402,150,1.37942892500885,9.12210607881825e-05,0.00190652017047301,146434,83,83,1.01029055690073,0.425265843274592,0.999842668420011
"Tumor suppressor",0.0117294075156479,122,1.42404263126226,0.000116397942306334,0.0023168733278118,156384,68,68,1.01029055690073,0.496725722176509,0.999842668420011
"GTPase activation",0.0182814938518276,177,1.32556436689859,0.000164280059465449,0.00312132112984354,148895,80,81,0.997817833976026,0.800507851841574,0.999842668420011
"SH3 domain",0.0247119752681438,230,1.27426457824276,0.000186758951977728,0.00339414095333436,144197,91,91,1.01029055690073,0.391399970124636,0.999842668420011
"Microtubule",0.0219824915423281,206,1.28300852214815,0.000278720437672852,0.00485438095613551,166500,112,112,1.01029055690073,0.314634794271019,0.999842668420011
"Ion channel",0.0225926699072555,209,1.2665372418926,0.000477955562195209,0.0079914169999039,149286,118,120,0.993452380952381,0.877084409278374,0.999842668420011
"Activator",0.0776246947451433,644,1.13586102423695,0.000505809458752227,0.00813185975993964,149400,299,301,1.00357766283494,0.402023086638635,0.999842668420011
"3D-structure",0.542980546526307,4105,1.03506619916733,0.000560138925813414,0.00867178040703729,139802,2628,2655,1.00001641564411,0.548512870588076,0.999842668420011
"Cell cycle",0.0258862745487861,235,1.24290388288273,0.000598437990689149,0.00893382428957373,156229,141,142,1.00317583466903,0.573549450104654,0.999842668420011
"Myristate",0.0119673157784869,119,1.36141159795833,0.000709801430052837,0.0102309309573133,103214,66,66,1.01029055690073,0.507106494151645,0.999842668420011
"Lipoprotein",0.0678951414361309,564,1.13731205395265,0.0010080991580026,0.0140461816015028,144238,314,317,1.00072944752943,0.594675328499702,0.999842668420011
"Flavoprotein",0.00490379294691465,56,1.56349010784422,0.00105145117646976,0.0141776319923988,91736,35,35,1.01029055690073,0.69820028791396,0.999842668420011
"SH2 domain",0.00580754613200264,64,1.50878216309795,0.00115785585724626,0.0145462100528562,122809,41,41,1.01029055690073,0.656373111896917,0.999842668420011
"Kinase",0.0335926135780011,294,1.19823712628007,0.0011646857570613,0.0145462100528562,143886,169,169,1.01029055690073,0.173344173963857,0.999842668420011
"Nucleotide-binding",0.0366181572381435,318,1.18896718998027,0.00118318454975386,0.0145462100528562,136913,181,184,0.993818428255606,0.88275417450174,0.999842668420011
"Ubl conjugation pathway",0.0426405829083788,365,1.17194968584453,0.00133606805206421,0.0159564698789383,104073,219,224,0.987739428398478,0.974109853882108,0.999842668420011
"Apoptosis",0.0398831002296245,343,1.17745534526048,0.00139538626357216,0.0162019849492546,130128,187,189,0.999599651536697,0.697398253071369,0.999842668420011
"Transport",0.0744965987070779,612,1.12474536724951,0.00156613191700838,0.0174322009848367,129390,373,379,0.994296511145042,0.910515247646234,0.999842668420011
"Serine/threonine-protein kinase",0.0251659227891596,225,1.22407743968873,0.00158474554407606,0.0174322009848367,133057,128,128,1.01029055690073,0.266294751306273,0.999842668420011
"FAD",0.00459563879031269,52,1.54916149033865,0.00185565793202613,0.0198888465535109,92840,32,32,1.01029055690073,0.720087893860516,0.999842668420011
"Limb-girdle muscular dystrophy",0.00516588965430405,56,1.484164834421,0.00312463513742078,0.0326524371860472,217210,20,20,1.01029055690073,0.81460427405338,0.999842668420011
"Voltage-gated channel",0.0101632885681435,99,1.33364479189887,0.00332175642342092,0.033865711829023,115968,62,62,1.01029055690073,0.528513426604072,0.999842668420011
