"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Phosphoprotein",0.561308256878703,3759,1.08503807326752,1.73194791841524e-14,4.31737978701108e-12,151366,2513,3807,0.984846358148171,0.963877817876595,0.999193612004082
"Acetylation",0.216746967548704,1588,1.18705693779564,2.03170813506404e-14,4.31737978701108e-12,144252,934,1416,0.984107392920952,0.832123887644483,0.999185203069006
"Repeat",0.362581559906893,2507,1.12026999343591,8.40549851943706e-13,1.19077895692025e-10,164171,1460,2171,1.0033487266099,0.409477663324076,0.980959332121406
"Alternative splicing",0.669526949772933,4376,1.05896921010615,1.45585765665146e-11,1.54684876019218e-09,151271,3170,4730,0.999900977575396,0.514748420235538,0.989900808145265
"Reference proteome",0.943459213682252,5935,1.01922877402692,4.2091996554916e-11,3.57781970716786e-09,144219,5461,8131,1.00204468074595,0.168440995339632,0.842204976698161
"3D-structure",0.528192970047937,3488,1.0699363492426,3.10348147181116e-09,2.19829937586624e-07,145603,2353,3473,1.01082509517868,0.125260922295278,0.775223795695252
"Coiled coil",0.165406756342441,1169,1.14507873257057,3.36656867050422e-07,2.04398812137756e-05,146388,627,935,1.00049472096531,0.506888558506804,0.989900808145265
"Disease variant",0.289014108826235,1960,1.09878092070785,5.03468068457913e-07,2.67467411368266e-05,149801,1164,1760,0.986731934731935,0.820391220134499,0.999185203069006
"Guanine-nucleotide releasing factor",0.0198021643052341,178,1.45640253180811,1.02654104972011e-06,4.84755495701162e-05,143737,66,94,1.04755046372068,0.294053624679127,0.980959332121406
"WD repeat",0.0179005110257372,160,1.44820030904195,4.71574621618842e-06,0.000200419214188008,138251,84,123,1.01890348134251,0.423071695326084,0.980959332121406
"Ubl conjugation",0.198140406451963,1359,1.11127230181583,9.53947723303372e-06,0.000368570711276303,143513,777,1176,0.985763125763126,0.783100146914483,0.999185203069006
"Isopeptide bond",0.141216655210924,987,1.13241422056731,1.80204735737988e-05,0.000638225105738706,143260,534,814,0.978758898758899,0.828153919518612,0.999185203069006
"Transport",0.0736969507801527,541,1.18938327848502,2.37860164251646e-05,0.000777619767745767,134114,353,495,1.06396753863421,0.0198349685372387,0.526866351770402
"SH3 domain",0.0273759044225808,223,1.319807128435,3.19641842253526e-05,0.000970341306841062,152914,88,118,1.11265246994061,0.0464237291012591,0.680347754070177
"Transit peptide",0.0337800519548367,265,1.27104124444645,7.14817664929646e-05,0.00202531671730066,135662,153,223,1.02363573646085,0.333170034542276,0.980959332121406
"SH2 domain",0.00578852588389079,58,1.6234319787641,0.000361569100610026,0.00960417923495382,124924,36,53,1.01341074020319,0.509370702293621,0.989900808145265
"Flavoprotein",0.00581785701240873,58,1.61524733415911,0.000407578448562651,0.0101894612140663,112327,36,48,1.11897435897436,0.152490671752189,0.810106693683502
"TPR repeat",0.0126277702697468,109,1.39853683092074,0.000471613733813547,0.0111353242705976,155341,48,67,1.06887102946804,0.252096688822492,0.980959332121406
"Cytoplasm",0.110415649761975,762,1.11814576043955,0.000682725524988825,0.0149254607221538,150226,426,643,0.988456354428361,0.684529196882844,0.999185203069006
"Antiviral defense",0.00345874881153588,38,1.78007645693787,0.000702374622219004,0.0149254607221538,42980,27,41,0.982514071294559,0.634108813275005,0.999185203069006
"Cytoskeleton",0.110246304001098,760,1.1169240339913,0.000771827019284022,0.0156203087236052,150571,424,639,0.989974185091556,0.663663787543753,0.999185203069006
"Alternative promoter usage",0.0112163342287629,97,1.40118304912701,0.000873891063100318,0.0168819864462561,138180,39,53,1.09786163522013,0.192674774698859,0.91209095596706
"Neurodegeneration",0.00987252580862601,87,1.42779237228247,0.000916470666035063,0.0169347840463001,177485,56,75,1.11400113960114,0.0965765337936998,0.746273215678589
"FAD",0.00555520505779339,54,1.57495354335315,0.00108498573876492,0.0192132891239621,114915,32,43,1.11030013913735,0.193148673028319,0.91209095596706
"RNA-mediated gene silencing",0.00249569164461298,29,1.88270014248282,0.00125336105910634,0.0213071380048078,176754,11,16,1.0257264957265,0.559254694615832,0.998154404914839
"Myristate",0.013616395326057,113,1.34459153955363,0.00139692194390184,0.0228343010060878,116588,64,91,1.04929463698694,0.290166927786154,0.980959332121406
"Amino-acid biosynthesis",0.00110738845593192,16,2.34096043358748,0.00189654683961993,0.0284796454375607,153336,8,10,1.19357264957265,0.307481598488479,0.980959332121406
"Tight junction",0.00836833699142314,74,1.43273754415586,0.00191403064081341,0.0284796454375607,113659,38,50,1.13389401709402,0.112699551027719,0.775223795695252
"Neuronal ceroid lipofuscinosis",0.00187475718806345,23,1.98772770610087,0.00194331698279826,0.0284796454375607,231772,6,8,1.11897435897436,0.47702565204302,0.980959332121406
