"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.270892202200606,2460,1.10247699849676,1.06429082213921e-08,4.31037782966381e-06,126119,1173,1316,1.01144098152047,0.114884308576546,0.998648961304689
"Phosphoprotein",0.651696831977888,5565,1.03669378007103,2.46188979335926e-06,0.000498532683155251,132819,3017,3398,1.00751230543853,0.0577303916066798,0.998648961304689
"Ubl conjugation",0.22393172274491,2014,1.09187966799009,4.88803565978913e-06,0.000659884814071532,132720,937,1036,1.02630928746296,0.00650134301118954,0.877681306510588
"Isopeptide bond",0.159766650720247,1454,1.10486498330234,2.22586989317985e-05,0.0022536932668446,132484,641,710,1.02446730858336,0.0331536862678524,0.998648961304689
"Disease variant",0.323619438686015,2810,1.05415058389332,0.000370825036687839,0.0300368279717149,138368,1349,1515,1.01041024336773,0.116402661701809,0.998648961304689
"Laminin EGF-like domain",0.00148527613884016,24,1.9617107483544,0.00186810967654516,0.122461927210082,73966,9,11,0.928428038838133,0.86669144500938,0.998648961304689
"Chromatin regulator",0.0308952585977781,301,1.18278441919784,0.00211662590239647,0.122461927210082,150291,116,131,1.00481270361108,0.5074119656333,0.998648961304689
"Tyrosine-protein kinase",0.0093169616754372,102,1.32909736416046,0.00323268554131162,0.163654705528901,119809,42,44,1.08316604531116,0.091944344400831,0.998648961304689
"Hydroxylation",0.0106754637750492,114,1.29642988626622,0.0041430068071231,0.166538714347823,72698,51,56,1.03342882894483,0.332097990522745,0.998648961304689
"Growth factor binding",0.0010676128209217,18,2.04686716153446,0.00421057387668755,0.166538714347823,55285,12,12,1.13474538080216,0.219132642308117,0.998648961304689
"Repressor",0.0855234412374422,772,1.09588016624453,0.0045232737230273,0.166538714347823,168422,274,306,1.01607919718887,0.247957257544663,0.998648961304689
"Chaperone",0.0124432573220645,129,1.25859662273511,0.00616703903409577,0.205890085029111,131133,56,64,0.992902208201893,0.652362150639086,0.998648961304689
"TPR repeat",0.0120544304470313,125,1.25890874842664,0.00686114604625532,0.205890085029111,140538,61,64,1.08155419107706,0.0447763133762659,0.998648961304689
"SH3 domain",0.0329193908467549,312,1.15062481964535,0.00725357645483538,0.205890085029111,131060,109,118,1.0481970043003,0.0926393692573837,0.998648961304689
"Nonsense-mediated mRNA decay",0.00185430287567108,26,1.70225104776792,0.00762555870478188,0.205890085029111,116785,11,12,1.04018326573532,0.574044433130353,0.998648961304689
"Chloride",0.00425450486365811,50,1.42676324821685,0.00991461978433805,0.234944599706193,135230,20,22,1.03158670982015,0.505451609687691,0.998648961304689
"Chloride channel",0.00425450486365811,50,1.42676324821685,0.00991461978433805,0.234944599706193,135230,20,22,1.03158670982015,0.505451609687691,0.998648961304689
"Kinase",0.0430149364800936,398,1.12329731338382,0.0104419822091641,0.234944599706193,121007,176,195,1.02418044626247,0.208652250593351,0.998648961304689
"Magnesium",0.0586995694466592,533,1.10235944447768,0.011654528116293,0.245915672380785,110402,242,267,1.02849581331132,0.113748592445694,0.998648961304689
"Dynein",0.00240937117950353,31,1.56202836777038,0.0121439838212734,0.245915672380785,182412,13,15,0.983445996695208,0.73996993398359,0.998648961304689
"Cell junction",0.0116617498538245,118,1.22842662221349,0.0160724364677607,0.279900708821661,124940,47,51,1.04574574309219,0.259687966633138,0.998648961304689
"Reference proteome",0.971968186892043,8038,1.00398421663224,0.0164180090529482,0.279900708821661,132238,6216,7036,1.00249819315893,0.019596223655502,0.998648961304689
"Proteasome",0.00247674480412481,31,1.51953730743882,0.0170507864231743,0.279900708821661,68989,12,13,1.04745727458661,0.531880422976981,0.998648961304689
"Dwarfism",0.015947217349705,156,1.18760117596888,0.0188659592840372,0.279900708821661,120593,73,79,1.04856218732352,0.156093525334339,0.998648961304689
"Ubl conjugation pathway",0.053256657630362,482,1.09876309869161,0.018874098549832,0.279900708821661,130143,225,256,0.997334807345651,0.594288191707228,0.998648961304689
"Cholesterol biosynthesis",0.000643836708658906,11,2.07418688835508,0.0200422729773535,0.279900708821661,42273,10,10,1.13474538080216,0.282271380482827,0.998648961304689
"Cholesterol metabolism",0.000643836708658906,11,2.07418688835508,0.0200422729773535,0.279900708821661,42273,10,10,1.13474538080216,0.282271380482827,0.998648961304689
"Sterol biosynthesis",0.000643836708658906,11,2.07418688835508,0.0200422729773535,0.279900708821661,42273,10,10,1.13474538080216,0.282271380482827,0.998648961304689
"Sterol metabolism",0.000643836708658906,11,2.07418688835508,0.0200422729773535,0.279900708821661,42273,10,10,1.13474538080216,0.282271380482827,0.998648961304689
"DNA-binding",0.00110163185031627,16,1.7632521941582,0.0234456294071961,0.306305803545626,210854,8,8,1.13474538080216,0.363576285620254,0.998648961304689
"Nucleosome core",0.00110163185031627,16,1.7632521941582,0.0234456294071961,0.306305803545626,210854,8,8,1.13474538080216,0.363576285620254,0.998648961304689
"Ciliopathy",0.00502657736671451,55,1.32837670835938,0.0244200249435804,0.30906594069219,193030,25,28,1.01316551857336,0.570363794206729,0.998648961304689
"One-carbon metabolism",0.00120554935416999,17,1.71196491762232,0.0254805378408707,0.312715691683413,40992,9,9,1.13474538080216,0.320357636242919,0.998648961304689
"Flavoprotein",0.0074409982458938,77,1.25629160315318,0.0288855191614892,0.343579079317177,118101,35,38,1.04516021915989,0.323498955392222,0.998648961304689
"Nephronophthisis",0.00200313612927231,25,1.51516691504945,0.0303051547679327,0.343579079317177,290550,7,7,1.13474538080216,0.412618079334746,0.998648961304689
"FAD",0.0072552224525594,75,1.25499346543521,0.0312261190739005,0.343579079317177,120859,33,36,1.04018326573532,0.366499818541794,0.998648961304689
"Postsynaptic cell membrane",0.0164654760006379,158,1.16496728818232,0.0314032800084143,0.343579079317177,174982,64,70,1.03748149101912,0.259101362330131,0.998648961304689
"Kinetochore",0.0069514431510126,72,1.25744342687143,0.0329622236712954,0.343579079317177,137839,36,38,1.07502193970731,0.154188448515204,0.998648961304689
"Williams-Beuren syndrome",0.0016350396002764,21,1.55927226146477,0.0342436481971917,0.343579079317177,155655,12,12,1.13474538080216,0.219132642308117,0.998648961304689
"WD repeat",0.0227641790251422,213,1.13594824540977,0.0343993966570406,0.343579079317177,129720,97,107,1.02869441063374,0.260299861495859,0.998648961304689
"Coiled coil",0.2037595014086,1745,1.03970108228842,0.0356899636528709,0.343579079317177,133027,737,838,0.997980126075411,0.593343485116608,0.998648961304689
