"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Collagen",0.00640926487003668,23,2.76255202362112,1.93582679087756e-05,0.00474277563765002,114698,12,38,1.44837503595053,0.105667696872347,0.893182529598878
"Acetylation",0.270892202200606,412,1.17082385170786,0.00012330009209427,0.015104261281548,143055,290,1316,1.01070750355717,0.423361909968546,0.976835593957365
"Collagen degradation",0.00106349332908095,7,5.06703750527732,0.000570042480084743,0.0434724440926308,86930,3,6,2.29326047358834,0.122181350558484,0.908683607245257
"Transit peptide",0.046863339180354,87,1.42914689849999,0.000709754189267442,0.0434724440926308,172440,43,203,0.971529067628559,0.613766655794976,0.976835593957365
"Repressor",0.0855234412374422,141,1.26918460098763,0.0023615680583271,0.108198890229448,159251,90,306,1.34897674916961,0.000895665195231432,0.219437972831701
"Metalloprotease",0.0132561260830277,30,1.74218984317583,0.00306099798216763,0.108198890229448,120095,20,60,1.52884031572556,0.0258846033652437,0.893182529598878
"Congenital muscular dystrophy",0.00143584223675118,7,3.75303111103511,0.00309139686369853,0.108198890229448,95221,3,12,1.14663023679417,0.504706732604915,0.976835593957365
"Alternative initiation",0.01198519640674,27,1.7342410332007,0.00506124342546665,0.143412913422506,187222,11,51,0.989249616057716,0.571303602092795,0.976835593957365
"NAD",0.016909052251103,35,1.59345435363296,0.00580928271898173,0.143412913422506,168203,14,66,0.972898382734448,0.594833466450075,0.976835593957365
"Sodium channel",0.00341014192313826,11,2.48319645892247,0.00587696080246358,0.143412913422506,44316,3,7,1.96565183450429,0.180308104461953,0.923975391650739
"Heparin-binding",0.0116850050496997,26,1.71291294900458,0.00681160454970042,0.143412913422506,91880,14,42,1.52884031572556,0.0566918830843706,0.893182529598878
"Steroid metabolism",0.00606575240525169,16,2.03060827885326,0.0070243059635513,0.143412913422506,113516,8,30,1.22307225258045,0.323409517503035,0.976835593957365
"Hydroxylation",0.0106754637750492,24,1.73067427951458,0.0080616122750774,0.151930385184151,97170,15,56,1.22853239656518,0.224400235440259,0.931831486150228
"Reference proteome",0.971968186892043,1276,1.01062368667058,0.0110133917045644,0.18196562352213,129740,1539,7036,1.00321997409109,0.314685004471108,0.976835593957365
"Ehlers-Danlos syndrome",0.00140939775687025,6,3.27724208572515,0.0111407524605386,0.18196562352213,118204,2,8,1.14663023679417,0.548449792893634,0.976835593957365
"Translocase",0.0129971296443948,27,1.59921613219439,0.0134769421604403,0.193013759509604,253726,8,36,1.01922687715037,0.541047926978345,0.976835593957365
"Autism",0.00493116462020943,13,2.02947964632789,0.0141806027394811,0.193013759509604,116143,4,8,2.29326047358834,0.0742237619839166,0.893182529598878
"Autism spectrum disorder",0.00493116462020943,13,2.02947964632789,0.0141806027394811,0.193013759509604,116143,4,8,2.29326047358834,0.0742237619839166,0.893182529598878
"Lipid metabolism",0.0193786211662149,37,1.46983877554886,0.0150837718098522,0.19450126807441,125130,20,90,1.01922687715037,0.503092728327589,0.976835593957365
"2Fe-2S",0.00693363631531388,16,1.77643684950334,0.0217628313510416,0.239830591623152,318799,2,7,1.3104345563362,0.47232702215742,0.976835593957365
"Protease",0.0399871099771435,67,1.28986908676234,0.0227860059618332,0.239830591623152,109751,48,177,1.24380229075978,0.0529864770788333,0.893182529598878
"Cone-rod dystrophy",0.00124475097007389,5,3.09227692619488,0.0245437459209431,0.239830591623152,35366,3,7,1.96565183450429,0.180308104461953,0.923975391650739
"Transcription",0.228299978738107,327,1.10263742908799,0.0248531321151954,0.239830591623152,141728,242,984,1.12798584269996,0.0135402987148203,0.893182529598878
"Glycolysis",0.00267474618614788,8,2.3024926842343,0.0255910665456375,0.239830591623152,205197,4,12,1.52884031572556,0.255224673077277,0.973495691134819
"Host cell receptor for virus entry",0.00480704831765269,12,1.92173547637535,0.0258657034938039,0.239830591623152,150461,9,26,1.58764186633039,0.0932073991218807,0.893182529598878
"ER-Golgi transport",0.007103332801786,16,1.73399830689071,0.0263338821119443,0.239830591623152,119043,10,28,1.63804319542024,0.0652383885149981,0.893182529598878
"Manganese",0.0183044968904481,34,1.42992075342218,0.026929120793032,0.239830591623152,111357,19,87,1.00165399995813,0.539187559350724,0.976835593957365
"Actin capping",0.00271129006538032,8,2.27145874372729,0.0274092104712174,0.239830591623152,57736,4,11,1.66782579897334,0.203078312779333,0.931831486150228
"Sodium transport",0.00434553234465529,11,1.94868008711869,0.0293299118411126,0.247787186243882,44316,3,11,1.25086934923,0.442336217723005,0.976835593957365
"Kringle",0.00132395152288311,5,2.90729278005294,0.0307927530794612,0.251474150148933,137427,3,8,1.71994535519126,0.243958709948775,0.973495691134819
"Oogenesis",0.00136155849678414,5,2.82699179852308,0.0340786502872553,0.269331268399276,52155,5,12,1.91105039465695,0.0987855921834425,0.893182529598878
"Phosphoprotein",0.651696831977888,878,1.03714566158622,0.035212105502165,0.269592682750951,135130,760,3398,1.02582575628437,0.14832049594809,0.922571111016239
"Coated pit",0.0068570934991761,15,1.68399980432554,0.0380058621055144,0.282164733813667,141800,9,26,1.58764186633039,0.0932073991218807,0.893182529598878
"Homeobox",0.0371523680433743,61,1.26396248361123,0.0399673787810012,0.288000229451332,166985,29,107,1.24307577073013,0.113014932316593,0.893182529598878
"Alternative splicing",0.758393663955775,1012,1.02725121930574,0.0428074108094887,0.299651875666421,136863,937,4193,1.02493921476379,0.105521322160119,0.893182529598878
"Iron-sulfur",0.00972080476266412,19,1.5046733507011,0.0551881432941443,0.37558597519626,281351,5,24,0.955525197328476,0.625289731444584,0.976835593957365
"Cilium",0.00862156487535215,17,1.51793672975954,0.0627424628273565,0.399130779840797,166917,14,47,1.36619772894625,0.126103031209546,0.908683607245257
"Flagellum",0.00862156487535215,17,1.51793672975954,0.0627424628273565,0.399130779840797,166917,14,47,1.36619772894625,0.126103031209546,0.908683607245257
