"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.251367436296645,1323,1.1838082712164,1.74793512996985e-12,6.55475673738692e-10,119312,823,1326,1.02555677736513,0.108855362771931,0.655034703308217
"Phosphoprotein",0.605493915022623,2912,1.08171319972629,5.63282753773819e-12,1.05615516332591e-09,132856,2171,3455,1.03828162844021,0.000112541166846225,0.0211014687836672
"Reference proteome",0.956847425841122,4334,1.01877142644468,1.31975541606266e-10,1.44329340145966e-08,137300,4460,7370,0.999932694706014,0.527573887325291,0.954871124043018
"Alternative splicing",0.715962050789187,3370,1.05869396920915,1.53951296155697e-10,1.44329340145966e-08,137319,2683,4335,1.02266871096329,0.00325312036245007,0.243984027183755
"Isopeptide bond",0.156123443656602,831,1.19719100007515,1.88790658661731e-08,1.41592993996298e-06,133960,479,747,1.05954232380404,0.0184923442511327,0.416487608099649
"3D-structure",0.560185031937285,2649,1.06360654117624,8.47886207466786e-07,5.29928879666741e-05,132667,1954,3175,1.01691400288178,0.0666837708315395,0.620812796168632
"Ubl conjugation",0.228620538710546,1142,1.12352153666548,5.20644863355457e-06,0.000278916891083281,135680,702,1101,1.05354524421506,0.00950080869645598,0.339337399841846
"Cell cycle",0.0296878067600206,180,1.36371912842126,3.19671549631195e-05,0.00149846038889623,140216,103,165,1.03147018328344,0.336992367259584,0.954871124043018
"Magnesium",0.0509629696424576,287,1.26665316229709,4.0387964433064e-05,0.00168283185137767,110347,171,278,1.01637672771329,0.390555888491268,0.954871124043018
"Transport",0.0764647148929564,410,1.20601670882795,6.69791269457543e-05,0.00239299367324727,143024,274,437,1.03603045891547,0.181819703628603,0.757582098452514
"Coiled coil",0.177911965866598,890,1.12516286381851,7.01944810819199e-05,0.00239299367324727,137560,546,860,1.0490533846467,0.0318205318461051,0.544987317892724
"Disease variant",0.312517977564,1506,1.08387826721179,9.58934132889722e-05,0.00299666916528038,143488,967,1534,1.04160849289116,0.0131109839081065,0.378201458887687
