"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Coiled coil",0.173926721043034,149,1.34276273564331,7.85694009370896e-05,0.013985353366802,127493,129,573,1.23880924316768,0.00308493379877128,0.274559108090644
"Intellectual disability",0.0717029376669129,68,1.48645335279611,0.000806061977691064,0.0717395160145047,203372,54,191,1.55571393328034,0.000320743566239345,0.0570923547906035
"Isopeptide bond",0.146266833342804,121,1.29663826090568,0.00159381200698527,0.0873267830681136,109312,102,483,1.16204351078014,0.0464081973423145,0.529228625336383
"Reference proteome",0.959925667264152,626,1.0221533354421,0.00196239961950817,0.0873267830681136,142365,897,4908,1.00567403576595,0.258063414304666,0.762645247316255
"Calcium",0.00840879388808248,13,2.42319835874059,0.00348168359422873,0.123947935954543,38638,10,33,1.66745993971125,0.0625761788139547,0.556927991444197
"Ubl conjugation",0.227887173341461,174,1.19676447220935,0.00458001385788509,0.135873744450591,131752,157,735,1.17538910852299,0.00986494058402676,0.438989855989191
"Phosphoprotein",0.596748007376452,412,1.08214525577962,0.00622427715854457,0.151261073079371,132384,442,2273,1.07002070746275,0.0202091155534204,0.446239802070655
"Osteogenesis",0.00182525866655647,5,4.29363286377188,0.00679825047547733,0.151261073079371,152075,4,7,3.14435302916978,0.0238323678882852,0.446239802070655
"Serine/threonine-protein kinase",0.0278719348723326,29,1.63083566543729,0.00799467152196109,0.158116836767675,135995,28,109,1.41351649935155,0.0305370857827945,0.446239802070655
"Neurodegeneration",0.0100517074833797,13,2.0271357460691,0.0140659841591959,0.242560354165433,143171,9,42,1.17913238593867,0.350149499995764,0.8597535739152
"Alternative splicing",0.7023508567119,473,1.05556831498098,0.0163882778826574,0.242560354165433,139788,525,2863,1.00903749407955,0.381621999202101,0.8597535739152
"Autism",0.00232657847295043,5,3.36846175047467,0.0177150820457901,0.242560354165433,201815,3,6,2.75130890052356,0.077618399977571,0.583470468267702
"Autism spectrum disorder",0.00232657847295043,5,3.36846175047467,0.0177150820457901,0.242560354165433,201815,3,6,2.75130890052356,0.077618399977571,0.583470468267702
"Cilium biogenesis/degradation",0.0177267303410834,19,1.67998066706659,0.021601447718399,0.255044889112868,174026,11,45,1.34508435136707,0.181280664604097,0.691029225266334
"3D-structure",0.560167674816234,383,1.0716674785291,0.0222847127747851,0.255044889112868,133768,407,2139,1.04701516831518,0.0979293910189983,0.630645708867955
"Dwarfism",0.0142440944475151,16,1.76061524994529,0.0229253832910443,0.255044889112868,190069,14,61,1.26289588876491,0.206425983704803,0.703529309964867
"Repressor",0.0794115368125255,65,1.28294806815623,0.0244342539593474,0.255841012044932,146356,50,215,1.27967855838305,0.0325905473422389,0.446239802070655
"Acetylation",0.244321733156326,177,1.13550875519997,0.0299771816638357,0.282004347552399,117820,164,861,1.04811767638993,0.247296557130483,0.746081138461459
"Hereditary spastic paraplegia",0.00365051733311294,6,2.57617971826313,0.0312921231952072,0.282004347552399,24592,5,16,1.71956806282723,0.14995417585613,0.691029225266334
"Kinase",0.0379184767729571,34,1.40542396703455,0.0316858817474606,0.282004347552399,124165,33,139,1.30637688801838,0.0566973216947075,0.531164382192523
"Chromatin regulator",0.0237838926798527,23,1.51573828662412,0.0346437872409069,0.293647339470544,154316,16,82,1.07368152215554,0.420216634441699,0.8597535739152
"Transport",0.0714198637319269,58,1.27288244696624,0.0368095875445789,0.297823026497047,165513,49,276,0.976914029896047,0.599302924259163,0.931482838745685
"ER-Golgi transport",0.0038873593024397,6,2.41922291794107,0.0403861151262149,0.301860109807326,147598,6,20,1.65078534031414,0.139959779575286,0.691029225266334
"Autophagy",0.0129116323758065,14,1.69951970665065,0.0407002395245832,0.301860109807326,124697,11,36,1.68135543920884,0.0493636843595828,0.529228625336383
"RNA-mediated gene silencing",0.00298286576200094,5,2.62733599863848,0.0440758385513247,0.308355491982289,176646,4,11,2.0009519276535,0.122871134482971,0.662759452665722
"Cell cycle",0.0271686407802096,25,1.44228610091528,0.0463795964127456,0.308355491982289,130113,23,104,1.21692509061619,0.176428934861185,0.691029225266334
"GTPase activation",0.0207008146124005,20,1.51433472399036,0.0467730240647293,0.308355491982289,76221,17,62,1.50878230028711,0.0465550496641505,0.529228625336383
"Tumor suppressor",0.0172948876227472,17,1.5406730940554,0.055579031765999,0.344705493642619,164868,15,63,1.31014709548741,0.157604053302064,0.691029225266334
"SH3-binding",0.011181420431946,12,1.68214562219029,0.0585679118325022,0.344705493642619,218796,7,16,2.40739528795812,0.0159612524183166,0.446239802070655
"Cytokine",0.00883650414021458,10,1.7737762516164,0.0603924729130796,0.344705493642619,279203,6,38,0.868834389639019,0.713188186210744,0.936802920525032
"Cytoskeleton",0.125920119428273,94,1.17007054842747,0.0604631646103939,0.344705493642619,141298,86,392,1.20720696655626,0.0280031572137358,0.446239802070655
"Cytoplasm",0.126079994214547,94,1.16858684928852,0.0619695269469878,0.344705493642619,141298,86,393,1.20413519310446,0.0297032627678602,0.446239802070655
