term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.0191897309176324	1.42215505921685	-2.7798515818997	0.00543837478473286	0.00111591940162054	0.295904307246599	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
h2_categoryNon-heritable	0.445757627265005	0.373878028524388	-2.16107888043525	0.0306892466857634	0.197330734644883	0.870924118825792	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
h2_categoryLow prediction	4.80619299962635	0.821989380590846	1.90988512946169	0.0561480051360493	0.940559470041404	24.1622318755042	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_vmr_length	1.38716601183976	0.107023327893841	3.05786441064214	0.00222920416062322	1.12604560237127	1.71343590509009	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_num_snps	0.690432791972437	0.177738067141389	-2.08417166471707	0.0371445551837266	0.490655938356984	0.985131138685775	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
methylation_variance	2339143719754.88	10.2649895264105	2.77455773075292	0.00552768223369631	1722.03420533618	6.32967244372515e+20	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_min_distance	0.975963966131254	0.0267759596558994	-0.908636460121333	0.363542054203293	0.924087470665408	1.02663266517053	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateGenic/other	0.924011404418378	0.484506493641331	-0.163116214147159	0.87042693372972	0.391153569516414	2.71974151268026	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateIntergenic	1.0061372552199	0.556267012166352	0.0109992123160314	0.991224075268206	0.357662229552788	3.30119055104703	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_statePromoter	3.639934087571	0.474854704225341	2.7207597654154	0.00651320759874709	1.57915175711468	10.5656587840413	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
(Intercept)	-0.665338142061091	0.375220384840399	-1.77319295257397	0.0762702282668615	-1.40097159838979	0.0702953142676109	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
h2_categoryNon-heritable	0.0252034155631383	0.0687011462205868	0.366855823368867	0.71374530942789	-0.109487725136722	0.159894556262998	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
h2_categoryLow prediction	0.149716992344545	0.396481261862155	0.37761429541807	0.705736495935271	-0.62759920053043	0.927033185219521	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_vmr_length	0.0125289933150038	0.0281369703557286	0.445285798598887	0.656136505026359	-0.0426345787873141	0.0676925654173216	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_num_snps	-0.151247944952584	0.04865755413094	-3.10841651731133	0.00189368777706998	-0.246642881283321	-0.0558530086218477	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
methylation_variance	-6.78857499983481	4.1300690691487	-1.6436952714774	0.100315076379835	-14.8857283181611	1.30857831849153	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_min_distance	-0.0721296350593789	0.00680544905295357	-10.5988061181759	6.46422541632889e-26	-0.0854719698870098	-0.058787300231748	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateGenic/other	-0.259268630324273	0.0956854131445826	-2.7095940938512	0.00676429733209638	-0.4468634253718	-0.0716738352767454	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateIntergenic	-0.0279726175467496	0.111909785120931	-0.249956851552543	0.802633115860442	-0.247375894531634	0.191430659438134	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_statePromoter	0.0464310708821439	0.102221000739782	0.454222425393198	0.649692549981584	-0.153976985613961	0.246839127378249	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
(Intercept)	0.0309402629381921	1.44792075510035	-2.40047455864178	0.0163738289137485	0.00170616154807139	0.500969724223225	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
h2_scaled	1.32677021058106	0.0506517147198725	5.5821915866628	2.37506534363057e-08	1.19892955231409	1.46307226384944	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_vmr_length	1.27265545890954	0.11319680864921	2.12996844133295	0.0331742189086943	1.02017091505977	1.59027156623827	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_num_snps	0.640147272404339	0.183743641825148	-2.42760517609136	0.0151988792093837	0.449850548876752	0.924686181176089	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
methylation_variance	27349576704.1704	10.4828105676809	2.29251179667321	0.0218761276184929	12.4212861764735	10871043176665400000	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
log_min_distance	0.959528132157496	0.0284968285215227	-1.44976288612751	0.147124652429931	0.905155614296341	1.0124489258083	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateGenic/other	0.812257319466094	0.4884896144975	-0.425675565981183	0.670344268854732	0.340485350941272	2.40486329191693	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_stateIntergenic	0.918133347007287	0.564663635139069	-0.151262867692348	0.879768359483154	0.320043362496884	3.05278525386048	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
chromatin_statePromoter	3.61127452037728	0.476653268198633	2.69390949027822	0.00706193387068916	1.55997970902703	10.510804594491	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	nearest_gene_window_250kb
