env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	61664	0.00373090821786462	-0.0659732237251753	-0.11876647470654	-0.0200698212732582	0.283221048363914	0.39789727234546	648	219	0.0149236328714585	all_individuals	caudate	AA	shared	psi	window_250kb
codeine	env_valueTRUE	70169	0.0525044103999046	0.0366732393943087	-0.000333175612555284	0.0765297958903628	0.302304094217684	0.237743996200417	631	204	0.126010584959771	all_individuals	caudate	AA	shared	psi	window_250kb
morphine	env_valueTRUE	70911	0.395952250633889	0.0151018053646344	-0.019576614478406	0.0504311035197775	0.268594279471923	0.230602394564	638	214	0.48329857963314	all_individuals	caudate	AA	shared	psi	window_250kb
cocaine	env_valueTRUE	65260	4.65224847947103e-07	0.0858831015738049	0.0506539229325677	0.123825824204994	0.273406588288655	0.161228149167173	587	178	5.58269817536523e-06	all_individuals	caudate	AA	shared	psi	window_250kb
ethanol	env_valueTRUE	71580	0.591248315900681	0.0105134353334321	-0.0285145225153216	0.050396978743486	0.298707045187548	0.291968720941325	647	216	0.591248315900681	all_individuals	caudate	AA	shared	psi	window_250kb
nicotine	env_valueTRUE	62414	0.00767664150386216	-0.0635889721337065	-0.117810469187596	-0.016227914753296	0.30878305401057	0.410343395385386	648	219	0.0230299245115865	all_individuals	caudate	AA	shared	psi	window_250kb
amphetamines	env_valueTRUE	72389	0.132948957243659	0.0283046034571427	-0.0083120999580853	0.0671659722291748	0.2808028121522	0.24529950283068	636	213	0.213801465768742	all_individuals	caudate	AA	shared	psi	window_250kb
any_trauma_hx	env_value	71736	0.511776343351003	0.0108665577937521	-0.0228035458152854	0.046876982204769	0.274430654974513	0.259615024427104	645	216	0.558301465473821	all_individuals	caudate	AA	shared	psi	window_250kb
education	env_valueless_than_hs	64524	0.0645318660662737	-0.0417900344057615	-0.0884689555891034	0.00250924516501364	0.300224237231845	0.368166930029139	646	218	0.129063732132547	all_individuals	caudate	AA	shared	psi	window_250kb
education	env_valuemore_than_hs	67853	0.40274881636095	-0.0181218673940006	-0.0648532952570712	0.02427566335842	0.30759281486747	0.354008424987275	647	218	0.48329857963314	all_individuals	caudate	AA	shared	psi	window_250kb
marital_status	env_valuepreviously_married	65844	0.142534310512495	-0.0309866491831087	-0.0808758616500793	0.00984114512069805	0.288695197113007	0.347139488462714	647	218	0.213801465768742	all_individuals	caudate	AA	shared	psi	window_250kb
marital_status	env_valuesingle	59458	0.000524284994759763	-0.082987732221905	-0.13275358312754	-0.0359368121756405	0.303795899409188	0.401455599888579	647	218	0.00314570996855858	all_individuals	caudate	AA	shared	psi	window_250kb
