env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	19366.5	0.956947912654168	-0.00131339542708584	-0.0559616622307287	0.0499717982160302	0.284272892273147	0.286848811797509	306	127	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
codeine	env_valueTRUE	18131.5	0.927654562313801	0.00251607790239813	-0.0462626571922603	0.0525155624008256	0.265062804365577	0.246529148224839	298	121	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
morphine	env_valueTRUE	18229.5	0.543177741130495	-0.0154339439941136	-0.0687469554753096	0.0333808259651482	0.287457561967517	0.286917065968916	303	125	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
cocaine	env_valueTRUE	16960.5	0.0834842193091344	0.0344964626283288	-0.00508745459964652	0.0791485974536246	0.22720878091966	0.171927932505174	290	105	0.351154779186304	all_individuals	caudate	EA	shared	psi	window_250kb
ethanol	env_valueTRUE	18873.5	0.771881689460482	-0.0071525289804565	-0.0598017080214178	0.0444324880120116	0.291232491627873	0.308079244873799	305	126	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
nicotine	env_valueTRUE	19521.5	0.939486724219715	0.00168215070577377	-0.0567423534376493	0.0569386088114633	0.306563980493514	0.360417826345604	306	127	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
amphetamines	env_valueTRUE	18619.5	0.928212207087243	-0.00266086206272615	-0.0584918462673509	0.0535485553653445	0.280886680933242	0.281188526379221	302	124	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
any_trauma_hx	env_value	17409.5	0.234574195986769	-0.0243586439013435	-0.0705145367793914	0.01786810998436	0.218911148611041	0.255094293256446	303	124	0.703722587960307	all_individuals	caudate	EA	shared	psi	window_250kb
education	env_valueless_than_hs	20205.5	0.369313539269476	0.0253950557980833	-0.032085416646658	0.0879976419971068	0.38034498498901	0.310777585933054	304	126	0.886352494246742	all_individuals	caudate	EA	shared	psi	window_250kb
education	env_valuemore_than_hs	19380.5	0.888437830534992	0.00340300319502131	-0.0564282909815186	0.0669717905559551	0.323503347714001	0.305580001330178	305	126	0.956947912654168	all_individuals	caudate	EA	shared	psi	window_250kb
marital_status	env_valuepreviously_married	17206.5	0.0877886947965759	-0.0488285267986315	-0.114258717676586	0.00688238707520756	0.244359438970298	0.343388528809226	305	126	0.351154779186304	all_individuals	caudate	EA	shared	psi	window_250kb
marital_status	env_valuesingle	16630.5	0.0280284206663113	-0.0725752056413329	-0.14033533142105	-0.0076031951709409	0.279179136664975	0.384471015867425	305	126	0.336341047995736	all_individuals	caudate	EA	shared	psi	window_250kb
