env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	147	0.433720178504083	-0.270122069861637	-0.655204298933771	0.289834344194879	0.324996375373641	0.633132111784346	96	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	154	0.509447704593363	-0.0854019568236248	-0.393639027252285	0.275957868987198	0.281265617200197	0.378780216612861	96	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	115	0.178372268282657	-0.212401423201545	-0.651724870803667	0.172842491108085	0.297530498872957	0.605633810899619	96	4	0.772946495891512	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	233	0.47617146158765	0.0908017248769102	-0.173978133216144	0.457299539920952	0.350182878452398	0.272718474558683	96	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	293	0.0770625062815054	0.163897273401087	-0.0619690342483118	0.516003642937219	0.236845470702435	0.0184341104788801	96	4	0.500906290829785	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	205	0.825949577450629	0.0389669776152336	-2.08916347668309	0.569559051937196	0.379774054377081	0.275956453276975	96	4	0.909649483048026	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	249	0.320249713096805	0.113828616652228	-0.18587191646478	0.507526980121933	0.374945383999537	0.264617841450574	96	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	193	0.964560543220893	0.00311804300729335	-0.209507874033868	0.300713474421251	0.264115094619275	0.340000291342568	95	4	0.964560543220893	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	180	0.839676445890486	-0.0182690709898463	-0.199906375873049	0.296765142510443	0.260264317262931	0.27791623552663	96	4	0.909649483048026	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
education	env_valueMD	163	0.616110456485703	-0.0410208150574156	-0.339092779695295	0.230897091905726	0.219393905931203	0.255313255408133	96	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	89	0.0713608448987797	-0.366632964665937	-1.10301931488977	0.0424752597256599	0.269070195553735	0.86419298668736	96	4	0.500906290829785	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	231	0.471655246443632	0.0881155403710261	-0.161922068519364	0.4133355502336	0.316808307192881	0.19936265103079	95	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	160	0.600076597047239	-0.153708188623245	-0.475503830174556	0.316647332716566	0.308463687714337	0.562782260619697	95	4	0.800943593431414	all_individuals	dlpfc	AA	shared	expression	nearest_gene_window_250kb
