term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.746369799162649	0.679445420798803	-0.430548331497219	0.666796816984539	0.19571095398477	2.80960518063594	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
h2_categoryNon-heritable	1.39649820261113	0.107381593734882	3.11010302342829	0.00187022100492105	1.12815252687698	1.71910196615874	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
h2_categoryLow prediction	0.399750159146292	0.813105751188163	-1.12767069697115	0.259459017422851	0.0582243288718157	1.63873024252447	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_vmr_length	1.01701649268243	0.0494128313667484	0.341476767506734	0.732744691791122	0.923216492498321	1.12057540252083	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_num_snps	0.879541763005101	0.0886078741251384	-1.44856461413582	0.147459209245331	0.7399844503069	1.04740585371688	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
methylation_variance	9.98033794992371e-30	12.030301928746	-5.55072817231565	2.84482137784936e-08	1.62161623312425e-40	4.9186595357413e-20	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_min_distance	0.977482838589113	0.00892523066285159	-2.55170365535745	0.0107197653861928	0.960492549273368	0.994701629305944	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateGenic/other	1.07477617923347	0.165689769392497	0.435225631625076	0.663398659443913	0.783525766752898	1.50207273696689	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateIntergenic	0.852712612026724	0.196020822151827	-0.812835600310956	0.416312321431638	0.582926561198597	1.25884221832722	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_statePromoter	1.31939497439582	0.17511117962838	1.58284170879515	0.113457547533766	0.943037966964788	1.87585157160644	burden_fdr10_category	odds_ratio	all_individuals	dlpfc	psi	AA	shared	window_250kb
(Intercept)	1.94639541974121	0.243781329705558	7.98418575406117	1.74583394818167e-15	1.46847560239815	2.42431523708426	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
h2_categoryNon-heritable	0.217794550468252	0.0417550817043395	5.21600106091081	1.90300276745528e-07	0.135936021575228	0.299653079361277	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
h2_categoryLow prediction	-0.288964951873548	0.2253370253928	-1.28236782823344	0.19977386437289	-0.730725730463229	0.152795826716133	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_vmr_length	0.0117168018902558	0.0178938801424668	0.6547938064282	0.512631029282655	-0.0233631607121933	0.046796764492705	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_num_snps	-0.116569855383421	0.0320441933342902	-3.63778404927674	0.000277802484685241	-0.179390724576836	-0.0537489861900061	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
methylation_variance	-20.9565729208481	2.61079951622751	-8.02687942547554	1.23951187729871e-15	-26.0749010119363	-15.8382448297599	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_min_distance	-0.030914585457497	0.00320813557697729	-9.63630891392215	8.72698645204355e-22	-0.0372039578668304	-0.0246252130481636	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateGenic/other	0.01060452383434	0.0589052917819611	0.180026675253437	0.857139016502795	-0.104876043619192	0.126085091287872	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateIntergenic	-0.0424023448800826	0.0671880760883483	-0.631099256724155	0.528004848195968	-0.174120852981414	0.0893161632212489	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_statePromoter	0.17793573716138	0.0632724222935515	2.81221629758142	0.00493956959159382	0.0538936518141953	0.301977822508564	strength_category	log_abs_beta	all_individuals	dlpfc	psi	AA	shared	window_250kb
(Intercept)	0.872710425589177	0.688384062654658	-0.197784181693947	0.843213922871731	0.224908384435181	3.34397123444209	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
h2_scaled	0.885524568052969	0.0461917917824121	-2.63196279287093	0.00848931593141533	0.806215799539718	0.966513193002629	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_vmr_length	1.03895152084739	0.0496361420561175	0.769843303910314	0.441392848769318	0.942729451400963	1.14526396547419	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_num_snps	0.873330033164596	0.0892846731762229	-1.51696528534169	0.129275448909163	0.733779601170308	1.04138211049947	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
methylation_variance	1.64085363875394e-31	12.7949407245276	-5.54007422082688	3.02343478509399e-08	5.66050438945437e-43	3.34398159571794e-21	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
log_min_distance	0.9790648782189	0.00894234595740636	-2.36597519953232	0.0179826489840837	0.962016327738609	0.996346619686806	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateGenic/other	1.10039818485367	0.165737478193772	0.57725085222949	0.563770009265623	0.802137234552025	1.53803526893343	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
chromatin_stateIntergenic	0.886332185346544	0.196981114871469	-0.612563654620713	0.540164896520321	0.604722175227006	1.3108294963744	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	dlpfc	psi	AA	shared	window_250kb
