"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0044238","primary metabolic process",0.693999052984173,7101,1.04004903791102,8.54666448724117e-10,5.26545767165487e-06,139547,4227,4318,1.00472184743587,0.00349110624929061,0.257127564621665
"GO:0008152","metabolic process",0.754896164936746,7677,1.03370710976822,1.5541492537352e-09,5.26545767165487e-06,137807,4730,4828,1.00551861602842,0.00018097767595826,0.0490521892917269
"GO:0051179","localization",0.409240380765674,4294,1.06653900230305,2.29831342846154e-08,5.19112393041847e-05,138524,2352,2393,1.00876697286497,0.000778583512522357,0.131604200144636
"GO:0051234","establishment of localization",0.369283680628695,3885,1.06936037949141,8.43305262288041e-08,0.000142855911431594,139430,2071,2105,1.00977411797357,0.000565412076085514,0.109463777930156
"GO:0008150","biological_process",0.950455068228186,9458,1.01148838614093,1.29729502140741e-07,0.000175809421301132,139561,7239,7401,1.00388602517809,1.4218085819806e-08,9.63417495150054e-05
"GO:0009987","cellular process",0.929179193125782,9268,1.0138640657926,1.64724906159819e-07,0.000186029327356489,139482,6832,6985,1.00387047980379,2.02721075481804e-06,0.00228939667910784
"GO:0009056","catabolic process",0.208618761627696,2257,1.09969279027884,2.75160065843494e-07,0.000266354943736502,122359,1150,1178,1.00195631322537,0.371793823119327,0.964283891847071
"GO:0043170","macromolecule metabolic process",0.670253353047311,6811,1.03291614750626,1.50439623802789e-06,0.00127422361360963,143114,3863,3945,1.00501822369577,0.00428396813209064,0.296205796561696
"GO:0006810","transport",0.348735677195257,3645,1.06241534436626,3.40016854472047e-06,0.00255994911766955,140348,1929,1961,1.00960355268316,0.00116461557669978,0.150753332507256
"GO:0030163","protein catabolic process",0.0821470783860033,929,1.149520640321,7.47559833880196e-06,0.00506546543437221,122744,453,463,1.00418434642071,0.350663483801066,0.964283891847071
"GO:0044237","cellular metabolic process",0.686400256279917,6946,1.02860948273831,1.27340059219438e-05,0.00784414764791741,139783,3997,4077,1.00621241840378,0.000361200649518723,0.0764842375355895
"GO:0000278","mitotic cell cycle",0.0735914151625357,834,1.15194588560289,1.72551799970666e-05,0.00974342497167694,142138,394,402,1.00592686041514,0.288540784943236,0.964283891847071
"GO:0019538","protein metabolic process",0.379685876280438,3933,1.05291348002944,2.22109324765629e-05,0.0109686836815834,140354,2071,2111,1.00690408258378,0.0125575976664589,0.59225402755501
"GO:1903047","mitotic cell cycle process",0.0592349089087633,681,1.1685910848159,2.26625695900484e-05,0.0109686836815834,146631,327,334,1.00484140482242,0.369122624100838,0.964283891847071
