"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0140297","DNA-binding transcription factor binding",0.0624060172737191,473,1.54839577503113,0,0,138973,161,262,1.23974626087598,5.74057221504054e-05,0.0144146434995578
"GO:0008134","transcription factor binding",0.0734327518920083,540,1.50228129547326,0,0,130841,194,315,1.2425085861738,8.37630281746993e-06,0.00995942404997174
"GO:0060090","molecular adaptor activity",0.111827919844416,768,1.40300195891098,0,0,156902,338,627,1.08757040702679,0.0133768072032358,0.363670994732574
"GO:0098772","molecular function regulator activity",0.180233618208851,1138,1.28989323372269,0,0,125001,556,1034,1.08483196964286,0.00220710822109127,0.127039535202182
"GO:0140110","transcription regulator activity",0.202359494036923,1261,1.27303049036785,0,0,137988,545,1004,1.09514345469353,0.000834530120792265,0.0826880261351669
"GO:0046872","metal ion binding",0.345732209082784,1972,1.16523728684638,0,0,130505,1037,2042,1.02454547849945,0.109333764336048,0.671061606954088
"GO:0043167","ion binding",0.445235223050049,2517,1.15489102112519,0,0,130275,1431,2862,1.00873764083697,0.293983993085097,0.861329760792963
"GO:0036094","small molecule binding",0.454450420244197,2569,1.1548481919932,0,0,128700,1478,2956,1.00873764083697,0.28918097916403,0.861329760792963
"GO:0097159","organic cyclic compound binding",0.443430777582736,2492,1.14807301348387,0,0,133567,1364,2772,0.99272593225226,0.685094808549194,0.953930939408535
"GO:0005515","protein binding",0.838213476593912,4450,1.08455773436739,0,0,128731,3376,6686,1.01869526636722,0.00102639512498537,0.0938756772005849
"GO:0005488","binding",0.897035996713907,4696,1.06946240197737,0,0,129032,3737,7491,1.00644842178822,0.078264517899956,0.604263063526284
"GO:0003674","molecular_function",0.945868580549416,4803,1.03735902821981,0,0,130798,4032,8096,1.00475053553722,0.068808231959588,0.570753001522744
"GO:0043169","cation binding",0.354139838289658,2008,1.15834046397515,2.22044604925031e-16,2.03085411735279e-14,130975,1055,2087,1.01985453865166,0.1574636149789,0.767629941402538
"GO:0030234","enzyme regulator activity",0.116246094562322,757,1.33034662518068,5.55111512312578e-16,4.71448277242611e-14,119312,343,639,1.08293274118023,0.0170959011951901,0.383528802284548
"GO:0030674","protein-macromolecule adaptor activity",0.0980420708605449,653,1.36065496026082,1.22124532708767e-15,9.68040462604828e-14,146329,295,551,1.08013649381818,0.029872965365597,0.478657512627143
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0418250441703085,317,1.54835363420738,5.89528426075958e-14,4.38093311627696e-12,146409,109,189,1.16351749048921,0.0145484948959309,0.363670994732574
"GO:0000976","transcription cis-regulatory region binding",0.162486911336127,990,1.24469835353605,1.40443212615082e-13,9.27705443329627e-12,136412,411,753,1.10117176728817,0.00224375966294854,0.127039535202182
"GO:0001067","transcription regulatory region nucleic acid binding",0.162486911336127,990,1.24469835353605,1.40443212615082e-13,9.27705443329627e-12,136412,411,753,1.10117176728817,0.00224375966294854,0.127039535202182
"GO:0003690","double-stranded DNA binding",0.177051617320755,1063,1.2265370461358,4.66071625737641e-13,2.91662717369503e-11,137551,447,827,1.09046124656379,0.00374561825804132,0.181296076517135
