"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05205",0.0223229635960705,137,1.34028782523945,0.00051995095978552,0.0898838588350325,167074,63,115,1.02639890816923,0.417345690021996,0.975857342529386
"hsa04071",0.008490673733611,61,1.56897866713424,0.000589170171303555,0.0898838588350325,144179,35,57,1.150447119293,0.1385562841189,0.890072164513517
"hsa05171",0.0127703265205556,84,1.43650334226108,0.000918091209725302,0.0898838588350325,146464,56,94,1.11617848169704,0.133834397397219,0.890072164513517
"hsa04080",0.0336064956834004,193,1.25419029743084,0.00109617673137741,0.0898838588350325,182374,125,179,1.3083696288847,4.22418118828372e-06,0.00144044578520475
"hsa04960",0.00245004231152953,23,2.05014041891176,0.00131794514420869,0.0898838588350325,148627,13,21,1.15983852434845,0.287565046563361,0.933366629212099
"hsa05160",0.00993949188188277,67,1.47210902708495,0.00159871612182683,0.090860366257158,122587,42,70,1.12415118513773,0.159754086991933,0.890072164513517
"hsa00350",0.00284650557553632,25,1.91803852646831,0.00203118973855487,0.0989479572638874,136340,9,16,1.05389173606662,0.510215270121517,0.975857342529386
"hsa00450",0.000536357831773751,8,3.2573521846817,0.00381499821011611,0.132761134964761,13568,5,10,0.936792654281444,0.70289509182477,0.991888726771604
"hsa04390",0.0201686101297393,119,1.28854724569159,0.00401420932973295,0.132761134964761,137562,64,105,1.14199485474309,0.0705656003037906,0.829085283323477
"hsa04330",0.0109499813435781,70,1.39609193179905,0.00440342339470723,0.132761134964761,128337,26,44,1.10711859142352,0.271679369206788,0.933366629212099
"hsa05200",0.049070507548473,264,1.17493200292104,0.00470029771466052,0.132761134964761,146767,154,282,1.02316360822229,0.358988718228392,0.975857342529386
"hsa04530",0.0174104108553609,104,1.30452881353448,0.00484331621518153,0.132761134964761,126590,55,100,1.03047191970959,0.411067086601126,0.975857342529386
"hsa05417",0.0142441952905289,87,1.33386135363777,0.00543418196250567,0.132761134964761,119726,49,92,0.997887827386755,0.551325844687404,0.975857342529386
"hsa04623",0.00293218098948354,24,1.78751553335092,0.00573619223373212,0.132761134964761,40497,14,27,0.97148867851409,0.638625806914964,0.980952252963977
"hsa04151",0.0298636582738314,167,1.2212450607452,0.00598446130090791,0.132761134964761,157708,100,184,1.01825288508853,0.424100593168598,0.975857342529386
"hsa04713",0.00893712385462038,58,1.41729277567547,0.0066201400414384,0.132761134964761,180655,29,55,0.987890435424068,0.592700122082384,0.975857342529386
"hsa04382",0.00841883907411987,55,1.42672357620327,0.00707727841544448,0.132761134964761,96290,38,71,1.00276396796324,0.538612672280404,0.975857342529386
"hsa04936",0.0108265584174779,68,1.37166433188693,0.00717195329867282,0.132761134964761,118870,43,70,1.15091668954577,0.107809139506936,0.854951548182913
"hsa04919",0.00994326663309807,63,1.38369643036724,0.00786153348078411,0.132761134964761,162904,34,59,1.07969322866336,0.300299022283601,0.939467583474385
"hsa05130",0.0171542997047229,101,1.28581277655168,0.00791002530861173,0.132761134964761,103236,62,105,1.10630751553237,0.141282722953439,0.890072164513517
"hsa04152",0.0118409370167889,73,1.34637533057371,0.00827771407718469,0.132761134964761,203254,35,65,1.00885362768771,0.520274048720244,0.975857342529386
"hsa04918",0.00617423473782294,42,1.48557817345083,0.00910238643559602,0.132761134964761,170025,17,35,0.910027149873402,0.770742506058946,0.991888726771604
"hsa04710",0.0020848065348493,18,1.88554152784144,0.00927267947426946,0.132761134964761,190379,11,14,1.47210274244227,0.0494029308442647,0.732452148604099
"hsa04148",0.0138075823999594,83,1.31277351161846,0.00934389219693332,0.132761134964761,97590,43,75,1.07418891024272,0.28367312825524,0.933366629212099
"hsa04744",0.00246159533797635,20,1.77436389335182,0.0117097047323137,0.159720372548759,107386,7,14,0.936792654281444,0.699626583795298,0.991888726771604
"hsa04081",0.0253427645683092,141,1.21505092412579,0.0124977149896657,0.163912338902923,153219,73,110,1.24337934113719,0.00370719299007072,0.105346067467843
"hsa01523",0.00185626250672306,16,1.88239147078783,0.0137491256116766,0.173001734432369,89771,8,11,1.36260749713665,0.162649767780759,0.890072164513517
"hsa05017",0.00838315051717523,53,1.38069566791382,0.0142054210091095,0.173001734432369,173962,35,63,1.04088072697938,0.413437366596215,0.975857342529386
"hsa04270",0.0106787711880789,65,1.32929518623163,0.0153495556155026,0.180489602237461,184597,43,75,1.07418891024272,0.28367312825524,0.933366629212099
"hsa04974",0.00957391294600115,59,1.34583523388309,0.0161653979867042,0.183746690448872,136557,36,53,1.27262398317479,0.0221680626179636,0.397858386985556
"hsa05142",0.00653031960246608,42,1.40457265840525,0.0207722203382312,0.221689607444591,190111,28,50,1.04920777279522,0.409901830394023,0.975857342529386
"hsa00670",0.00347368620927816,25,1.57173303250672,0.0208037168276449,0.221689607444591,79463,11,16,1.28808989963698,0.162953689835761,0.890072164513517
"hsa03320",0.00637521164343746,41,1.40448985393313,0.0221177993436211,0.221897934286714,93384,25,39,1.20101622343775,0.117475579398597,0.858211699302471
"hsa00592",0.00102627478495929,10,2.12797096438538,0.0221247207206694,0.221897934286714,26003,9,13,1.29709752131277,0.193502013036892,0.890072164513517
"hsa04728",0.0122992833234465,72,1.27844499410134,0.0241325460373882,0.222171458458535,164653,40,71,1.05554101890867,0.351728292767497,0.975857342529386
"hsa01524",0.00318303036570019,23,1.57803419817698,0.0247227939220889,0.222171458458535,97794,18,29,1.162915019108,0.226360121785069,0.890072164513517
"hsa04750",0.00945655249912552,57,1.31634998919893,0.0256583374518495,0.222171458458535,182168,36,60,1.12415118513773,0.183582165942086,0.890072164513517
"hsa05133",0.00552509191519209,36,1.42295887898795,0.0257330841087062,0.222171458458535,148257,22,36,1.14496879967732,0.222804556471084,0.890072164513517
"hsa00511",0.00167964990440729,14,1.8202817821746,0.0257797382406977,0.222171458458535,170310,7,10,1.31150971599402,0.232655284403884,0.890072164513517
"hsa00970",0.00200919712414287,16,1.73910895462254,0.0260611681476287,0.222171458458535,106291,12,20,1.12415118513773,0.357763032810744,0.975857342529386
"hsa00515",0.00122027412014553,11,1.9686324561035,0.0277594455345871,0.230877339690102,148533,5,9,1.04088072697938,0.582557592267509,0.975857342529386
"hsa04979",0.00502305000355742,33,1.43474855111554,0.0286199410989723,0.232366664636894,105089,14,30,0.874339810662681,0.821509342594378,0.99520036783799
"hsa05224",0.0146533554449871,83,1.23700189367595,0.0322900388180378,0.238301401496906,143515,47,85,1.03598246473477,0.403259695822309,0.975857342529386
"hsa04670",0.0117270081619272,68,1.26634208941355,0.0326290171231745,0.238301401496906,113043,40,72,1.04088072697938,0.40078720931872,0.975857342529386
"hsa04380",0.0105771960644673,62,1.2801194351976,0.0332868460426208,0.238301401496906,115814,35,67,0.978738594025389,0.622464313218855,0.979146126903575
"hsa04926",0.0125243957595589,72,1.25546633129135,0.0334900648069703,0.238301401496906,141814,38,69,1.03182959022304,0.43642506390007,0.975857342529386
"hsa04062",0.0139081280459669,79,1.2404742895367,0.0340840710134447,0.238301401496906,143088,35,81,0.809573898761741,0.974569152034876,0.99520036783799
"hsa04110",0.0113760706853049,66,1.26701282264258,0.0344867523645422,0.238301401496906,137510,37,67,1.03466651368398,0.428980669120026,0.975857342529386
"hsa04625",0.00925786332152027,55,1.29742206966777,0.0348738520610665,0.238301401496906,154461,29,54,1.00618470274674,0.536231041818157,0.975857342529386
"hsa04724",0.010802651659781,63,1.27361901315685,0.0349415544716871,0.238301401496906,220538,34,60,1.06169834151897,0.351861604167433,0.975857342529386
"hsa04920",0.00870148786966539,52,1.30508615058066,0.0359756943537769,0.240543368130155,162273,26,38,1.28192679006934,0.0431806913707047,0.669300716245923
"hsa05132",0.0175548808791464,97,1.20671081173465,0.0378622432157938,0.248288941088186,99239,66,128,0.966067424727739,0.692952170979082,0.991888726771604
"hsa04310",0.019989137867412,109,1.19086296998515,0.0393955784835474,0.248653743176503,159547,63,103,1.14597936348992,0.0668894736263553,0.829085283323477
"hsa05418",0.014813953951238,83,1.22359152011817,0.0396507332887419,0.248653743176503,124301,45,68,1.23987263066662,0.021769423270148,0.397858386985556
"hsa00590",0.0028198535442283,20,1.54893359504021,0.040105442447823,0.248653743176503,40508,19,30,1.1866040287565,0.181191401064863,0.890072164513517
"hsa05225",0.0134975952547031,76,1.22966425205711,0.0431458210680193,0.261537584647794,144258,50,94,0.996587930086642,0.55632328840534,0.975857342529386
"hsa01212",0.00393191812953528,26,1.44410322570578,0.0443829726902953,0.261537584647794,64847,19,30,1.1866040287565,0.181191401064863,0.890072164513517
"hsa04660",0.0113584551796335,65,1.24975086054267,0.0444843985617949,0.261537584647794,152924,33,60,1.03047191970959,0.452029773991939,0.975857342529386
"hsa04970",0.00865207294466512,51,1.28729878781547,0.0454573319506604,0.261710539495166,206956,30,52,1.08091460109397,0.314291604721714,0.974303974637312
"hsa04082",0.021749658956947,117,1.17479683216674,0.0460487752777419,0.261710539495166,212374,70,103,1.27331040387769,0.00174914397355286,0.0852082992830749
"hsa00514",0.00812749691213912,48,1.28977448332702,0.0495689775172852,0.276371225255905,165740,20,30,1.24905687237526,0.0996464776284236,0.829085283323477
"hsa04114",0.0126287161567817,71,1.22780247089332,0.0502493136828918,0.276371225255905,213681,32,63,0.951662378952577,0.705471529933361,0.991888726771604
"hsa04060",0.0152614335498515,84,1.20202448011326,0.0534946311197764,0.285049787182197,159551,55,103,1.00045817447533,0.538412435780511,0.975857342529386
"hsa00232",0.000584972051970775,6,2.23998695648795,0.0549730151286588,0.285049787182197,93689,4,5,1.49886824685031,0.232438778923029,0.890072164513517
"hsa04916",0.011515736480271,65,1.23268183146618,0.0551272254834908,0.285049787182197,146055,36,61,1.10572247718465,0.224806441097229,0.890072164513517
"hsa04510",0.0219343929936957,117,1.16490255511844,0.0551709265513929,0.285049787182197,136348,80,127,1.18021121799237,0.017401163697909,0.370862301311686
"hsa04620",0.00667135803423768,40,1.30940832895877,0.0566901276792336,0.287121296601165,124714,30,51,1.10210900503699,0.261348765303558,0.928332593422014
"hsa04621",0.00977569055641892,56,1.25103637590751,0.0572558597327837,0.287121296601165,95003,38,71,1.00276396796324,0.538612672280404,0.975857342529386
"hsa04020",0.0269554984284452,141,1.14235504085993,0.0619364983335031,0.306091970024994,188244,83,150,1.03671720407146,0.344188178344505,0.975857342529386
"hsa05216",0.00371904503827255,24,1.40931852434157,0.0638853556287932,0.307205203359357,125907,12,18,1.24905687237526,0.185950040254083,0.890072164513517
"hsa04146",0.00446278541408678,28,1.37019185900048,0.0639635467405113,0.307205203359357,98588,20,35,1.07062017632165,0.392057887596525,0.975857342529386
"hsa04981",0.00210436660932858,15,1.55667952593893,0.0656615755206246,0.310980517396291,101618,8,13,1.15297557450024,0.380377632573684,0.975857342529386
"hsa00071",0.00266314417559319,18,1.47607077941921,0.0704609210859384,0.325316299883973,84000,11,17,1.21231990554069,0.245357136258858,0.890072164513517
"hsa04725",0.0103286344162599,58,1.22635002498782,0.0713304850550831,0.325316299883973,178338,31,63,0.921922929610309,0.78606076928641,0.991888726771604
"hsa00270",0.00321505855782999,21,1.4264605448528,0.0715505058395836,0.325316299883973,97693,17,28,1.13753393734175,0.278904635498118,0.933366629212099
"hsa04014",0.0210324562260403,111,1.1525568110771,0.074287632335007,0.331404272003003,157371,66,124,0.997230890041537,0.550036838002792,0.975857342529386
"hsa05034",0.0153816536567388,83,1.1784317108333,0.0763713744290081,0.331404272003003,182156,37,73,0.949625430367491,0.719553834570868,0.991888726771604
"hsa03040",0.00743477287093165,43,1.26307781309294,0.076697850175681,0.331404272003003,156092,29,61,0.89072088439875,0.851986684743447,0.99520036783799
"hsa04664",0.00513972413203027,31,1.31719854064147,0.0794122452141121,0.331404272003003,146961,22,36,1.14496879967732,0.222804556471084,0.890072164513517
"hsa04723",0.0142154843040125,77,1.18292829904394,0.0799396911931868,0.331404272003003,185418,44,75,1.09917004769023,0.210304130525238,0.890072164513517
"hsa04150",0.0122149805463049,67,1.19787466451459,0.0804686889694589,0.331404272003003,109511,40,75,0.999245497900206,0.550000527463941,0.975857342529386
"hsa04978",0.00345000822438219,22,1.39261768785598,0.0805157117471474,0.331404272003003,81541,15,28,1.00370641530155,0.56842812223859,0.975857342529386
"hsa04064",0.00864395151023221,49,1.237978534738,0.080664382921552,0.331404272003003,156372,30,57,0.986097530822572,0.598053693311116,0.975857342529386
"hsa05219",0.0025415514319004,17,1.46076170562093,0.0825441596985714,0.335089981633486,130671,11,21,0.981401828294846,0.62309298984773,0.979146126903575
"hsa01522",0.00948606419044512,53,1.22016669613008,0.0865915511789704,0.345086939168719,165626,27,51,0.991898104533293,0.581426953870841,0.975857342529386
